,Alvin Delight,Ulna,Thai Time,Smug Doug,Son Of Brock,Marrying,Fernbank Flyer,Sally Sugar
07-12-2022 13:39:51.628913,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 23.0, 13.955555555555556)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.5, 7.9173913043478255)","(21.0, 75.0, 42.5)"
07-12-2022 13:39:53.377833,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 23.0, 10.646153846153847)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.5, 7.9173913043478255)","(21.0, 75.0, 42.5)"
07-12-2022 13:39:55.097622,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 23.0, 10.646153846153847)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.5, 7.9173913043478255)","(21.0, 75.0, 42.5)"
07-12-2022 13:39:56.624391,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 23.0, 10.646153846153847)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.5, 7.9173913043478255)","(21.0, 75.0, 42.5)"
07-12-2022 13:39:58.005003,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 23.0, 10.646153846153847)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.5, 7.9173913043478255)","(21.0, 75.0, 42.5)"
07-12-2022 13:39:59.297992,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 23.0, 10.646153846153847)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.5, 7.9173913043478255)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:00.727989,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 23.0, 13.84)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.5, 7.9173913043478255)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:02.251501,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 13.84)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.5, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:03.665004,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 13.84)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:05.040387,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 13.84)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:06.384616,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 13.84)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:07.790445,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 13.84)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:09.182784,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 14.08)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:10.637700,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 18.7)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:12.141385,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 18.7)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:13.622766,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 18.7)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:14.999660,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 18.7)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:16.440819,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 18.7)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:17.869315,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 14.32)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.4057142857142857)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:19.257686,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 14.32)","(12.0, 26.0, 20.0)","(2.0, 2.92, 2.6799999999999997)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:20.627463,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 14.32)","(12.0, 26.0, 20.0)","(2.0, 2.9, 2.6799999999999997)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:21.982328,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 14.32)","(12.0, 26.0, 20.0)","(2.0, 2.9, 2.5857142857142854)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:23.310858,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 14.32)","(12.0, 26.0, 20.0)","(2.0, 2.9, 2.5857142857142854)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:24.691414,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 14.32)","(12.0, 26.0, 20.0)","(2.0, 2.9, 2.5857142857142854)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:26.078806,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 14.32)","(12.0, 26.0, 20.0)","(2.0, 2.9, 2.5857142857142854)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:27.449201,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 14.32)","(12.0, 26.0, 20.0)","(2.0, 2.9, 2.5857142857142854)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:28.840763,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 14.32)","(12.0, 26.0, 20.0)","(2.0, 2.9, 2.3368)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:30.027155,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 14.32)","(12.0, 26.0, 20.0)","(2.0, 2.9, 2.3368)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
07-12-2022 13:40:31.302602,"(61.0, 520.0, 441.33333333333337)","(4.0, 6.0, 5.371428571428572)","(7.0, 22.0, 14.32)","(12.0, 26.0, 20.0)","(2.0, 2.9, 2.3368)","(18.0, 70.0, 37.1875)","(4.4, 10.0, 9.3)","(21.0, 75.0, 42.5)"
