,Gladiator Hulk,Spring Ammo,Uforo Bale,Bonnie Gal,Pinjarra Bale,Jasmin Bale
07-01-2023 19:44:40.247911,"(8.0, 15.5, 13.066666666666666)","(1.6, 2.44, 1.8973333333333333)","(21.0, 44.0, 22.934782608695652)","(5.0, 9.4, 5.800000000000001)","(16.0, 48.0, 28.625)","(4.6, 5.2, 4.6947368421052635)"
07-01-2023 19:44:41.293045,"(8.0, 15.5, 13.066666666666666)","(1.6, 2.44, 1.8973333333333333)","(21.0, 44.0, 22.934782608695652)","(5.0, 9.4, 5.800000000000001)","(16.0, 48.0, 28.625)","(4.6, 5.2, 4.6947368421052635)"
07-01-2023 19:44:42.260480,"(8.0, 15.5, 13.066666666666666)","(1.6, 2.44, 1.8973333333333333)","(21.0, 44.0, 22.934782608695652)","(5.0, 9.4, 5.800000000000001)","(16.0, 48.0, 28.625)","(4.6, 5.2, 4.6947368421052635)"
07-01-2023 19:44:43.300383,"(8.0, 15.5, 13.066666666666666)","(1.6, 2.44, 1.8973333333333333)","(21.0, 44.0, 22.934782608695652)","(5.0, 9.4, 5.800000000000001)","(16.0, 48.0, 28.625)","(4.6, 5.2, 4.6947368421052635)"
07-01-2023 19:44:44.348095,"(8.0, 15.5, 13.066666666666666)","(1.6, 2.44, 1.8973333333333333)","(21.0, 44.0, 22.934782608695652)","(5.0, 9.4, 5.800000000000001)","(16.0, 48.0, 28.625)","(4.6, 5.2, 4.6947368421052635)"
07-01-2023 19:44:45.260355,"(8.0, 15.5, 14.04)","(1.6, 2.44, 1.8973333333333333)","(21.0, 44.0, 22.934782608695652)","(5.0, 9.4, 5.800000000000001)","(16.0, 48.0, 28.625)","(4.6, 5.2, 4.6947368421052635)"
07-01-2023 19:44:46.124238,"(8.0, 15.5, 14.04)","(1.6, 2.44, 1.8973333333333333)","(21.0, 44.0, 22.934782608695652)","(5.0, 9.4, 5.800000000000001)","(16.0, 48.0, 28.625)","(4.6, 5.2, 4.6947368421052635)"
07-01-2023 19:44:47.164523,"(8.0, 15.5, 14.04)","(1.6, 2.44, 1.8973333333333333)","(21.0, 44.0, 22.934782608695652)","(5.0, 9.4, 5.800000000000001)","(16.0, 48.0, 28.625)","(4.6, 5.2, 4.6947368421052635)"
07-01-2023 19:44:48.213461,"(8.0, 15.5, 14.04)","(1.6, 2.44, 1.8973333333333333)","(21.0, 44.0, 22.934782608695652)","(5.0, 9.4, 5.800000000000001)","(16.0, 48.0, 28.625)","(4.6, 5.2, 4.6947368421052635)"
07-01-2023 19:44:49.221979,"(8.0, 15.5, 14.04)","(1.6, 2.44, 1.8973333333333333)","(21.0, 44.0, 22.934782608695652)","(5.0, 9.4, 5.800000000000001)","(16.0, 48.0, 28.625)","(4.6, 5.2, 4.6947368421052635)"
