,Bonnies Beast,Fabriola Duran,Dioptase,Taltarni Black,Doonside Shadow,She Has Zip,Phoenix Flight,Crackerjack Lach
04-01-2023 15:06:46.392406,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:06:47.754332,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:06:49.083540,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:06:50.456045,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:06:51.932268,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:06:53.298602,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:06:54.716407,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:06:56.267285,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:06:57.839590,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:06:59.828857,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:01.369053,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:02.771088,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:04.070183,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
