,Lord Sundowner,Mygirlgladys,Debatable,Twelve Bells,Heroic Chief,Our Foxwedge,Diamatti,Sparkling Blue,Adki,Star Waltz,Oronoco,Secret Way
10-01-2023 15:44:20.119377,"(7.5, 8.8, 8.610526315789475)","(4.4, 5.8, 5.7375)","(14.0, 19.0, 18.035714285714285)","(8.5, 12.5, 11.321428571428571)","(15.0, 25.0, 22.666666666666668)","(21.0, 34.0, 30.11111111111111)","(18.0, 32.0, 29.727272727272727)","(6.5, 8.2, 7.8545454545454545)","(10.0, 12.5, 12.0625)","(3.4, 4.2, 4.136231884057971)","(41.0, 210.0, 150.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:21.818599,"(7.5, 8.8, 8.542857142857143)","(4.4, 5.8, 5.7375)","(14.0, 19.0, 18.035714285714285)","(8.5, 12.5, 11.321428571428571)","(15.0, 24.0, 22.545454545454547)","(21.0, 34.0, 30.11111111111111)","(18.0, 32.0, 29.727272727272727)","(6.5, 8.2, 7.846153846153846)","(10.0, 12.5, 12.0625)","(3.4, 4.2, 4.136231884057971)","(41.0, 210.0, 150.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:23.681094,"(7.5, 8.8, 8.542857142857143)","(4.4, 5.8, 5.7375)","(14.0, 19.0, 18.035714285714285)","(8.5, 12.5, 11.321428571428571)","(15.0, 24.0, 22.545454545454547)","(21.0, 34.0, 30.11111111111111)","(18.0, 32.0, 29.727272727272727)","(6.5, 8.2, 7.846153846153846)","(10.0, 12.5, 12.0625)","(3.4, 4.2, 4.136231884057971)","(41.0, 210.0, 140.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:25.415330,"(7.5, 8.8, 8.542857142857143)","(4.4, 5.8, 5.7444444444444445)","(14.0, 19.0, 18.035714285714285)","(8.5, 12.5, 11.321428571428571)","(15.0, 24.0, 22.545454545454547)","(21.0, 34.0, 30.11111111111111)","(18.0, 32.0, 29.727272727272727)","(6.5, 8.2, 7.846153846153846)","(10.0, 12.5, 12.0625)","(3.4, 4.2, 4.136231884057971)","(41.0, 210.0, 140.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:27.466469,"(7.5, 8.8, 8.542857142857143)","(4.4, 5.8, 5.7444444444444445)","(14.0, 19.0, 18.035714285714285)","(8.5, 12.5, 11.321428571428571)","(15.0, 24.0, 22.545454545454547)","(21.0, 34.0, 30.11111111111111)","(18.0, 32.0, 29.727272727272727)","(6.5, 8.2, 7.882758620689655)","(10.0, 12.5, 12.0625)","(3.4, 4.2, 4.136231884057971)","(41.0, 210.0, 140.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:29.388490,"(7.5, 8.8, 8.542857142857143)","(4.4, 5.8, 5.7444444444444445)","(14.0, 19.0, 18.035714285714285)","(8.5, 12.5, 11.321428571428571)","(15.0, 24.0, 22.545454545454547)","(21.0, 34.0, 30.11111111111111)","(18.0, 32.0, 29.727272727272727)","(6.5, 8.2, 7.882758620689655)","(10.0, 12.5, 12.0625)","(3.4, 4.2, 4.136231884057971)","(41.0, 210.0, 140.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:31.055447,"(7.5, 8.8, 8.542857142857143)","(4.4, 5.8, 5.7444444444444445)","(14.0, 19.0, 18.2)","(8.5, 12.5, 11.321428571428571)","(15.0, 24.0, 22.666666666666668)","(21.0, 34.0, 30.11111111111111)","(18.0, 32.0, 29.727272727272727)","(6.5, 8.2, 7.882758620689655)","(10.0, 12.5, 12.0625)","(3.4, 4.2, 4.136231884057971)","(41.0, 210.0, 133.63636363636363)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:32.681640,"(7.5, 8.8, 8.542857142857143)","(4.4, 5.8, 5.7444444444444445)","(14.0, 19.0, 18.2)","(8.5, 12.5, 11.321428571428571)","(15.0, 24.0, 22.666666666666668)","(21.0, 34.0, 30.11111111111111)","(18.0, 32.0, 29.727272727272727)","(6.5, 8.2, 7.882758620689655)","(10.0, 12.5, 12.0625)","(3.4, 4.2, 4.136231884057971)","(41.0, 210.0, 133.63636363636363)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:34.320568,"(7.5, 8.8, 8.542857142857143)","(4.4, 5.8, 5.7444444444444445)","(14.0, 19.0, 18.2)","(8.5, 12.5, 11.321428571428571)","(15.0, 24.0, 22.454545454545453)","(21.0, 34.0, 31.5)","(18.0, 32.0, 29.5)","(6.5, 8.2, 7.882758620689655)","(10.0, 12.5, 12.01388888888889)","(3.4, 4.2, 4.136231884057971)","(41.0, 210.0, 133.63636363636363)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:36.009062,"(7.5, 8.8, 8.688888888888888)","(4.4, 5.9, 5.766666666666667)","(14.0, 19.0, 18.2)","(8.5, 12.5, 11.321428571428571)","(15.0, 23.0, 22.454545454545453)","(21.0, 34.0, 31.77777777777778)","(18.0, 32.0, 29.5)","(6.5, 8.2, 7.872727272727272)","(10.0, 12.5, 12.01388888888889)","(3.4, 4.2, 4.136231884057971)","(41.0, 210.0, 133.63636363636363)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:37.718974,"(7.5, 8.8, 8.688888888888888)","(4.4, 5.9, 5.766666666666667)","(14.0, 19.0, 18.2)","(8.5, 12.5, 11.321428571428571)","(15.0, 23.0, 22.454545454545453)","(21.0, 34.0, 31.77777777777778)","(18.0, 32.0, 29.5)","(6.5, 8.2, 7.9)","(10.0, 12.5, 12.01388888888889)","(3.4, 4.2, 4.136231884057971)","(41.0, 210.0, 133.63636363636363)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:39.301391,"(7.5, 8.8, 8.688888888888888)","(4.4, 5.9, 5.766666666666667)","(14.0, 19.0, 18.2)","(8.5, 12.5, 11.321428571428571)","(15.0, 23.0, 22.454545454545453)","(21.0, 34.0, 31.77777777777778)","(18.0, 32.0, 29.5)","(6.5, 8.0, 7.9)","(10.0, 12.5, 12.01388888888889)","(3.4, 4.2, 4.136231884057971)","(41.0, 210.0, 133.63636363636363)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:41.011686,"(7.5, 8.8, 8.688888888888888)","(4.4, 5.9, 5.766666666666667)","(14.0, 19.0, 18.2)","(8.5, 12.5, 11.321428571428571)","(15.0, 23.0, 22.454545454545453)","(21.0, 34.0, 31.77777777777778)","(18.0, 32.0, 29.5)","(6.5, 8.0, 7.9)","(10.0, 12.5, 11.625)","(3.4, 4.2, 4.136231884057971)","(41.0, 210.0, 114.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:42.728490,"(7.5, 8.8, 8.688888888888888)","(4.4, 5.9, 5.766666666666667)","(14.0, 19.0, 18.2)","(8.5, 12.5, 11.321428571428571)","(15.0, 23.0, 22.454545454545453)","(21.0, 34.0, 31.77777777777778)","(18.0, 32.0, 29.5)","(6.5, 8.0, 7.9)","(10.0, 12.5, 11.625)","(3.4, 4.2, 4.136231884057971)","(41.0, 210.0, 114.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:44.555021,"(7.5, 8.8, 8.688888888888888)","(4.4, 5.9, 5.766666666666667)","(14.0, 19.0, 18.666666666666668)","(8.5, 12.5, 11.321428571428571)","(15.0, 23.0, 22.454545454545453)","(21.0, 34.0, 31.77777777777778)","(18.0, 32.0, 29.5)","(6.5, 8.0, 7.9)","(10.0, 12.5, 11.625)","(3.4, 4.2, 4.136231884057971)","(41.0, 210.0, 114.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:46.146476,"(7.5, 8.8, 8.688888888888888)","(4.4, 5.9, 5.766666666666667)","(14.0, 19.0, 18.666666666666668)","(8.5, 12.5, 11.321428571428571)","(15.0, 23.0, 22.454545454545453)","(21.0, 34.0, 31.77777777777778)","(18.0, 32.0, 29.5)","(6.5, 8.0, 7.9)","(10.0, 12.5, 11.625)","(3.4, 4.2, 4.136231884057971)","(41.0, 210.0, 114.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:47.782852,"(7.5, 8.8, 8.688888888888888)","(4.4, 5.9, 5.766666666666667)","(14.0, 19.0, 18.666666666666668)","(8.5, 12.5, 11.321428571428571)","(15.0, 23.0, 22.454545454545453)","(21.0, 34.0, 31.77777777777778)","(18.0, 32.0, 29.5)","(6.5, 8.0, 7.9)","(10.0, 12.5, 11.625)","(3.4, 4.2, 4.136641221374045)","(41.0, 210.0, 114.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:49.334655,"(7.5, 8.8, 8.688888888888888)","(4.4, 5.9, 5.766666666666667)","(14.0, 19.0, 18.666666666666668)","(8.5, 12.5, 11.321428571428571)","(15.0, 23.0, 22.454545454545453)","(21.0, 34.0, 31.77777777777778)","(18.0, 32.0, 29.5)","(6.5, 8.0, 7.9)","(10.0, 12.5, 11.625)","(3.4, 4.3, 4.136641221374045)","(41.0, 210.0, 114.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:50.928942,"(7.5, 8.8, 8.688888888888888)","(4.4, 5.9, 5.766666666666667)","(14.0, 19.0, 17.666666666666668)","(8.5, 12.5, 11.321428571428571)","(15.0, 23.0, 22.454545454545453)","(21.0, 34.0, 31.77777777777778)","(18.0, 32.0, 29.5)","(6.5, 8.0, 7.9)","(10.0, 12.5, 11.625)","(3.4, 4.3, 4.136641221374045)","(41.0, 210.0, 114.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:52.431435,"(7.5, 8.8, 8.688888888888888)","(4.4, 5.9, 5.766666666666667)","(14.0, 19.0, 17.666666666666668)","(8.5, 12.5, 11.321428571428571)","(15.0, 23.0, 22.454545454545453)","(21.0, 34.0, 31.77777777777778)","(18.0, 32.0, 29.5)","(6.5, 8.0, 7.9)","(10.0, 12.5, 11.625)","(3.4, 4.3, 4.136641221374045)","(41.0, 210.0, 114.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:54.050737,"(7.5, 8.8, 8.688888888888888)","(4.4, 5.9, 5.766666666666667)","(14.0, 19.0, 17.666666666666668)","(8.5, 12.5, 11.321428571428571)","(15.0, 23.0, 22.454545454545453)","(21.0, 34.0, 31.77777777777778)","(18.0, 32.0, 29.5)","(6.5, 8.0, 7.9)","(10.0, 12.5, 11.625)","(3.4, 4.3, 4.136641221374045)","(41.0, 210.0, 114.0)","(101.0, 230.0, 206.66666666666666)"
