,Byron,Excelladus,New Tycoon,Divine Breath,Lovetheinvasion,Baranof,Bluff N Bluster,Straya Pride,The Carpet Bagger,Weekend Affair
07-01-2023 12:52:19.324918,"(6.5, 7.8, 7.660975609756097)","(3.2, 3.8, 3.755508474576271)","(31.0, 65.0, 55.5)","(6.5, 8.0, 7.443478260869566)","(7.5, 9.0, 8.860000000000001)","(8.5, 11.0, 10.883720930232558)","(5.5, 7.8, 7.729411764705882)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.025)","(21.0, 28.0, 26.17391304347826)"
07-01-2023 12:52:20.963454,"(6.5, 7.8, 7.660975609756097)","(3.2, 3.8, 3.755508474576271)","(31.0, 65.0, 55.5)","(6.5, 8.0, 7.443478260869566)","(7.5, 9.0, 8.860000000000001)","(8.5, 11.0, 11.357142857142858)","(5.5, 7.8, 7.729411764705882)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.025)","(21.0, 28.0, 26.17391304347826)"
07-01-2023 12:52:22.523739,"(6.5, 7.8, 7.660975609756097)","(3.2, 3.8, 3.7502645502645504)","(31.0, 65.0, 50.666666666666664)","(6.5, 8.0, 7.725)","(7.5, 9.0, 9.287058823529412)","(8.5, 11.5, 11.357142857142858)","(5.5, 7.8, 7.7)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.025)","(21.0, 28.0, 26.17391304347826)"
07-01-2023 12:52:23.952659,"(6.5, 7.8, 7.660975609756097)","(3.2, 3.8, 3.7502645502645504)","(31.0, 60.0, 50.666666666666664)","(6.5, 7.8, 7.443478260869566)","(7.5, 9.4, 9.29056603773585)","(8.5, 11.5, 11.357142857142858)","(5.5, 7.8, 7.729411764705882)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.025)","(21.0, 28.0, 26.17391304347826)"
07-01-2023 12:52:25.339575,"(6.5, 7.8, 7.660975609756097)","(3.2, 3.8, 3.749655172413793)","(31.0, 60.0, 50.666666666666664)","(6.5, 8.0, 7.443478260869566)","(7.5, 9.4, 9.29056603773585)","(8.5, 11.5, 11.357142857142858)","(5.5, 7.8, 7.729411764705882)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.025)","(21.0, 28.0, 26.17391304347826)"
07-01-2023 12:52:26.794545,"(6.5, 7.8, 7.660975609756097)","(3.2, 3.75, 3.749655172413793)","(31.0, 60.0, 50.666666666666664)","(6.5, 8.0, 7.443478260869566)","(7.5, 9.4, 9.29056603773585)","(8.5, 11.5, 11.357142857142858)","(5.5, 7.8, 7.729411764705882)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.025)","(21.0, 28.0, 26.17391304347826)"
07-01-2023 12:52:28.314144,"(6.5, 7.8, 7.660975609756097)","(3.2, 3.75, 3.7523305084745764)","(31.0, 60.0, 50.666666666666664)","(6.5, 8.0, 7.443478260869566)","(7.5, 9.4, 9.294736842105264)","(8.5, 11.5, 10.520547945205479)","(5.5, 7.8, 7.376470588235295)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.025)","(21.0, 28.0, 26.17391304347826)"
07-01-2023 12:52:29.816096,"(6.5, 7.8, 7.648)","(3.2, 3.8, 3.7523305084745764)","(31.0, 60.0, 50.666666666666664)","(6.5, 8.0, 7.48)","(7.5, 9.4, 9.294736842105264)","(8.5, 11.0, 10.520547945205479)","(5.5, 8.0, 7.3476923076923075)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.025)","(21.0, 28.0, 26.17391304347826)"
07-01-2023 12:52:31.225475,"(6.5, 7.8, 7.648)","(3.2, 3.8, 3.7523305084745764)","(31.0, 60.0, 50.666666666666664)","(6.5, 8.0, 7.48)","(7.5, 9.4, 9.294736842105264)","(8.5, 11.0, 10.520547945205479)","(5.5, 8.0, 7.3476923076923075)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.025)","(21.0, 28.0, 26.17391304347826)"
07-01-2023 12:52:32.663722,"(6.5, 7.8, 7.648)","(3.2, 3.8, 3.7523305084745764)","(31.0, 60.0, 50.666666666666664)","(6.5, 8.0, 7.48)","(7.5, 9.4, 9.294736842105264)","(8.5, 11.0, 10.520547945205479)","(5.5, 8.0, 7.3476923076923075)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.025)","(21.0, 28.0, 26.17391304347826)"
