,Little Winnie,Its Luigi,Fritter,Meehan Magpie,Angry Betty,Jocularity,Avery Charm,Tonics Girl
05-01-2023 13:20:38.629387,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.56, 2.0753846153846154)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.5625)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:20:40.039579,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.56, 2.0753846153846154)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.5625)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:20:41.386496,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.56, 2.0753846153846154)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.5625)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:20:42.647377,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.56, 2.0753846153846154)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.5625)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:20:43.858418,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.56, 2.0753846153846154)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.5625)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:20:45.089633,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.56, 2.0753846153846154)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.5625)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:20:46.307287,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.56, 2.0753846153846154)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.5625)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:20:47.526864,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.56, 2.0753846153846154)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.5625)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:20:48.574726,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.56, 2.0753846153846154)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.5625)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:20:49.651605,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.72, 1.916393442622951)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
