,Meatloaf,Phantom Ace,Palesa Bale,Nighthawk Angel,Goldstar Darwin,Tea Time Tiger,Captain Tim,Goldstar Hope
09-01-2023 09:02:08.444659,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:02:09.548757,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:02:10.680545,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:02:11.807477,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:02:12.963477,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:02:14.129889,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:02:15.254726,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:02:16.327482,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:02:17.339733,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:02:18.394712,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:02:19.429187,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:02:20.524947,"(7.0, 28.0, 23.434782608695652)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:02:21.676269,"(7.0, 28.0, 23.434782608695652)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
