,Happy As,Jogalong Blue,Eagle Uno,Im Freyja,Laker,Caribbean Spice,Knight Walker,Pocket More For Less Nz,Nightwatch Star,Caesars Rockstar
05-01-2023 13:42:15.714578,"(7.0, 9.0, 8.788235294117648)","(3.1, 4.8, 4.55)","(5.0, 6.0, 5.923076923076923)","(71.0, 110.0, 75.71428571428571)","(101.0, 200.0, 100.0)","(101.0, 220.0, 188.0)","(31.0, 110.0, 59.0)","(4.4, 99999, 99990)","(3.9, 4.9, 4.78)","(17.0, 32.0, 20.75)"
05-01-2023 13:42:16.957893,"(7.0, 9.0, 8.788235294117648)","(3.1, 4.8, 4.55)","(5.0, 6.0, 5.923076923076923)","(71.0, 110.0, 75.71428571428571)","(101.0, 110.0, 100.0)","(101.0, 220.0, 188.0)","(31.0, 110.0, 64.66666666666666)","(4.4, 99999, 99990)","(3.9, 4.9, 4.829411764705883)","(17.0, 32.0, 21.125)"
05-01-2023 13:42:18.170734,"(7.0, 9.0, 8.25)","(3.1, 4.8, 4.55)","(5.0, 6.2, 6.1)","(71.0, 110.0, 75.71428571428571)","(101.0, 100.0, 105.55555555555556)","(101.0, 220.0, 192.0)","(31.0, 110.0, 55.2)","(4.4, 99999, 99990)","(3.9, 4.9, 4.829411764705883)","(17.0, 32.0, 25.233333333333334)"
05-01-2023 13:42:19.488551,"(7.0, 9.0, 8.25)","(3.1, 4.8, 4.55)","(5.0, 6.2, 6.050000000000001)","(71.0, 110.0, 75.71428571428571)","(101.0, 110.0, 96.66666666666667)","(101.0, 220.0, 192.0)","(31.0, 100.0, 50.57142857142857)","(4.4, 99999, 99990)","(3.9, 4.9, 4.829411764705883)","(17.0, 32.0, 22.2)"
05-01-2023 13:42:20.676724,"(7.0, 9.0, 8.25)","(3.1, 4.8, 4.55)","(5.0, 6.2, 6.050000000000001)","(71.0, 110.0, 75.71428571428571)","(101.0, 100.0, 96.66666666666667)","(101.0, 220.0, 192.0)","(31.0, 90.0, 49.125)","(4.4, 99999, 99990)","(3.9, 4.9, 4.807692307692308)","(17.0, 32.0, 23.09090909090909)"
05-01-2023 13:42:21.892261,"(7.0, 9.0, 8.25)","(3.1, 4.7, 4.618181818181818)","(5.0, 6.2, 6.050000000000001)","(71.0, 110.0, 75.71428571428571)","(101.0, 100.0, 106.42857142857143)","(101.0, 220.0, 192.0)","(31.0, 85.0, 56.0)","(4.4, 99999, 99990)","(3.9, 4.9, 4.59375)","(17.0, 32.0, 24.125)"
05-01-2023 13:42:23.108509,"(7.0, 9.0, 8.25)","(3.1, 4.7, 4.5600000000000005)","(5.0, 6.2, 6.050000000000001)","(71.0, 110.0, 75.71428571428571)","(101.0, 110.0, 105.55555555555556)","(101.0, 220.0, 192.0)","(31.0, 80.0, 48.0)","(4.4, 99999, 99990)","(3.8, 4.8, 4.714285714285714)","(17.0, 32.0, 24.416666666666664)"
05-01-2023 13:42:24.337372,"(7.0, 9.0, 8.25)","(3.1, 4.7, 4.618181818181818)","(5.0, 6.2, 6.050000000000001)","(71.0, 110.0, 75.71428571428571)","(101.0, 110.0, 97.0)","(101.0, 220.0, 192.0)","(31.0, 80.0, 49.166666666666664)","(4.4, 99999, 99990)","(3.8, 4.8, 4.714285714285714)","(17.0, 32.0, 22.27777777777778)"
05-01-2023 13:42:25.558652,"(7.0, 9.0, 8.25)","(3.1, 4.7, 4.618181818181818)","(5.0, 6.2, 6.050000000000001)","(71.0, 110.0, 75.71428571428571)","(101.0, 100.0, 97.0)","(101.0, 220.0, 192.0)","(31.0, 75.0, 49.166666666666664)","(4.4, 99999, 99990)","(3.8, 4.8, 4.7)","(17.0, 32.0, 24.708333333333336)"
05-01-2023 13:42:26.752427,"(7.0, 9.0, 8.25)","(3.1, 4.7, 4.49)","(5.0, 6.2, 6.050000000000001)","(71.0, 110.0, 89.23076923076923)","(101.0, 100.0, 96.66666666666667)","(101.0, 220.0, 192.0)","(31.0, 75.0, 60.0)","(4.4, 99999, 99990)","(3.8, 4.9, 4.807692307692308)","(17.0, 32.0, 23.25)"
