,Elettrica,Banana Queen,Zelady Luck,Silk Tie,Sweet Mercy,Empress El,Arranmore,Flying Tyrol,Carolina Fire
04-01-2023 14:12:46.391501,"(2.8, 3.25, 3.220260223048327)","(4.0, 5.0, 4.977777777777778)","(13.0, 18.0, 17.095890410958905)","(16.0, 25.0, 22.5)","(3.7, 4.2, 4.1723333333333334)","(19.0, 36.0, 33.5)","(10.0, 14.0, 13.25)","(41.0, 95.0, 83.75)","(26.0, 42.0, 38.888888888888886)"
04-01-2023 14:12:47.678932,"(2.8, 3.25, 3.220260223048327)","(4.0, 5.0, 4.977777777777778)","(13.0, 18.0, 17.095890410958905)","(16.0, 25.0, 22.5)","(3.7, 4.2, 4.1723333333333334)","(19.0, 36.0, 33.5)","(10.0, 14.0, 13.25)","(41.0, 90.0, 75.9090909090909)","(26.0, 42.0, 39.529411764705884)"
04-01-2023 14:12:48.879520,"(2.8, 3.25, 3.220260223048327)","(4.0, 5.0, 4.977777777777778)","(13.0, 18.0, 17.095890410958905)","(16.0, 25.0, 20.0)","(3.7, 4.2, 4.1723333333333334)","(19.0, 36.0, 33.5)","(10.0, 14.0, 13.25)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 39.529411764705884)"
04-01-2023 14:12:50.033010,"(2.8, 3.25, 3.2387878787878788)","(4.0, 5.0, 4.983333333333333)","(13.0, 18.0, 17.043478260869566)","(16.0, 25.0, 20.0)","(3.7, 4.2, 4.1723333333333334)","(19.0, 36.0, 33.5)","(10.0, 14.0, 13.25)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 39.529411764705884)"
04-01-2023 14:12:51.150434,"(2.8, 3.25, 3.2387878787878788)","(4.0, 5.0, 4.983333333333333)","(13.0, 18.0, 17.043478260869566)","(16.0, 25.0, 20.0)","(3.7, 4.2, 4.169551282051282)","(19.0, 36.0, 33.5)","(10.0, 14.0, 13.25)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 39.529411764705884)"
04-01-2023 14:12:52.207681,"(2.8, 3.25, 3.2387878787878788)","(4.0, 5.0, 4.983333333333333)","(13.0, 18.0, 17.043478260869566)","(16.0, 25.0, 20.0)","(3.7, 4.2, 4.169551282051282)","(19.0, 36.0, 33.5)","(10.0, 14.0, 13.25)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 39.529411764705884)"
04-01-2023 14:12:53.282527,"(2.8, 3.25, 3.2387878787878788)","(4.0, 5.0, 4.983333333333333)","(13.0, 18.0, 17.043478260869566)","(16.0, 25.0, 20.0)","(3.7, 4.2, 4.169551282051282)","(19.0, 36.0, 33.5)","(10.0, 14.0, 13.25)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 39.529411764705884)"
04-01-2023 14:12:54.580015,"(2.8, 3.25, 3.2387878787878788)","(4.0, 5.0, 4.983333333333333)","(13.0, 18.0, 17.043478260869566)","(16.0, 25.0, 20.0)","(3.7, 4.2, 4.169551282051282)","(19.0, 36.0, 33.5)","(10.0, 14.0, 13.25)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 39.529411764705884)"
04-01-2023 14:12:55.877552,"(2.8, 3.25, 3.2387878787878788)","(4.0, 5.0, 4.983333333333333)","(13.0, 18.0, 17.043478260869566)","(16.0, 25.0, 20.0)","(3.7, 4.2, 4.169551282051282)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.25)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:12:57.052377,"(2.8, 3.25, 3.2387878787878788)","(4.0, 5.0, 4.983333333333333)","(13.0, 18.0, 17.043478260869566)","(16.0, 25.0, 20.0)","(3.7, 4.2, 4.169551282051282)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.25)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
