,Wuanita Rose,Safety Sam,Belle Royale,Rutland Bam,Okay Boomer,Lucy Mac,Kenzis Blaze,Werina Shadow
12-01-2023 17:23:42.845999,"(12.0, 26.0, 25.68181818181818)","(6.0, 11.5, 11.333333333333334)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:23:43.998261,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.333333333333334)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:23:45.124012,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.333333333333334)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:23:46.187514,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.333333333333334)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:23:47.255854,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.333333333333334)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:23:48.403873,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.333333333333334)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:23:49.462096,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.333333333333334)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:23:50.601597,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.333333333333334)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:23:51.639878,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.333333333333334)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:23:52.718255,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.333333333333334)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
