,Midnight Feast,Auntie Clare,Violets Girl,Flaming Galah,Destini Fresco,Flying Poet
0,"[datetime.datetime(2022, 11, 28, 17, 54, 7, 842477), 1.45, 1.95]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 842477), 12.0, 30.0]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 842477), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 842477), 2.3, 2.98]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 842477), 51.0, 380.0]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 842477), 10.0, 20.0]"
1,"[datetime.datetime(2022, 11, 28, 17, 54, 9, 2218), 1.45, 1.95]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 2218), 12.0, 32.0]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 2218), 41.0, 300.0]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 2218), 2.3, 2.98]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 2218), 51.0, 380.0]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 2218), 10.0, 20.0]"
2,"[datetime.datetime(2022, 11, 28, 17, 54, 10, 143260), 1.45, 1.95]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 143260), 12.0, 32.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 143260), 41.0, 300.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 143260), 2.3, 2.98]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 143260), 51.0, 380.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 143260), 10.0, 20.0]"
3,"[datetime.datetime(2022, 11, 28, 17, 54, 11, 266560), 1.45, 1.95]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 266560), 12.0, 32.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 266560), 41.0, 300.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 266560), 2.3, 2.98]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 266560), 51.0, 380.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 266560), 10.0, 20.0]"
4,"[datetime.datetime(2022, 11, 28, 17, 54, 12, 424101), 1.45, 1.95]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 424101), 12.0, 32.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 424101), 41.0, 300.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 424101), 2.3, 2.98]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 424101), 51.0, 380.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 424101), 10.0, 20.0]"
5,"[datetime.datetime(2022, 11, 28, 17, 54, 13, 576993), 1.45, 1.95]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 576993), 12.0, 32.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 576993), 41.0, 300.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 576993), 2.3, 2.98]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 576993), 51.0, 380.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 576993), 10.0, 20.0]"
6,"[datetime.datetime(2022, 11, 28, 17, 54, 14, 697938), 1.45, 1.95]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 697938), 12.0, 32.0]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 697938), 41.0, 300.0]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 697938), 2.3, 2.98]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 697938), 51.0, 380.0]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 697938), 10.0, 20.0]"
7,"[datetime.datetime(2022, 11, 28, 17, 54, 15, 809487), 1.45, 1.95]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 809487), 12.0, 32.0]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 809487), 41.0, 300.0]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 809487), 2.3, 2.98]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 809487), 51.0, 380.0]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 809487), 10.0, 20.0]"
8,"[datetime.datetime(2022, 11, 28, 17, 54, 16, 918375), 1.45, 1.95]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 918375), 12.0, 32.0]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 918375), 41.0, 300.0]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 918375), 2.3, 2.98]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 918375), 51.0, 380.0]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 918375), 10.0, 20.0]"
9,"[datetime.datetime(2022, 11, 28, 17, 54, 18, 21054), 1.45, 1.95]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 21054), 12.0, 32.0]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 21054), 41.0, 300.0]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 21054), 2.3, 2.98]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 21054), 51.0, 380.0]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 21054), 10.0, 20.0]"
