,Wild About Town,Artistic Humma,Hesluvable,Office Bad Boy,Sarie Marais,Always At Night,Sonny Orlando Nz,Golden Grin,Rocco Variety
05-01-2023 12:57:35.831581,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:57:37.298305,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:57:38.788587,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:57:40.234186,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:57:41.641379,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:57:43.044534,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:57:44.552497,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:57:45.942471,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:57:47.437858,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:57:49.141212,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:57:50.906807,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:57:52.368251,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
