,Jean Luc Nz,Kowalski Analysis,Celestial Gossip,Yianni,Kosimo,Silent Major Nz,Ozzie Battler,Huli Nien,Bettor Be The Bomb,Vintage Cheddar Nz
07-01-2023 19:23:40.290680,"(14.0, 99999, 99990)","(1.85, 2.1, 1.908695652173913)","(31.0, 48.0, 38.0)","(61.0, 150.0, 96.66666666666667)","(26.0, 46.0, 32.0)","(31.0, 99999, 99990)","(51.0, 110.0, 98.0)","(6.0, 9.4, 9.0)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:23:41.547135,"(14.0, 99999, 99990)","(1.85, 2.1, 1.908695652173913)","(31.0, 48.0, 38.0)","(61.0, 150.0, 96.66666666666667)","(26.0, 46.0, 32.0)","(31.0, 99999, 99990)","(51.0, 110.0, 98.0)","(6.0, 9.4, 9.0)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:23:42.970484,"(14.0, 99999, 99990)","(1.85, 2.1, 1.9076923076923076)","(31.0, 48.0, 38.0)","(61.0, 150.0, 96.66666666666667)","(26.0, 46.0, 32.0)","(31.0, 99999, 99990)","(51.0, 110.0, 98.0)","(6.0, 9.4, 9.0)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:23:44.387922,"(14.0, 99999, 99990)","(1.85, 2.1, 1.9076923076923076)","(31.0, 48.0, 38.0)","(61.0, 150.0, 96.66666666666667)","(26.0, 46.0, 32.0)","(31.0, 99999, 99990)","(51.0, 110.0, 98.0)","(6.0, 9.4, 9.0)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:23:45.728645,"(14.0, 99999, 99990)","(1.85, 2.1, 1.9076923076923076)","(31.0, 48.0, 38.0)","(61.0, 150.0, 96.66666666666667)","(26.0, 46.0, 32.0)","(31.0, 99999, 99990)","(51.0, 110.0, 98.0)","(6.0, 9.4, 9.0)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:23:47.084292,"(14.0, 99999, 99990)","(1.85, 2.1, 1.9076923076923076)","(31.0, 48.0, 38.0)","(61.0, 150.0, 96.66666666666667)","(26.0, 46.0, 32.0)","(31.0, 99999, 99990)","(51.0, 110.0, 98.0)","(6.0, 9.4, 8.4)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:23:48.395355,"(14.0, 99999, 99990)","(1.85, 2.1, 1.9076923076923076)","(31.0, 48.0, 38.0)","(61.0, 150.0, 96.66666666666667)","(26.0, 46.0, 32.0)","(31.0, 99999, 99990)","(51.0, 110.0, 98.0)","(6.0, 9.4, 9.0)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:23:49.733969,"(14.0, 99999, 99990)","(1.85, 2.1, 1.9076923076923076)","(31.0, 48.0, 38.0)","(61.0, 150.0, 96.66666666666667)","(26.0, 46.0, 32.0)","(31.0, 99999, 99990)","(51.0, 110.0, 98.0)","(6.0, 9.4, 9.0)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:23:51.027432,"(14.0, 99999, 99990)","(1.85, 2.1, 1.9076923076923076)","(31.0, 48.0, 38.0)","(61.0, 150.0, 96.66666666666667)","(26.0, 46.0, 32.0)","(31.0, 99999, 99990)","(51.0, 110.0, 98.0)","(6.0, 9.4, 8.4)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:23:52.324790,"(14.0, 99999, 99990)","(1.85, 2.1, 1.9076923076923076)","(31.0, 48.0, 38.0)","(61.0, 150.0, 96.66666666666667)","(26.0, 46.0, 32.0)","(31.0, 99999, 99990)","(51.0, 110.0, 98.0)","(6.0, 9.4, 9.0)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:23:53.579136,"(14.0, 99999, 99990)","(1.85, 2.08, 1.936)","(31.0, 48.0, 38.0)","(61.0, 150.0, 96.66666666666667)","(26.0, 46.0, 32.0)","(31.0, 99999, 99990)","(51.0, 110.0, 98.0)","(6.0, 9.4, 9.0)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:23:54.843600,"(14.0, 99999, 99990)","(1.85, 2.08, 1.936)","(31.0, 48.0, 38.0)","(61.0, 150.0, 96.66666666666667)","(26.0, 46.0, 32.0)","(31.0, 99999, 99990)","(51.0, 110.0, 98.0)","(6.0, 9.4, 8.4)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:23:56.079858,"(14.0, 99999, 99990)","(1.85, 2.08, 1.936)","(31.0, 48.0, 38.0)","(61.0, 150.0, 96.66666666666667)","(26.0, 46.0, 32.0)","(31.0, 99999, 99990)","(51.0, 110.0, 98.0)","(6.0, 9.4, 9.0)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:23:57.321499,"(14.0, 99999, 99990)","(1.85, 2.08, 1.936)","(31.0, 48.0, 38.0)","(61.0, 150.0, 96.66666666666667)","(26.0, 46.0, 29.75)","(31.0, 99999, 99990)","(51.0, 110.0, 98.0)","(6.0, 9.4, 9.0)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:23:58.589850,"(14.0, 99999, 99990)","(1.85, 2.08, 1.936)","(31.0, 46.0, 32.5)","(61.0, 150.0, 110.0)","(26.0, 44.0, 29.75)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 9.0)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
