,Beach Magic,Animado,The General Nz,Woodlea Diego Nz,Rollyarrrz Nz,Katacha Man,Jaccka Wally Nz,The Irish Eagle,Prince Joy,Blackjack Bart
07-01-2023 19:31:47.851216,"(8.0, 11.5, 9.833333333333334)","(1.5, 1.75, 1.7323076923076923)","(17.0, 99999, 99990)","(19.0, 99999, 99990)","(21.0, 99999, 99990)","(31.0, 60.0, 55.6)","(26.0, 99999, 99990)","(16.0, 26.0, 21.25)","(6.0, 9.2, 7.733333333333333)","(41.0, 70.0, 50.5)"
07-01-2023 19:31:49.410266,"(8.0, 11.5, 9.833333333333334)","(1.5, 1.75, 1.7323076923076923)","(17.0, 99999, 99990)","(19.0, 99999, 99990)","(21.0, 99999, 99990)","(31.0, 60.0, 51.2)","(26.0, 99999, 99990)","(16.0, 26.0, 21.25)","(6.0, 9.2, 7.733333333333333)","(41.0, 70.0, 50.5)"
07-01-2023 19:31:50.886780,"(8.0, 11.5, 9.833333333333334)","(1.5, 1.75, 1.7323076923076923)","(17.0, 99999, 99990)","(19.0, 99999, 99990)","(21.0, 99999, 99990)","(31.0, 60.0, 51.33333333333333)","(26.0, 99999, 99990)","(16.0, 26.0, 21.25)","(6.0, 9.2, 7.733333333333333)","(41.0, 70.0, 50.5)"
07-01-2023 19:31:52.192117,"(8.0, 11.5, 9.833333333333334)","(1.5, 1.75, 1.745)","(17.0, 99999, 99990)","(19.0, 99999, 99990)","(21.0, 99999, 99990)","(31.0, 60.0, 51.33333333333333)","(26.0, 99999, 99990)","(16.0, 26.0, 21.25)","(6.0, 9.2, 7.733333333333333)","(41.0, 70.0, 50.5)"
07-01-2023 19:31:53.507427,"(8.0, 11.5, 9.833333333333334)","(1.5, 1.75, 1.745)","(17.0, 99999, 99990)","(19.0, 99999, 99990)","(21.0, 99999, 99990)","(31.0, 60.0, 51.33333333333333)","(26.0, 99999, 99990)","(16.0, 26.0, 21.25)","(6.0, 9.2, 7.733333333333333)","(41.0, 70.0, 50.5)"
07-01-2023 19:31:54.830508,"(8.0, 11.5, 9.833333333333334)","(1.5, 1.75, 1.745)","(17.0, 99999, 99990)","(19.0, 99999, 99990)","(21.0, 99999, 99990)","(31.0, 60.0, 51.33333333333333)","(26.0, 99999, 99990)","(16.0, 26.0, 21.25)","(6.0, 9.2, 7.733333333333333)","(41.0, 70.0, 50.5)"
07-01-2023 19:31:56.177173,"(8.0, 11.5, 9.833333333333334)","(1.5, 1.75, 1.745)","(17.0, 99999, 99990)","(19.0, 99999, 99990)","(21.0, 99999, 99990)","(31.0, 60.0, 51.33333333333333)","(26.0, 99999, 99990)","(16.0, 26.0, 21.25)","(6.0, 9.2, 7.733333333333333)","(41.0, 70.0, 50.5)"
07-01-2023 19:31:57.500659,"(8.0, 11.5, 9.833333333333334)","(1.5, 1.75, 1.745)","(17.0, 99999, 99990)","(19.0, 99999, 99990)","(21.0, 99999, 99990)","(31.0, 60.0, 44.0)","(26.0, 99999, 99990)","(16.0, 26.0, 21.0)","(6.0, 9.2, 7.5)","(41.0, 70.0, 65.33333333333333)"
07-01-2023 19:31:58.716142,"(8.0, 11.0, 9.5)","(1.5, 1.75, 1.745)","(17.0, 99999, 99990)","(19.0, 99999, 99990)","(21.0, 99999, 99990)","(31.0, 60.0, 44.0)","(26.0, 99999, 99990)","(16.0, 25.0, 21.0)","(6.0, 9.0, 7.5)","(41.0, 75.0, 65.33333333333333)"
07-01-2023 19:31:59.958309,"(8.0, 11.0, 9.5)","(1.5, 1.75, 1.745)","(17.0, 99999, 99990)","(19.0, 99999, 99990)","(21.0, 99999, 99990)","(31.0, 60.0, 44.0)","(26.0, 99999, 99990)","(16.0, 24.0, 21.666666666666668)","(6.0, 9.0, 7.5)","(41.0, 110.0, 78.0)"
07-01-2023 19:32:01.179037,"(8.0, 11.0, 9.5)","(1.45, 1.75, 1.745)","(17.0, 99999, 99990)","(19.0, 99999, 99990)","(21.0, 99999, 99990)","(31.0, 60.0, 44.0)","(26.0, 99999, 99990)","(17.0, 24.0, 21.666666666666668)","(6.0, 9.0, 7.5)","(41.0, 110.0, 78.0)"
07-01-2023 19:32:02.458492,"(8.0, 11.0, 10.459999999999999)","(1.45, 1.75, 1.7322641509433963)","(17.0, 99999, 99990)","(19.0, 99999, 99990)","(21.0, 99999, 99990)","(31.0, 60.0, 44.0)","(26.0, 99999, 99990)","(17.0, 24.0, 21.666666666666668)","(6.0, 9.0, 7.5)","(41.0, 110.0, 78.0)"
