,Gracie Bale,Sunnyside Zeus,Lochinvar Jazz,Tough Tears,Entranced,Change Of Habit,Go Bang
14-12-2022 12:40:04.333410,"(2.4, 3.55, 2.728571428571428)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
14-12-2022 12:40:05.444670,"(2.4, 3.8, 2.728571428571428)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
14-12-2022 12:40:06.671373,"(2.4, 3.8, 2.728571428571428)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
14-12-2022 12:40:07.856608,"(2.4, 3.8, 2.728571428571428)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
14-12-2022 12:40:08.937992,"(2.4, 3.8, 2.728571428571428)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
14-12-2022 12:40:10.047441,"(2.4, 3.8, 2.728571428571428)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
14-12-2022 12:40:11.117322,"(2.4, 3.8, 2.728571428571428)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
14-12-2022 12:40:12.244644,"(2.4, 3.8, 2.728571428571428)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
14-12-2022 12:40:13.320243,"(2.4, 3.8, 2.728571428571428)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
14-12-2022 12:40:14.550381,"(2.4, 3.8, 2.728571428571428)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
14-12-2022 12:40:15.707381,"(2.4, 3.8, 2.728571428571428)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
14-12-2022 12:40:16.934398,"(2.4, 3.8, 2.728571428571428)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
14-12-2022 12:40:18.202403,"(2.4, 3.8, 2.728571428571428)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
14-12-2022 12:40:19.548775,"(2.4, 3.8, 2.728571428571428)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
14-12-2022 12:40:20.989015,"(2.4, 3.8, 2.728571428571428)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
14-12-2022 12:40:22.125106,"(2.4, 3.8, 2.728571428571428)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
14-12-2022 12:40:23.236521,"(2.4, 3.65, 3.2818181818181817)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
14-12-2022 12:40:24.378085,"(2.4, 3.65, 3.2818181818181817)","(2.9, 4.1, 3.609230769230769)","(11.0, 27.0, 18.75)","(21.0, 75.0, 36.45454545454545)","(12.0, 30.0, 22.884615384615387)","(4.6, 9.2, 6.133333333333333)","(10.0, 17.5, 14.75)"
