,Lucretia Ann,Block Busted,Willows Friend,Rogue Temptation,Tuzla Bale,Big City Nights,After Hours
08-12-2022 15:22:01.673330,"(5.5, 11.0, 5.96)","(2.8, 4.0, 3.6719999999999997)","(3.9, 8.6, 7.05)","(15.0, 110.0, 51.5625)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:03.118922,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 7.05)","(15.0, 110.0, 51.5625)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:04.291505,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 7.05)","(15.0, 110.0, 51.5625)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:05.319129,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 7.05)","(15.0, 110.0, 51.5625)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:06.373097,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 7.05)","(15.0, 110.0, 51.5625)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:07.628253,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 7.05)","(15.0, 110.0, 51.5625)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:08.833336,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 7.05)","(15.0, 110.0, 51.5625)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:10.199900,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 7.05)","(15.0, 110.0, 51.875)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:11.508374,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 7.05)","(15.0, 110.0, 51.875)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:12.810481,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 7.05)","(15.0, 110.0, 51.875)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:14.004547,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 7.05)","(15.0, 110.0, 51.875)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:15.256519,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 7.05)","(15.0, 110.0, 51.875)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:16.661789,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 8.058823529411764)","(15.0, 110.0, 51.875)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:17.941662,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 8.058823529411764)","(15.0, 110.0, 51.875)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:19.314526,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 8.058823529411764)","(15.0, 110.0, 51.875)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:20.516996,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 8.058823529411764)","(15.0, 110.0, 51.875)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:21.602500,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 8.058823529411764)","(15.0, 110.0, 57.22222222222222)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:22.757965,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 8.058823529411764)","(15.0, 110.0, 57.22222222222222)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:23.991323,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.6719999999999997)","(3.9, 8.6, 8.058823529411764)","(15.0, 110.0, 57.22222222222222)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:25.211659,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.064)","(3.9, 8.6, 8.058823529411764)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:26.341592,"(5.5, 11.0, 5.96)","(2.8, 3.9, 3.064)","(3.9, 8.6, 8.058823529411764)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:27.603411,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.5919999999999996)","(3.9, 8.6, 8.058823529411764)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:28.751111,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.5919999999999996)","(3.9, 8.6, 8.058823529411764)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:30.003897,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.5919999999999996)","(3.9, 8.6, 8.058823529411764)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:31.318680,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.5919999999999996)","(3.9, 8.6, 8.058823529411764)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:32.548376,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.5919999999999996)","(3.9, 8.6, 8.058823529411764)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:33.895335,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 8.058823529411764)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:35.104753,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 8.058823529411764)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:36.319818,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 8.0)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:37.343919,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 8.0)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:38.410728,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 8.070588235294117)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:39.501422,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 8.070588235294117)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:40.617017,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 8.070588235294117)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:41.745924,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 8.070588235294117)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:42.856165,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 8.070588235294117)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:43.963136,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 8.070588235294117)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:45.065001,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 8.070588235294117)","(15.0, 110.0, 50.9375)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:46.124511,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 8.070588235294117)","(15.0, 110.0, 51.25)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:47.575304,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 8.070588235294117)","(15.0, 110.0, 51.25)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:48.811113,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 8.070588235294117)","(15.0, 110.0, 51.25)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:50.016555,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 8.070588235294117)","(15.0, 110.0, 51.25)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:51.090099,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 7.973333333333333)","(15.0, 110.0, 51.5625)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:52.033484,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 8.047058823529412)","(15.0, 110.0, 51.5625)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:53.078063,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 8.047058823529412)","(15.0, 110.0, 51.5625)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:54.034269,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.0799999999999996)","(3.9, 8.6, 7.05)","(15.0, 110.0, 51.5625)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:55.201094,"(5.5, 11.0, 5.96)","(2.8, 3.8, 3.222222222222222)","(3.9, 8.6, 7.05)","(15.0, 110.0, 51.5625)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
08-12-2022 15:22:56.337845,"(5.5, 11.0, 5.96)","(2.8, 3.75, 3.1999999999999997)","(3.9, 8.6, 7.05)","(15.0, 110.0, 51.5625)","(10.0, 24.0, 18.375)","(31.0, 240.0, 81.0)","(2.9, 3.9, 3.76)"
