,Eastbro Tex,Torque To The Max,Dartesian,Taleggio,Furiosa,Eagles Response,Whata Reactor,Fortyfive Rock,Go Jo Jolt
15-12-2022 14:19:27.399498,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:28.677244,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:29.935728,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:31.132130,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:32.350955,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:33.510333,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:34.708320,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:35.946568,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:37.164026,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:38.358086,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:39.585807,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:40.849333,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:42.068461,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:43.331772,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:44.578692,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:45.789212,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:47.021295,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:48.291855,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:49.502441,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:50.727366,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:51.920458,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:53.078311,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:54.274069,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:55.514432,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:56.703002,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:57.947938,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:19:59.200689,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:00.462621,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:01.853246,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
