,Reggies Brother,Speed Badke,Calder,Muttons Mates,Desleys Girl,White Snake,Moment Of Glory,Aces Up
07-01-2023 19:16:54.900578,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 55.0, 31.0)","(5.5, 10.5, 10.09090909090909)","(6.0, 18.5, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:16:56.451878,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 55.0, 31.0)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:16:57.964720,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 55.0, 32.77777777777778)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:16:59.443859,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 50.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:00.842592,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:02.231685,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:03.660462,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:04.984415,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:06.314913,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:07.651143,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
