,Dusty Rubble,Exsensible,Hamaki,Mr Kennedy,Mr Showman,Questar,Jabali Belle,Scarlett Aplenty
15-12-2022 12:41:43.586429,"(91.0, 510.0, 422.0)","(2.4, 2.8, 2.7985714285714285)","(1.95, 2.24, 2.1723076923076925)","(7.0, 13.5, 11.98)","(91.0, 270.0, 230.0)","(61.0, 180.0, 144.0)","(11.0, 16.0, 15.1)","(31.0, 80.0, 62.22222222222222)"
15-12-2022 12:41:45.134864,"(91.0, 510.0, 422.0)","(2.4, 2.8, 2.7985714285714285)","(1.95, 2.24, 2.1723076923076925)","(7.0, 13.5, 11.98)","(91.0, 270.0, 198.88888888888889)","(61.0, 180.0, 144.0)","(11.0, 16.0, 15.1)","(31.0, 80.0, 62.22222222222222)"
15-12-2022 12:41:46.405357,"(91.0, 510.0, 422.0)","(2.4, 2.8, 2.7985714285714285)","(1.95, 2.24, 2.170980392156863)","(7.0, 13.5, 11.98)","(91.0, 260.0, 210.0)","(61.0, 180.0, 144.0)","(11.0, 16.0, 15.1)","(31.0, 80.0, 62.22222222222222)"
15-12-2022 12:41:47.594608,"(91.0, 510.0, 376.6666666666667)","(2.4, 2.8, 2.7985714285714285)","(1.95, 2.24, 2.170980392156863)","(7.0, 13.5, 11.98)","(91.0, 240.0, 210.0)","(61.0, 180.0, 144.0)","(11.0, 16.0, 15.1)","(31.0, 80.0, 62.22222222222222)"
15-12-2022 12:41:48.836066,"(91.0, 510.0, 360.0)","(2.4, 2.8, 2.7985714285714285)","(1.95, 2.24, 2.1721739130434785)","(7.0, 13.5, 11.98)","(91.0, 240.0, 210.0)","(61.0, 180.0, 144.0)","(11.0, 16.0, 15.1)","(31.0, 80.0, 62.22222222222222)"
15-12-2022 12:41:50.112889,"(91.0, 510.0, 360.0)","(2.4, 2.8, 2.7985714285714285)","(1.95, 2.24, 2.1721739130434785)","(7.0, 13.5, 11.98)","(91.0, 240.0, 210.0)","(61.0, 180.0, 144.0)","(11.0, 16.0, 15.1)","(31.0, 80.0, 62.22222222222222)"
15-12-2022 12:41:51.480985,"(91.0, 510.0, 360.0)","(2.4, 2.8, 2.7985714285714285)","(1.95, 2.24, 2.1721739130434785)","(7.0, 13.5, 11.98)","(91.0, 240.0, 210.0)","(61.0, 180.0, 144.0)","(11.0, 16.0, 15.1)","(31.0, 80.0, 62.22222222222222)"
15-12-2022 12:41:52.822200,"(91.0, 510.0, 360.0)","(2.4, 2.8, 2.7985714285714285)","(1.95, 2.24, 2.1721739130434785)","(7.0, 13.5, 11.98)","(91.0, 240.0, 210.0)","(61.0, 180.0, 144.0)","(11.0, 16.0, 15.1)","(31.0, 80.0, 62.22222222222222)"
15-12-2022 12:41:54.124149,"(91.0, 510.0, 360.0)","(2.4, 2.8, 2.7985714285714285)","(1.95, 2.24, 2.170980392156863)","(7.0, 13.5, 11.98)","(91.0, 240.0, 210.0)","(61.0, 180.0, 144.0)","(11.0, 16.0, 15.307692307692308)","(31.0, 80.0, 62.22222222222222)"
15-12-2022 12:41:55.344860,"(91.0, 510.0, 360.0)","(2.4, 2.8, 2.7985714285714285)","(1.95, 2.24, 2.170980392156863)","(7.0, 13.5, 11.98)","(91.0, 240.0, 210.0)","(61.0, 180.0, 144.0)","(11.0, 16.0, 15.307692307692308)","(31.0, 80.0, 62.22222222222222)"
