,Wingman Dan,Runaway Babe,Just Slick,November,Chidobe,High Suite,Kentucky Showman,Public Servant
08-01-2023 19:03:47.284984,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 18.666666666666668)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 107.6470588235294)","(6.5, 12.0, 10.6)","(51.0, 350.0, 168.8)"
08-01-2023 19:03:48.465726,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 18.666666666666668)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 107.6470588235294)","(6.5, 12.0, 10.6)","(51.0, 350.0, 168.8)"
08-01-2023 19:03:49.544713,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 18.666666666666668)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 107.6470588235294)","(6.5, 12.0, 10.6)","(51.0, 350.0, 168.8)"
08-01-2023 19:03:50.613424,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 18.666666666666668)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 136.28571428571428)","(6.5, 12.0, 10.6)","(51.0, 350.0, 108.4)"
08-01-2023 19:03:51.734672,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 18.666666666666668)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 136.28571428571428)","(6.5, 12.0, 10.6)","(51.0, 350.0, 106.8)"
08-01-2023 19:03:52.848707,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 18.11111111111111)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 350.0, 106.8)"
08-01-2023 19:03:53.961106,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 17.08)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 350.0, 106.8)"
08-01-2023 19:03:55.087670,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 15.6)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 350.0, 106.8)"
08-01-2023 19:03:56.156166,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 15.6)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 350.0, 106.8)"
08-01-2023 19:03:57.216482,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 18.541666666666668)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 350.0, 106.8)"
