,Mozasu Nz,Trigger,Captain Thunderbolt Nz,Steinman Nz,Beancounter,Rocknroll Yankee
09-01-2023 14:20:55.384502,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:20:56.560995,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:20:57.817971,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:20:58.983248,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:00.163666,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:01.366690,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:02.555662,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:03.626229,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:04.681052,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:05.811465,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:06.975036,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:08.161397,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:09.197410,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:10.191368,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:11.343836,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:12.502956,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:13.653003,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:14.811343,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:15.922786,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:17.238176,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
