,Jupiter,Hozier Monelli,Ripple Raider,Lost Signal,Fernvale Flash,Here Wolfe
12-01-2023 18:05:45.242840,"(2.8, 3.2, 3.035)","(4.2, 7.4, 6.2)","(31.0, 180.0, 55.05882352941177)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.6, 3.122727272727273)"
12-01-2023 18:05:46.197549,"(2.8, 3.2, 3.08)","(4.2, 7.4, 6.2)","(31.0, 120.0, 55.05882352941177)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.6, 3.122727272727273)"
12-01-2023 18:05:47.236817,"(2.8, 3.2, 3.08)","(4.2, 7.4, 6.2)","(31.0, 120.0, 55.05882352941177)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.6, 3.1185185185185187)"
12-01-2023 18:05:48.301192,"(2.8, 3.2, 3.0615384615384618)","(4.2, 7.4, 6.2)","(31.0, 120.0, 55.05882352941177)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.6, 3.1185185185185187)"
12-01-2023 18:05:49.242232,"(2.8, 3.15, 3.0428571428571427)","(4.2, 7.4, 6.714285714285714)","(31.0, 120.0, 55.05882352941177)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.6, 3.145)"
12-01-2023 18:05:50.318035,"(2.8, 3.15, 3.085714285714286)","(4.2, 7.4, 6.714285714285714)","(31.0, 120.0, 55.05882352941177)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.1346153846153846)"
12-01-2023 18:05:51.323578,"(2.8, 3.25, 3.2)","(4.2, 7.4, 6.714285714285714)","(31.0, 120.0, 55.05882352941177)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.1346153846153846)"
12-01-2023 18:05:52.316952,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 120.0, 55.05882352941177)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.1346153846153846)"
12-01-2023 18:05:53.325581,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 120.0, 55.05882352941177)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.2125)"
12-01-2023 18:05:54.307974,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 120.0, 55.05882352941177)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.2125)"
12-01-2023 18:05:55.284432,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 120.0, 55.05882352941177)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.2125)"
