,Field Regiment,Mishani Conman,Nic Me Some,Ascot Express,Alert And Ready,Ginger Rock
15-12-2022 15:27:51.779539,"(2.4, 2.66, 2.6495652173913045)","(7.5, 10.5, 10.011111111111111)","(5.0, 7.8, 7.6)","(9.0, 14.5, 13.3)","(6.0, 99999, 99990)","(4.6, 5.7, 5.228571428571429)"
15-12-2022 15:27:52.635585,"(2.4, 2.66, 2.6495652173913045)","(7.5, 10.5, 10.011111111111111)","(5.0, 7.8, 7.6)","(9.0, 14.5, 13.3)","(6.0, 99999, 99990)","(4.6, 5.7, 5.228571428571429)"
15-12-2022 15:27:53.546923,"(2.4, 2.66, 2.6495652173913045)","(7.5, 10.5, 10.011111111111111)","(5.0, 7.8, 7.6)","(9.0, 14.5, 13.3)","(6.0, 99999, 99990)","(4.6, 5.7, 5.228571428571429)"
15-12-2022 15:27:54.489354,"(2.4, 2.66, 2.6495652173913045)","(7.5, 10.5, 10.011111111111111)","(5.0, 7.8, 7.6)","(9.0, 14.5, 13.3)","(6.0, 99999, 99990)","(4.6, 5.7, 5.228571428571429)"
15-12-2022 15:27:55.386328,"(2.4, 2.66, 2.6495652173913045)","(7.5, 10.5, 10.011111111111111)","(5.0, 7.8, 7.6)","(9.0, 14.5, 13.3)","(6.0, 99999, 99990)","(4.6, 5.7, 5.228571428571429)"
15-12-2022 15:27:56.253525,"(2.4, 2.66, 2.6495652173913045)","(7.5, 10.5, 10.011111111111111)","(5.0, 7.8, 7.6)","(9.0, 14.5, 13.3)","(6.0, 99999, 99990)","(4.6, 5.7, 5.228571428571429)"
15-12-2022 15:27:57.131644,"(2.4, 2.66, 2.6495652173913045)","(7.5, 10.5, 10.011111111111111)","(5.0, 7.8, 7.6)","(9.0, 14.5, 13.3)","(6.0, 99999, 99990)","(4.6, 5.7, 5.228571428571429)"
15-12-2022 15:27:58.003201,"(2.4, 2.66, 2.6495652173913045)","(7.5, 10.5, 10.011111111111111)","(5.0, 7.8, 7.6)","(9.0, 14.5, 13.3)","(6.0, 99999, 99990)","(4.6, 5.7, 5.228571428571429)"
15-12-2022 15:27:58.923391,"(2.4, 2.66, 2.6495652173913045)","(7.5, 10.5, 10.011111111111111)","(5.0, 7.8, 7.6)","(9.0, 14.5, 13.3)","(6.0, 99999, 99990)","(4.6, 5.7, 5.228571428571429)"
15-12-2022 15:27:59.838325,"(2.4, 2.66, 2.6361702127659576)","(7.5, 10.5, 10.011111111111111)","(5.0, 7.8, 7.6)","(9.0, 14.5, 13.3)","(6.0, 99999, 99990)","(4.6, 5.7, 5.228571428571429)"
15-12-2022 15:28:00.801145,"(2.4, 2.66, 2.6361702127659576)","(7.5, 10.5, 10.011111111111111)","(5.0, 8.0, 7.7)","(9.0, 14.5, 13.3)","(6.0, 99999, 99990)","(4.6, 5.7, 5.22)"
15-12-2022 15:28:01.680433,"(2.4, 2.66, 2.6361702127659576)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.600000000000001)","(9.0, 14.5, 13.3)","(6.0, 99999, 99990)","(4.6, 5.7, 5.228571428571429)"
15-12-2022 15:28:02.567322,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.6, 8.76)","(9.0, 14.5, 13.23076923076923)","(6.0, 99999, 99990)","(4.6, 5.7, 5.35)"
15-12-2022 15:28:03.505477,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 9.0)","(9.0, 14.5, 13.3)","(6.0, 99999, 99990)","(4.6, 5.6, 5.225)"
15-12-2022 15:28:04.418728,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.68)","(9.0, 14.5, 13.3)","(6.0, 99999, 99990)","(4.6, 5.6, 5.225)"
15-12-2022 15:28:05.312721,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.68)","(9.0, 14.5, 13.3)","(6.0, 99999, 99990)","(4.6, 5.6, 5.225)"
15-12-2022 15:28:06.175139,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.68)","(9.0, 14.5, 13.3)","(6.0, 99999, 99990)","(4.6, 5.6, 5.225)"
15-12-2022 15:28:07.046621,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.542857142857143)","(9.0, 14.0, 13.7)","(6.0, 99999, 99990)","(4.6, 5.6, 5.199999999999999)"
15-12-2022 15:28:07.934904,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.542857142857143)","(9.0, 14.0, 13.7)","(6.0, 99999, 99990)","(4.6, 5.6, 5.199999999999999)"
15-12-2022 15:28:08.840232,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.542857142857143)","(9.0, 14.0, 13.7)","(6.0, 99999, 99990)","(4.6, 5.6, 5.199999999999999)"
15-12-2022 15:28:09.718930,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.542857142857143)","(9.0, 14.0, 13.7)","(6.0, 99999, 99990)","(4.6, 5.6, 5.199999999999999)"
15-12-2022 15:28:10.599010,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.542857142857143)","(9.0, 14.0, 13.7)","(6.0, 99999, 99990)","(4.6, 5.6, 5.199999999999999)"
15-12-2022 15:28:11.452909,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.542857142857143)","(9.0, 14.0, 12.9)","(6.0, 99999, 99990)","(4.6, 5.6, 5.199999999999999)"
15-12-2022 15:28:12.380402,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.542857142857143)","(9.0, 14.0, 12.9)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:13.334531,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.542857142857143)","(9.0, 14.0, 12.9)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:14.219817,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.542857142857143)","(9.0, 14.0, 12.9)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:15.075799,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.542857142857143)","(9.0, 14.0, 13.0)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:15.991724,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.542857142857143)","(9.0, 14.0, 12.9)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:16.940667,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.542857142857143)","(9.0, 14.0, 12.9)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:17.902940,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.685714285714287)","(9.0, 14.0, 13.25)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:18.811746,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.4, 8.685714285714287)","(9.0, 14.0, 12.444444444444445)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:19.701129,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.2, 8.666666666666666)","(9.0, 14.0, 12.444444444444445)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:20.560352,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.2, 8.666666666666666)","(9.0, 14.0, 12.444444444444445)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:21.443654,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 10.011111111111111)","(5.0, 9.2, 8.666666666666666)","(9.0, 14.0, 12.444444444444445)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:22.365616,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 9.2, 8.666666666666666)","(9.0, 14.0, 13.428571428571429)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:23.274134,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 9.2, 8.666666666666666)","(9.0, 14.0, 13.428571428571429)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:24.139997,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 9.2, 8.666666666666666)","(9.0, 13.0, 11.0)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:25.007117,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 9.4, 9.114285714285714)","(9.0, 13.0, 10.428571428571429)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:25.892862,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 9.4, 9.114285714285714)","(9.0, 13.0, 10.375)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:26.790764,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 9.4, 9.114285714285714)","(9.0, 13.0, 10.375)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:27.656896,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 9.4, 9.114285714285714)","(9.0, 13.0, 10.375)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:28.552274,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 9.4, 9.114285714285714)","(9.0, 13.0, 10.375)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:29.480319,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 10.0, 9.733333333333334)","(9.0, 12.5, 11.333333333333334)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:30.415611,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 10.0, 9.475)","(9.0, 12.5, 10.3125)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:31.339608,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 10.0, 9.533333333333333)","(9.0, 12.5, 10.3125)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:32.284886,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 10.0, 9.042105263157895)","(9.0, 12.5, 10.3125)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:33.190012,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 10.0, 9.042105263157895)","(9.0, 12.5, 10.3125)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:34.053695,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 10.0, 9.042105263157895)","(9.0, 12.5, 10.3125)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:34.937305,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 10.0, 9.042105263157895)","(9.0, 12.5, 11.041666666666666)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:35.890461,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 10.0, 9.042105263157895)","(9.0, 12.5, 11.041666666666666)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:36.832869,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 10.0, 9.042105263157895)","(9.0, 12.5, 11.041666666666666)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:37.810396,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.8, 8.942857142857143)","(9.0, 12.5, 11.041666666666666)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:38.732734,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.8, 8.942857142857143)","(9.0, 12.5, 11.041666666666666)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:39.596322,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.8, 8.942857142857143)","(9.0, 12.5, 11.041666666666666)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:40.489433,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.8, 8.942857142857143)","(9.0, 12.5, 11.041666666666666)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:41.431484,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.8, 9.254545454545454)","(9.0, 12.5, 11.041666666666666)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:42.335740,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.8, 9.254545454545454)","(9.0, 12.5, 11.041666666666666)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:43.305467,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.8, 9.254545454545454)","(9.0, 12.5, 11.25)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:44.172590,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.8, 9.254545454545454)","(9.0, 13.5, 12.214285714285714)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:45.094008,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.8, 9.254545454545454)","(9.0, 13.5, 12.681818181818182)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:46.088646,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.8, 9.254545454545454)","(9.0, 13.5, 12.214285714285714)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:47.128399,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.8, 9.254545454545454)","(9.0, 13.5, 12.5)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:48.227148,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 10.0, 9.533333333333333)","(9.0, 13.5, 12.5)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:49.303122,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 10.0, 9.533333333333333)","(9.0, 13.5, 12.5)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:50.324984,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 10.0, 9.533333333333333)","(9.0, 13.5, 12.5)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:51.415816,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 10.0, 9.533333333333333)","(9.0, 13.5, 12.5)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:52.426762,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 10.0, 9.533333333333333)","(9.0, 13.5, 12.5)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:53.351517,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 10.0, 9.533333333333333)","(9.0, 13.5, 12.5)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:54.319991,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.8, 9.05)","(9.0, 13.5, 12.38888888888889)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:55.400617,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 9.8, 9.05)","(9.0, 13.5, 12.73076923076923)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:56.461345,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 9.8, 9.05)","(9.0, 13.5, 12.73076923076923)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:57.501526,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.6, 9.145454545454545)","(9.0, 13.5, 12.73076923076923)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:58.637941,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.6, 9.145454545454545)","(9.0, 13.5, 12.73076923076923)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:28:59.603124,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.6, 9.145454545454545)","(9.0, 13.5, 12.73076923076923)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:00.713027,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.6, 9.044444444444444)","(9.0, 13.5, 12.73076923076923)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:01.699734,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.6, 9.044444444444444)","(9.0, 13.5, 12.73076923076923)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:02.665907,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.6, 9.044444444444444)","(9.0, 13.5, 12.73076923076923)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:03.609965,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.6, 9.044444444444444)","(9.0, 13.5, 12.73076923076923)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:04.516671,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.6, 9.044444444444444)","(9.0, 13.5, 12.73076923076923)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:05.530720,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.6, 9.044444444444444)","(9.0, 13.5, 12.5)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:06.539772,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.978947368421053)","(5.0, 9.6, 9.044444444444444)","(9.0, 13.5, 12.5)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:07.444963,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 9.6, 9.044444444444444)","(9.0, 13.5, 12.5)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:08.356087,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 9.6, 9.044444444444444)","(9.0, 13.5, 12.5)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:09.341765,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 9.6, 9.044444444444444)","(9.0, 13.5, 12.5)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:10.378057,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 9.6, 9.56)","(9.0, 13.5, 12.5)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:11.394852,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 9.8, 9.56)","(9.0, 13.5, 12.5)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:12.368199,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 9.8, 9.56)","(9.0, 13.5, 12.5)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:13.316214,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.878260869565217)","(5.0, 9.8, 9.56)","(9.0, 13.5, 12.071428571428571)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:14.235898,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 9.56)","(9.0, 13.0, 11.928571428571429)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:15.172857,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 9.56)","(9.0, 13.0, 11.928571428571429)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:16.107401,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 9.56)","(9.0, 13.0, 11.928571428571429)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:17.011472,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 9.56)","(9.0, 13.0, 11.928571428571429)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:17.896674,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 9.56)","(9.0, 13.0, 11.928571428571429)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:18.840901,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 8.92)","(9.0, 13.0, 11.928571428571429)","(6.0, 99999, 99990)","(4.6, 5.6, 5.3)"
15-12-2022 15:29:19.811804,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 8.92)","(9.0, 13.0, 12.357142857142858)","(6.0, 99999, 99990)","(4.6, 5.6, 5.458823529411765)"
15-12-2022 15:29:20.842314,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 8.92)","(9.0, 13.0, 12.7)","(6.0, 99999, 99990)","(4.6, 5.6, 5.004651162790698)"
15-12-2022 15:29:21.846832,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 8.92)","(9.0, 14.0, 13.5)","(6.0, 99999, 99990)","(4.6, 5.8, 5.006666666666667)"
15-12-2022 15:29:22.782787,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 8.92)","(9.0, 14.0, 13.5)","(6.0, 99999, 99990)","(4.6, 5.7, 4.98421052631579)"
15-12-2022 15:29:23.676557,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 9.56)","(9.0, 14.0, 13.5)","(6.0, 99999, 99990)","(4.6, 5.7, 4.98421052631579)"
15-12-2022 15:29:24.615362,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 9.56)","(9.0, 14.0, 12.125)","(6.0, 99999, 99990)","(4.6, 5.7, 4.987500000000001)"
15-12-2022 15:29:25.545222,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 9.56)","(9.0, 14.0, 12.125)","(6.0, 99999, 99990)","(4.6, 5.6, 4.987500000000001)"
15-12-2022 15:29:26.474157,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 9.56)","(9.0, 14.0, 12.125)","(6.0, 99999, 99990)","(4.6, 5.6, 4.987500000000001)"
15-12-2022 15:29:27.380591,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 9.56)","(9.0, 14.0, 12.125)","(6.0, 99999, 99990)","(4.6, 5.6, 4.987500000000001)"
15-12-2022 15:29:28.260992,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 9.56)","(9.0, 14.0, 12.125)","(6.0, 99999, 99990)","(4.6, 5.6, 4.987500000000001)"
15-12-2022 15:29:29.176735,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 9.56)","(9.0, 14.0, 12.125)","(6.0, 99999, 99990)","(4.6, 5.6, 4.987500000000001)"
15-12-2022 15:29:30.170905,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 8.92)","(9.0, 14.0, 12.61111111111111)","(6.0, 99999, 99990)","(4.6, 5.6, 5.2)"
15-12-2022 15:29:31.122399,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 8.92)","(9.0, 14.0, 13.038461538461538)","(6.0, 99999, 99990)","(4.6, 5.5, 5.071428571428572)"
15-12-2022 15:29:31.979341,"(2.4, 2.66, 2.638095238095238)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 8.92)","(9.0, 14.0, 13.038461538461538)","(6.0, 99999, 99990)","(4.6, 5.5, 5.050000000000001)"
15-12-2022 15:29:32.810406,"(2.4, 2.64, 2.6365217391304347)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 8.92)","(9.0, 14.0, 13.038461538461538)","(6.0, 99999, 99990)","(4.6, 5.5, 5.050000000000001)"
15-12-2022 15:29:33.749315,"(2.4, 2.64, 2.6365217391304347)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 9.56)","(9.0, 14.0, 12.833333333333334)","(6.0, 99999, 99990)","(4.6, 5.5, 4.976923076923077)"
15-12-2022 15:29:34.717925,"(2.4, 2.64, 2.6365217391304347)","(7.5, 10.5, 9.705555555555556)","(5.0, 9.8, 9.56)","(9.0, 13.5, 12.342105263157894)","(6.0, 99999, 99990)","(4.6, 5.4, 4.9625)"
