,Real Steel,Fake,Federal Flame,Fortune Rose,Unacceptable Bro,Verve To Excel,Pattaya Pete,Smoking Barrel
08-01-2023 16:50:46.516794,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 570.7142857142858)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:50:47.702175,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:50:48.823732,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:50:49.953015,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:50:51.145726,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:50:52.358827,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:50:53.551075,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:50:54.705376,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:50:55.865315,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:50:56.997937,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:50:58.161952,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:50:59.421954,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
