,Dollar Signs,Brightly Staring,Aston Esme,Arkansas,All Inn Ryder,Black Tuxedo
08-01-2023 17:24:45.495097,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:24:46.374895,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:24:47.314766,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:24:48.200198,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:24:49.118757,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:24:50.070024,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:24:50.958665,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:24:51.901664,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:24:52.779525,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:24:53.654619,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:24:54.549705,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:24:55.478574,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:24:56.337512,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:24:57.299833,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:24:58.200562,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:24:59.065270,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:24:59.970319,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:25:00.847228,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:25:01.690810,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:25:02.647343,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:25:03.585473,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 26.1875)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:25:04.489329,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:25:05.435192,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:25:06.273376,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:25:07.135712,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.4, 5.125)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.03)"
08-01-2023 17:25:08.087656,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:08.952266,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:09.890252,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:10.810760,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:11.683803,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:12.625199,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:13.549763,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:14.475562,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:15.352233,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:16.262242,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:17.138924,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:18.075806,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:19.030572,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:19.953219,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:20.890226,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:21.752609,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:22.660425,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:23.556623,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:24.436121,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:25.327403,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:26.267196,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:27.153621,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:28.080303,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:29.003983,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:29.946049,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:30.874103,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:31.771135,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:32.685247,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:33.599809,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:34.488725,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:35.436489,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:36.350826,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:37.200059,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:38.103118,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:38.988668,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:39.912752,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:40.855766,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:41.728502,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:42.664274,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:43.571627,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:44.443189,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:45.439976,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:46.375457,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:47.288529,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:48.202147,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:49.076248,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:50.010559,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:50.968644,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:51.894355,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:52.850264,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:53.728559,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:54.616583,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:55.519712,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:56.397699,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:57.330488,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:25:58.250847,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
