,Zeldas Legend,Playboy Danger,Buckle Up Ginna,Locknane Serpent,Buckle Up Zion,Wave Blade,Camrose,Fine Irish
10,"[datetime.datetime(2022, 11, 28, 19, 27, 12, 227301), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 12, 227301), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 12, 227301), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 12, 227301), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 12, 227301), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 12, 227301), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 12, 227301), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 12, 227301), 3.7, 5.9]"
11,"[datetime.datetime(2022, 11, 28, 19, 27, 13, 362801), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 13, 362801), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 13, 362801), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 13, 362801), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 13, 362801), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 13, 362801), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 13, 362801), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 13, 362801), 3.7, 5.9]"
12,"[datetime.datetime(2022, 11, 28, 19, 27, 14, 495919), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 14, 495919), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 14, 495919), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 14, 495919), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 14, 495919), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 14, 495919), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 14, 495919), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 14, 495919), 3.7, 5.9]"
13,"[datetime.datetime(2022, 11, 28, 19, 27, 15, 628846), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 15, 628846), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 15, 628846), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 15, 628846), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 15, 628846), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 15, 628846), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 15, 628846), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 15, 628846), 3.7, 5.9]"
14,"[datetime.datetime(2022, 11, 28, 19, 27, 16, 760266), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 16, 760266), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 16, 760266), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 16, 760266), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 16, 760266), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 16, 760266), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 16, 760266), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 16, 760266), 3.7, 5.9]"
15,"[datetime.datetime(2022, 11, 28, 19, 27, 17, 891296), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 17, 891296), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 17, 891296), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 17, 891296), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 17, 891296), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 17, 891296), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 17, 891296), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 17, 891296), 3.7, 5.9]"
16,"[datetime.datetime(2022, 11, 28, 19, 27, 19, 21668), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 19, 21668), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 19, 21668), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 19, 21668), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 19, 21668), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 19, 21668), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 19, 21668), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 19, 21668), 3.7, 5.9]"
17,"[datetime.datetime(2022, 11, 28, 19, 27, 20, 165817), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 20, 165817), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 20, 165817), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 20, 165817), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 20, 165817), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 20, 165817), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 20, 165817), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 20, 165817), 3.7, 5.9]"
18,"[datetime.datetime(2022, 11, 28, 19, 27, 21, 294337), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 21, 294337), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 21, 294337), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 21, 294337), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 21, 294337), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 21, 294337), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 21, 294337), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 21, 294337), 3.7, 5.9]"
19,"[datetime.datetime(2022, 11, 28, 19, 27, 22, 431892), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 22, 431892), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 22, 431892), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 22, 431892), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 22, 431892), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 22, 431892), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 22, 431892), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 22, 431892), 3.7, 5.9]"
20,"[datetime.datetime(2022, 11, 28, 19, 27, 23, 563132), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 23, 563132), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 23, 563132), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 23, 563132), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 23, 563132), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 23, 563132), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 23, 563132), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 23, 563132), 3.7, 5.9]"
21,"[datetime.datetime(2022, 11, 28, 19, 27, 24, 702343), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 24, 702343), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 24, 702343), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 24, 702343), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 24, 702343), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 24, 702343), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 24, 702343), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 24, 702343), 3.7, 5.9]"
22,"[datetime.datetime(2022, 11, 28, 19, 27, 25, 834195), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 25, 834195), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 25, 834195), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 25, 834195), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 25, 834195), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 25, 834195), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 25, 834195), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 25, 834195), 3.7, 5.9]"
23,"[datetime.datetime(2022, 11, 28, 19, 27, 26, 981303), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 26, 981303), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 26, 981303), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 26, 981303), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 26, 981303), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 26, 981303), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 26, 981303), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 26, 981303), 3.7, 5.9]"
