,Homebush Opal,Mable Jewel,Barbaras Angel,Smash Jagger,Kildys Whiskey,Goldstar Butters,Clarks A Lark,Culvie Bun
12-01-2023 13:58:26.315770,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 4.665806451612903)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 10.66875)"
12-01-2023 13:58:27.538621,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.0, 4.665806451612903)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 10.66875)"
12-01-2023 13:58:28.699788,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.0, 4.665806451612903)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 10.66875)"
12-01-2023 13:58:29.796909,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.0, 4.665806451612903)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 10.66875)"
12-01-2023 13:58:30.861725,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.0, 4.665806451612903)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 10.66875)"
12-01-2023 13:58:32.446464,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.0, 4.665806451612903)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 10.66875)"
12-01-2023 13:58:33.784163,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.0, 4.665806451612903)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 10.66875)"
12-01-2023 13:58:35.045246,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.6, 5.46962962962963)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 10.66875)"
12-01-2023 13:58:36.283265,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 10.66875)"
12-01-2023 13:58:37.474909,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 10.66875)"
