,Spots Like Forty,Energizer Miss,Sweptail,Cumbria Dave,Venetian Fury
09-01-2023 17:48:23.048773,"(5.5, 12.0, 6.239999999999999)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.213095238095238)","(11.0, 23.0, 21.909090909090907)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:24.045640,"(5.5, 12.0, 6.239999999999999)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.213095238095238)","(11.0, 23.0, 21.909090909090907)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:25.060977,"(5.5, 12.0, 6.239999999999999)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.213095238095238)","(11.0, 23.0, 21.909090909090907)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:26.028932,"(5.5, 12.0, 6.239999999999999)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.213095238095238)","(11.0, 23.0, 21.909090909090907)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:27.022743,"(5.5, 12.0, 6.239999999999999)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.213095238095238)","(11.0, 23.0, 21.909090909090907)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:27.952959,"(5.5, 12.0, 6.239999999999999)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.213095238095238)","(11.0, 23.0, 21.909090909090907)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:28.869930,"(5.5, 12.0, 6.239999999999999)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.213095238095238)","(11.0, 23.0, 21.909090909090907)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:29.772567,"(5.5, 12.0, 6.239999999999999)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.213095238095238)","(11.0, 23.0, 21.909090909090907)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:30.828708,"(5.5, 12.0, 6.239999999999999)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.213095238095238)","(11.0, 23.0, 21.909090909090907)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:31.994828,"(5.5, 12.0, 6.239999999999999)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 23.0, 21.909090909090907)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:33.144361,"(5.5, 12.0, 6.239999999999999)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 23.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:34.103145,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:35.025707,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
