,Rocky Reef,Jonah Love,Canent Percy,Hes Got Swagger,Go Jack,Kinloch Cutie,Bobby Rissole
09-01-2023 18:29:40.348575,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 390.0, 153.52941176470588)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:29:41.686940,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 390.0, 153.52941176470588)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:29:43.096344,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 390.0, 153.52941176470588)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:29:44.359240,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 390.0, 153.52941176470588)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:29:45.842261,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 390.0, 153.52941176470588)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:29:47.511586,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.563529411764706)","(51.0, 390.0, 153.52941176470588)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:29:48.839709,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.563529411764706)","(51.0, 390.0, 153.52941176470588)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:29:50.064947,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.563529411764706)","(51.0, 390.0, 153.52941176470588)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:29:51.134002,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.563529411764706)","(51.0, 390.0, 183.84615384615384)","(6.5, 12.0, 8.25)","(21.0, 100.0, 62.0)"
09-01-2023 18:29:52.301946,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.563529411764706)","(51.0, 390.0, 180.76923076923077)","(6.5, 12.0, 8.25)","(21.0, 100.0, 62.0)"
09-01-2023 18:29:53.510222,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.78551724137931)","(51.0, 390.0, 180.76923076923077)","(6.5, 12.0, 8.25)","(21.0, 100.0, 62.0)"
09-01-2023 18:29:54.664315,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.789655172413793)","(51.0, 390.0, 180.76923076923077)","(6.5, 12.0, 8.25)","(21.0, 100.0, 62.0)"
09-01-2023 18:29:55.956444,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.789655172413793)","(51.0, 390.0, 180.76923076923077)","(6.5, 12.0, 8.25)","(21.0, 100.0, 62.0)"
09-01-2023 18:29:57.174100,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.789655172413793)","(51.0, 390.0, 180.76923076923077)","(6.5, 12.0, 8.25)","(21.0, 100.0, 62.0)"
09-01-2023 18:29:58.381306,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.789655172413793)","(51.0, 390.0, 180.76923076923077)","(6.5, 12.0, 8.25)","(21.0, 100.0, 62.0)"
09-01-2023 18:29:59.639238,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.789655172413793)","(51.0, 390.0, 180.76923076923077)","(6.5, 12.0, 8.25)","(21.0, 100.0, 62.0)"
09-01-2023 18:30:00.898923,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 390.0, 180.76923076923077)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:30:02.086229,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 390.0, 215.0)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:30:03.208774,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 380.0, 215.0)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:30:04.271299,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 380.0, 215.0)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:30:05.408776,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 380.0, 215.0)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:30:06.533125,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 380.0, 215.0)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:30:07.732986,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 380.0, 215.0)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:30:08.907432,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 380.0, 215.0)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:30:10.148806,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 380.0, 215.0)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:30:11.262708,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 380.0, 215.0)","(6.5, 12.0, 8.25)","(21.0, 100.0, 53.230769230769226)"
09-01-2023 18:30:12.363192,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.53)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 100.0, 48.66666666666667)"
09-01-2023 18:30:13.408736,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.563529411764706)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 100.0, 48.66666666666667)"
09-01-2023 18:30:14.514038,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.563529411764706)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 100.0, 48.66666666666667)"
09-01-2023 18:30:15.667159,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.563529411764706)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 100.0, 48.66666666666667)"
09-01-2023 18:30:16.938766,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.563529411764706)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 100.0, 48.66666666666667)"
09-01-2023 18:30:18.143425,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.762222222222222)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 100.0, 48.66666666666667)"
09-01-2023 18:30:19.380704,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.789655172413793)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 100.0, 48.66666666666667)"
09-01-2023 18:30:20.642281,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.789655172413793)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 100.0, 48.66666666666667)"
09-01-2023 18:30:22.080462,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.8567567567567567)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 100.0, 55.0)"
09-01-2023 18:30:23.419641,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:24.642991,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
