,Danspur,Hardyo,Ringside,Sure Strategy,Corvo,Quest For Honor,Time To Dazzle,Lucky Jackson,Stampede Warrior,The Enzo,Mondial Express,Aisle Six
12-01-2023 13:59:31.724211,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 25.0, 22.545454545454547)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 12.0, 11.181818181818182)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.958333333333332)","(17.0, 34.0, 27.125)"
12-01-2023 13:59:33.383707,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 25.0, 22.545454545454547)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 12.0, 11.181818181818182)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.958333333333332)","(17.0, 34.0, 27.125)"
12-01-2023 13:59:35.053272,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 25.0, 22.545454545454547)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 12.0, 11.181818181818182)","(20.0, 50.0, 35.0)","(21.0, 27.0, 25.958333333333332)","(17.0, 34.0, 27.125)"
12-01-2023 13:59:36.577701,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 25.0, 22.545454545454547)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 12.0, 11.181818181818182)","(20.0, 50.0, 35.0)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 27.125)"
12-01-2023 13:59:38.150296,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 25.0, 22.545454545454547)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 12.0, 11.181818181818182)","(20.0, 50.0, 35.0)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 27.125)"
12-01-2023 13:59:39.727998,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 25.0, 22.545454545454547)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 12.0, 11.181818181818182)","(20.0, 50.0, 35.0)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 27.125)"
12-01-2023 13:59:41.297331,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 25.0, 22.545454545454547)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 12.0, 11.181818181818182)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 27.125)"
12-01-2023 13:59:42.878196,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 25.0, 22.545454545454547)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 12.0, 11.181818181818182)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 27.125)"
12-01-2023 13:59:44.432594,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 25.0, 22.545454545454547)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 12.0, 11.181818181818182)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 27.125)"
12-01-2023 13:59:45.968111,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 25.0, 22.545454545454547)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 12.0, 11.181818181818182)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 27.125)"
12-01-2023 13:59:47.585558,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 25.0, 19.65625)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 12.0, 12.666666666666666)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 26.384615384615383)"
12-01-2023 13:59:49.191163,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 26.0, 19.65625)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 14.0, 12.666666666666666)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 26.384615384615383)"
12-01-2023 13:59:50.857153,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 26.0, 19.65625)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 14.0, 11.11111111111111)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 26.384615384615383)"
12-01-2023 13:59:52.401276,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 26.0, 22.545454545454547)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 13.5, 11.11111111111111)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 26.384615384615383)"
12-01-2023 13:59:54.072077,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 25.0, 22.545454545454547)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 13.5, 11.11111111111111)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 26.384615384615383)"
12-01-2023 13:59:55.775271,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 25.0, 22.545454545454547)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 13.5, 11.11111111111111)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 26.384615384615383)"
12-01-2023 13:59:57.460362,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 25.0, 22.545454545454547)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 13.5, 11.11111111111111)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 26.384615384615383)"
12-01-2023 13:59:58.932329,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 25.0, 22.545454545454547)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 13.5, 11.11111111111111)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 26.384615384615383)"
12-01-2023 14:00:00.502841,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 25.0, 22.545454545454547)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 13.5, 11.11111111111111)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 26.384615384615383)"
12-01-2023 14:00:02.193550,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.714285714285715)","(26.0, 130.0, 104.0)","(12.0, 25.0, 22.545454545454547)","(4.6, 6.8, 6.08)","(12.0, 23.0, 18.8)","(7.0, 13.5, 11.11111111111111)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 26.384615384615383)"
12-01-2023 14:00:03.797612,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.49090909090909)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
