,Princeton Award,Almsgiver,Dirt On Harry,Springvale Road,Diamond Luke,Johandough,Takumi,Till Its Over,West Cliff,Glitter N Gold,So She Can Fly,Celtic Glory
08-12-2022 15:10:17.070185,"(5.5, 6.0, 5.76)","(8.0, 11.5, 10.46875)","(19.0, 30.0, 24.90909090909091)","(31.0, 95.0, 79.625)","(5.0, 5.5, 5.30625)","(8.5, 18.0, 17.11111111111111)","(7.0, 8.0, 7.967567567567568)","(19.0, 34.0, 27.333333333333332)","(51.0, 95.0, 89.28571428571428)","(5.0, 7.6, 7.010526315789473)","(21.0, 24.0, 23.75)","(8.5, 11.0, 10.0)"
08-12-2022 15:10:18.706395,"(5.5, 6.0, 5.76)","(8.0, 11.5, 10.46875)","(19.0, 30.0, 24.90909090909091)","(31.0, 85.0, 79.625)","(5.0, 5.5, 5.30625)","(8.5, 18.0, 17.11111111111111)","(7.0, 8.0, 7.967567567567568)","(19.0, 34.0, 27.333333333333332)","(51.0, 95.0, 89.28571428571428)","(5.0, 7.6, 6.8533333333333335)","(21.0, 25.0, 24.08823529411765)","(8.5, 12.0, 11.35)"
08-12-2022 15:10:20.306677,"(5.5, 6.0, 5.76)","(8.0, 11.5, 10.125)","(19.0, 30.0, 24.90909090909091)","(31.0, 85.0, 79.625)","(5.0, 5.5, 5.30625)","(8.5, 18.0, 17.11111111111111)","(7.0, 8.0, 7.967567567567568)","(19.0, 34.0, 27.333333333333332)","(51.0, 95.0, 89.28571428571428)","(5.0, 7.6, 7.257142857142857)","(21.0, 25.0, 24.08823529411765)","(8.5, 12.0, 10.3)"
08-12-2022 15:10:21.763807,"(5.5, 6.0, 5.76)","(8.0, 11.5, 10.125)","(19.0, 30.0, 24.90909090909091)","(31.0, 85.0, 79.625)","(5.0, 5.5, 5.30625)","(8.5, 18.0, 17.652173913043477)","(7.0, 8.0, 7.967567567567568)","(19.0, 34.0, 30.923076923076923)","(51.0, 95.0, 89.28571428571428)","(5.0, 7.6, 7.4799999999999995)","(21.0, 25.0, 24.08823529411765)","(8.5, 11.5, 11.188888888888888)"
08-12-2022 15:10:23.150276,"(5.5, 6.0, 5.76)","(8.0, 11.5, 10.214285714285714)","(19.0, 30.0, 24.90909090909091)","(31.0, 85.0, 79.625)","(5.0, 5.5, 5.288636363636364)","(8.5, 18.0, 17.5)","(7.0, 8.0, 7.967567567567568)","(19.0, 34.0, 30.923076923076923)","(51.0, 95.0, 89.28571428571428)","(5.0, 7.6, 7.489473684210526)","(21.0, 25.0, 24.08823529411765)","(8.5, 11.5, 11.188888888888888)"
08-12-2022 15:10:24.676978,"(5.5, 6.0, 5.76)","(8.0, 11.5, 10.214285714285714)","(19.0, 30.0, 24.90909090909091)","(31.0, 85.0, 79.625)","(5.0, 5.5, 5.288636363636364)","(8.5, 18.5, 17.5)","(7.0, 8.0, 7.967567567567568)","(19.0, 34.0, 30.923076923076923)","(51.0, 95.0, 89.28571428571428)","(5.0, 7.6, 7.489473684210526)","(21.0, 25.0, 24.08823529411765)","(8.5, 11.5, 11.188888888888888)"
08-12-2022 15:10:26.100009,"(5.5, 6.0, 5.76)","(8.0, 11.5, 10.214285714285714)","(19.0, 30.0, 24.90909090909091)","(31.0, 85.0, 79.625)","(5.0, 5.5, 5.288636363636364)","(8.5, 18.5, 17.5)","(7.0, 8.0, 7.967567567567568)","(19.0, 34.0, 30.923076923076923)","(51.0, 95.0, 89.28571428571428)","(5.0, 7.6, 7.489473684210526)","(21.0, 25.0, 24.08823529411765)","(8.5, 11.5, 10.414285714285715)"
08-12-2022 15:10:27.421466,"(5.5, 6.0, 5.76)","(8.0, 11.5, 10.214285714285714)","(19.0, 30.0, 24.90909090909091)","(31.0, 85.0, 79.625)","(5.0, 5.5, 5.288636363636364)","(8.5, 18.5, 17.5)","(7.0, 8.0, 7.967567567567568)","(19.0, 34.0, 30.923076923076923)","(51.0, 95.0, 89.28571428571428)","(5.0, 7.6, 7.489473684210526)","(21.0, 25.0, 24.08823529411765)","(8.5, 11.5, 10.414285714285715)"
08-12-2022 15:10:28.697314,"(5.5, 6.0, 5.76)","(8.0, 11.5, 10.214285714285714)","(19.0, 30.0, 24.90909090909091)","(31.0, 85.0, 79.625)","(5.0, 5.5, 5.288636363636364)","(8.5, 18.5, 17.5)","(7.0, 8.0, 7.967567567567568)","(19.0, 34.0, 30.923076923076923)","(51.0, 95.0, 89.28571428571428)","(5.0, 7.6, 7.489473684210526)","(21.0, 25.0, 24.08823529411765)","(8.5, 11.5, 10.414285714285715)"
08-12-2022 15:10:30.103791,"(5.5, 6.0, 5.76)","(8.0, 11.5, 10.214285714285714)","(19.0, 30.0, 24.90909090909091)","(31.0, 85.0, 79.625)","(5.0, 5.5, 5.288636363636364)","(8.5, 18.5, 17.5)","(7.0, 8.0, 7.967567567567568)","(19.0, 34.0, 30.923076923076923)","(51.0, 95.0, 89.28571428571428)","(5.0, 7.6, 7.489473684210526)","(21.0, 25.0, 24.08823529411765)","(8.5, 11.5, 10.414285714285715)"
