,Thumbs Up,Just Like Honey,Witty Wendy,Haras Heidi,Sassy Sniper,Black Horizon
0,"[datetime.datetime(2022, 11, 28, 18, 11, 31, 709196), 2.6, 3.75]","[datetime.datetime(2022, 11, 28, 18, 11, 31, 709196), 3.4, 5.1]","[datetime.datetime(2022, 11, 28, 18, 11, 31, 709196), 5.5, 8.8]","[datetime.datetime(2022, 11, 28, 18, 11, 31, 709196), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 18, 11, 31, 709196), 3.1, 5.9]","[datetime.datetime(2022, 11, 28, 18, 11, 31, 709196), 61.0, 570.0]"
1,"[datetime.datetime(2022, 11, 28, 18, 11, 32, 808299), 2.6, 3.65]","[datetime.datetime(2022, 11, 28, 18, 11, 32, 808299), 3.4, 5.1]","[datetime.datetime(2022, 11, 28, 18, 11, 32, 808299), 5.5, 8.8]","[datetime.datetime(2022, 11, 28, 18, 11, 32, 808299), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 18, 11, 32, 808299), 3.1, 5.9]","[datetime.datetime(2022, 11, 28, 18, 11, 32, 808299), 61.0, 570.0]"
2,"[datetime.datetime(2022, 11, 28, 18, 11, 33, 921564), 2.6, 3.65]","[datetime.datetime(2022, 11, 28, 18, 11, 33, 921564), 3.4, 5.1]","[datetime.datetime(2022, 11, 28, 18, 11, 33, 921564), 5.5, 8.8]","[datetime.datetime(2022, 11, 28, 18, 11, 33, 921564), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 18, 11, 33, 921564), 3.1, 5.9]","[datetime.datetime(2022, 11, 28, 18, 11, 33, 921564), 61.0, 570.0]"
3,"[datetime.datetime(2022, 11, 28, 18, 11, 35, 20170), 2.6, 3.65]","[datetime.datetime(2022, 11, 28, 18, 11, 35, 20170), 3.4, 5.1]","[datetime.datetime(2022, 11, 28, 18, 11, 35, 20170), 5.5, 8.8]","[datetime.datetime(2022, 11, 28, 18, 11, 35, 20170), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 18, 11, 35, 20170), 3.1, 5.9]","[datetime.datetime(2022, 11, 28, 18, 11, 35, 20170), 61.0, 570.0]"
4,"[datetime.datetime(2022, 11, 28, 18, 11, 36, 122160), 2.6, 3.65]","[datetime.datetime(2022, 11, 28, 18, 11, 36, 122160), 3.4, 5.1]","[datetime.datetime(2022, 11, 28, 18, 11, 36, 122160), 5.5, 8.8]","[datetime.datetime(2022, 11, 28, 18, 11, 36, 122160), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 18, 11, 36, 122160), 3.1, 5.9]","[datetime.datetime(2022, 11, 28, 18, 11, 36, 122160), 61.0, 570.0]"
5,"[datetime.datetime(2022, 11, 28, 18, 11, 37, 218992), 2.6, 3.65]","[datetime.datetime(2022, 11, 28, 18, 11, 37, 218992), 3.4, 5.1]","[datetime.datetime(2022, 11, 28, 18, 11, 37, 218992), 5.5, 8.8]","[datetime.datetime(2022, 11, 28, 18, 11, 37, 218992), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 18, 11, 37, 218992), 3.1, 5.9]","[datetime.datetime(2022, 11, 28, 18, 11, 37, 218992), 61.0, 570.0]"
6,"[datetime.datetime(2022, 11, 28, 18, 11, 38, 324753), 2.6, 3.65]","[datetime.datetime(2022, 11, 28, 18, 11, 38, 324753), 3.4, 5.1]","[datetime.datetime(2022, 11, 28, 18, 11, 38, 324753), 5.5, 8.8]","[datetime.datetime(2022, 11, 28, 18, 11, 38, 324753), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 18, 11, 38, 324753), 3.1, 5.9]","[datetime.datetime(2022, 11, 28, 18, 11, 38, 324753), 61.0, 570.0]"
7,"[datetime.datetime(2022, 11, 28, 18, 11, 39, 431619), 2.6, 3.65]","[datetime.datetime(2022, 11, 28, 18, 11, 39, 431619), 3.4, 5.1]","[datetime.datetime(2022, 11, 28, 18, 11, 39, 431619), 5.5, 8.8]","[datetime.datetime(2022, 11, 28, 18, 11, 39, 431619), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 18, 11, 39, 431619), 3.1, 5.9]","[datetime.datetime(2022, 11, 28, 18, 11, 39, 431619), 61.0, 570.0]"
8,"[datetime.datetime(2022, 11, 28, 18, 11, 40, 531969), 2.6, 3.65]","[datetime.datetime(2022, 11, 28, 18, 11, 40, 531969), 3.4, 5.1]","[datetime.datetime(2022, 11, 28, 18, 11, 40, 531969), 5.5, 8.8]","[datetime.datetime(2022, 11, 28, 18, 11, 40, 531969), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 18, 11, 40, 531969), 3.1, 5.9]","[datetime.datetime(2022, 11, 28, 18, 11, 40, 531969), 61.0, 570.0]"
9,"[datetime.datetime(2022, 11, 28, 18, 11, 41, 638164), 2.6, 3.65]","[datetime.datetime(2022, 11, 28, 18, 11, 41, 638164), 3.4, 5.1]","[datetime.datetime(2022, 11, 28, 18, 11, 41, 638164), 5.5, 8.8]","[datetime.datetime(2022, 11, 28, 18, 11, 41, 638164), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 18, 11, 41, 638164), 3.1, 5.9]","[datetime.datetime(2022, 11, 28, 18, 11, 41, 638164), 61.0, 570.0]"
10,"[datetime.datetime(2022, 11, 28, 18, 11, 42, 740824), 2.6, 3.65]","[datetime.datetime(2022, 11, 28, 18, 11, 42, 740824), 3.4, 5.1]","[datetime.datetime(2022, 11, 28, 18, 11, 42, 740824), 5.5, 8.8]","[datetime.datetime(2022, 11, 28, 18, 11, 42, 740824), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 18, 11, 42, 740824), 3.1, 5.9]","[datetime.datetime(2022, 11, 28, 18, 11, 42, 740824), 61.0, 570.0]"
11,"[datetime.datetime(2022, 11, 28, 18, 11, 43, 841677), 2.6, 3.65]","[datetime.datetime(2022, 11, 28, 18, 11, 43, 841677), 3.4, 5.1]","[datetime.datetime(2022, 11, 28, 18, 11, 43, 841677), 5.5, 8.8]","[datetime.datetime(2022, 11, 28, 18, 11, 43, 841677), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 18, 11, 43, 841677), 3.1, 5.9]","[datetime.datetime(2022, 11, 28, 18, 11, 43, 841677), 61.0, 570.0]"
12,"[datetime.datetime(2022, 11, 28, 18, 11, 44, 939612), 2.6, 3.65]","[datetime.datetime(2022, 11, 28, 18, 11, 44, 939612), 3.4, 5.1]","[datetime.datetime(2022, 11, 28, 18, 11, 44, 939612), 5.5, 8.8]","[datetime.datetime(2022, 11, 28, 18, 11, 44, 939612), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 18, 11, 44, 939612), 3.1, 5.9]","[datetime.datetime(2022, 11, 28, 18, 11, 44, 939612), 61.0, 570.0]"
13,"[datetime.datetime(2022, 11, 28, 18, 11, 46, 40734), 2.6, 3.65]","[datetime.datetime(2022, 11, 28, 18, 11, 46, 40734), 3.4, 5.1]","[datetime.datetime(2022, 11, 28, 18, 11, 46, 40734), 5.5, 8.8]","[datetime.datetime(2022, 11, 28, 18, 11, 46, 40734), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 18, 11, 46, 40734), 3.1, 5.9]","[datetime.datetime(2022, 11, 28, 18, 11, 46, 40734), 61.0, 570.0]"
14,"[datetime.datetime(2022, 11, 28, 18, 11, 47, 146661), 2.6, 3.65]","[datetime.datetime(2022, 11, 28, 18, 11, 47, 146661), 3.4, 5.1]","[datetime.datetime(2022, 11, 28, 18, 11, 47, 146661), 5.5, 8.8]","[datetime.datetime(2022, 11, 28, 18, 11, 47, 146661), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 18, 11, 47, 146661), 3.1, 5.9]","[datetime.datetime(2022, 11, 28, 18, 11, 47, 146661), 61.0, 570.0]"
15,"[datetime.datetime(2022, 11, 28, 18, 11, 48, 246092), 2.6, 3.65]","[datetime.datetime(2022, 11, 28, 18, 11, 48, 246092), 3.4, 5.1]","[datetime.datetime(2022, 11, 28, 18, 11, 48, 246092), 5.5, 8.8]","[datetime.datetime(2022, 11, 28, 18, 11, 48, 246092), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 18, 11, 48, 246092), 3.1, 5.9]","[datetime.datetime(2022, 11, 28, 18, 11, 48, 246092), 61.0, 570.0]"
