,Spring Maple,Tuta Yankee,Point To Point,Spring Rock,Springview Magic,Bundy Prize,Duelling Banjos,Nando Sid
06-01-2023 15:46:28.502591,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 17.9)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 127.0)"
06-01-2023 15:46:29.637016,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 17.9)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 127.0)"
06-01-2023 15:46:30.880879,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 17.9)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 127.0)"
06-01-2023 15:46:31.988663,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 17.9)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 127.0)"
06-01-2023 15:46:33.131393,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 17.9)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 127.0)"
06-01-2023 15:46:34.608125,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 17.9)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 127.0)"
06-01-2023 15:46:35.644704,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 17.9)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 127.0)"
06-01-2023 15:46:36.715698,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:37.887666,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:39.091608,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:40.313868,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:41.580612,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:42.785424,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:43.930154,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:45.088562,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:46.280748,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:47.292891,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:48.412298,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.4, 3.4407407407407407)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:49.595018,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8333333333333335)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:50.705619,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.7)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8333333333333335)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:51.853064,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.8, 4.7)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8333333333333335)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:52.998921,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.8, 4.7)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8333333333333335)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:54.074414,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.8, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8333333333333335)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:55.161915,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8333333333333335)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:56.243026,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8333333333333335)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:57.235900,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8333333333333335)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:58.449433,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8333333333333335)","(51.0, 220.0, 86.5)"
06-01-2023 15:46:59.653380,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8333333333333335)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:00.819802,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8333333333333335)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:01.979473,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8333333333333335)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:03.097540,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8333333333333335)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:04.290926,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8333333333333335)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:05.392414,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8333333333333335)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:06.747696,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8333333333333335)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:07.802891,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.55)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8333333333333335)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:09.179607,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.5, 4.7)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.3, 3.8000000000000003)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:10.768661,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.8, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:11.914431,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:13.034215,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:14.207443,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 98.15384615384616)"
06-01-2023 15:47:15.250298,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 98.15384615384616)"
06-01-2023 15:47:16.365321,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 98.15384615384616)"
06-01-2023 15:47:17.746342,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 98.15384615384616)"
06-01-2023 15:47:18.849253,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 98.15384615384616)"
06-01-2023 15:47:19.862733,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 98.15384615384616)"
06-01-2023 15:47:20.967237,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:22.064122,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:23.255231,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:24.517398,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:25.720076,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 86.5)"
