,Zenani,Bronze Mile,Fascinate Model,Lakota,Apache Teepee,Send It Tiger,Ready To Wiggle,Banebridge
10-01-2023 20:33:58.371667,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:33:59.708059,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:01.111967,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:02.455320,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:03.752487,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:05.079541,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:06.332429,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:07.564396,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:08.885397,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:10.259334,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:11.448065,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:12.740741,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:14.385696,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:15.756672,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:17.029771,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:18.401082,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:19.881786,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:21.241724,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:22.611828,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:23.975761,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:25.352801,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:26.669593,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:27.990940,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:29.290607,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
