,Melinke,Dissmagic,Drink Then Kiss,Fine Things,Rocknrollprincess,Cato Lake,Coldenkim,Piwhane,Warringah Storm,Lone Raider
04-01-2023 13:57:13.891799,"(3.0, 4.2, 4.154545454545455)","(5.5, 7.4, 6.636363636363637)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 380.0, 233.33333333333331)","(4.8, 7.4, 7.321052631578947)","(101.0, 390.0, 236.66666666666669)","(4.2, 5.2, 5.05)","(101.0, 470.0, 263.3333333333333)","(51.0, 270.0, 136.66666666666669)"
04-01-2023 13:57:15.545888,"(3.0, 4.4, 4.116666666666667)","(5.5, 7.4, 6.636363636363637)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 380.0, 233.33333333333331)","(4.8, 7.4, 7.321052631578947)","(101.0, 390.0, 236.66666666666669)","(4.2, 5.2, 5.05)","(101.0, 470.0, 263.3333333333333)","(51.0, 270.0, 136.66666666666669)"
04-01-2023 13:57:16.957535,"(3.0, 4.4, 4.116666666666667)","(5.5, 7.4, 6.636363636363637)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 380.0, 233.33333333333331)","(4.8, 7.4, 7.321052631578947)","(101.0, 390.0, 236.66666666666669)","(4.2, 5.2, 4.95)","(101.0, 470.0, 263.3333333333333)","(51.0, 270.0, 136.66666666666669)"
04-01-2023 13:57:18.407201,"(3.0, 4.4, 4.145652173913044)","(5.5, 7.4, 6.680000000000001)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 380.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 390.0, 233.33333333333331)","(4.2, 5.2, 4.95)","(101.0, 470.0, 260.0)","(51.0, 270.0, 133.33333333333334)"
04-01-2023 13:57:19.862976,"(3.0, 4.4, 4.145652173913044)","(5.5, 7.4, 6.680000000000001)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.95)","(101.0, 460.0, 260.0)","(51.0, 260.0, 133.33333333333334)"
04-01-2023 13:57:21.230676,"(3.0, 4.4, 4.145652173913044)","(5.5, 7.4, 6.680000000000001)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.95)","(101.0, 460.0, 260.0)","(51.0, 260.0, 133.33333333333334)"
04-01-2023 13:57:22.544923,"(3.0, 4.4, 4.145652173913044)","(5.5, 7.4, 6.680000000000001)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.95)","(101.0, 460.0, 260.0)","(51.0, 260.0, 133.33333333333334)"
04-01-2023 13:57:23.871694,"(3.0, 4.4, 4.145652173913044)","(5.5, 7.4, 6.680000000000001)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.95)","(101.0, 460.0, 260.0)","(51.0, 260.0, 133.33333333333334)"
04-01-2023 13:57:25.215077,"(3.0, 4.4, 4.145652173913044)","(5.5, 7.4, 6.680000000000001)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.95)","(101.0, 460.0, 260.0)","(51.0, 260.0, 133.33333333333334)"
04-01-2023 13:57:26.565961,"(3.0, 4.4, 4.145652173913044)","(5.5, 7.4, 6.680000000000001)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.95)","(101.0, 460.0, 260.0)","(51.0, 260.0, 133.33333333333334)"
04-01-2023 13:57:27.861864,"(3.0, 4.4, 4.145652173913044)","(5.5, 7.4, 6.680000000000001)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.95)","(101.0, 460.0, 260.0)","(51.0, 260.0, 133.33333333333334)"
04-01-2023 13:57:29.265238,"(3.0, 4.4, 4.145652173913044)","(5.5, 7.4, 6.680000000000001)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.95)","(101.0, 460.0, 260.0)","(51.0, 260.0, 133.33333333333334)"
04-01-2023 13:57:30.626389,"(3.0, 4.4, 4.145652173913044)","(5.5, 7.4, 6.680000000000001)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.95)","(101.0, 460.0, 260.0)","(51.0, 260.0, 133.33333333333334)"
04-01-2023 13:57:32.130146,"(3.0, 4.4, 4.145652173913044)","(5.5, 7.4, 6.680000000000001)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.95)","(101.0, 460.0, 260.0)","(51.0, 260.0, 133.33333333333334)"
04-01-2023 13:57:33.611974,"(3.0, 4.4, 4.257317073170732)","(5.5, 7.4, 7.021052631578947)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.95)","(101.0, 460.0, 260.0)","(51.0, 260.0, 133.33333333333334)"
04-01-2023 13:57:34.861841,"(3.0, 4.4, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.807142857142857)","(101.0, 460.0, 260.0)","(51.0, 260.0, 133.33333333333334)"
04-01-2023 13:57:36.108147,"(3.0, 4.3, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.807142857142857)","(101.0, 460.0, 260.0)","(51.0, 260.0, 150.0)"
04-01-2023 13:57:37.385368,"(3.0, 4.3, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.807142857142857)","(101.0, 460.0, 260.0)","(51.0, 310.0, 150.0)"
04-01-2023 13:57:38.594480,"(3.0, 4.3, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.807142857142857)","(101.0, 460.0, 260.0)","(51.0, 310.0, 150.0)"
04-01-2023 13:57:39.807871,"(3.0, 4.3, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.807142857142857)","(101.0, 460.0, 260.0)","(51.0, 310.0, 150.0)"
04-01-2023 13:57:41.051783,"(3.0, 4.3, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.807142857142857)","(101.0, 460.0, 260.0)","(51.0, 310.0, 150.0)"
04-01-2023 13:57:42.301196,"(3.0, 4.3, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.807142857142857)","(101.0, 460.0, 260.0)","(51.0, 310.0, 150.0)"
04-01-2023 13:57:43.492701,"(3.0, 4.3, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.807142857142857)","(101.0, 460.0, 260.0)","(51.0, 310.0, 150.0)"
04-01-2023 13:57:44.713613,"(3.0, 4.3, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.807142857142857)","(101.0, 460.0, 260.0)","(51.0, 310.0, 150.0)"
04-01-2023 13:57:45.960948,"(3.0, 4.3, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.807142857142857)","(101.0, 460.0, 260.0)","(51.0, 310.0, 146.66666666666669)"
04-01-2023 13:57:47.198943,"(3.0, 4.3, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.807142857142857)","(101.0, 460.0, 260.0)","(51.0, 300.0, 146.66666666666669)"
04-01-2023 13:57:48.493582,"(3.0, 4.3, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.807142857142857)","(101.0, 460.0, 260.0)","(51.0, 300.0, 146.66666666666669)"
04-01-2023 13:57:49.699898,"(3.0, 4.3, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 370.0, 230.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 380.0, 233.33333333333331)","(4.2, 5.2, 4.807142857142857)","(101.0, 460.0, 260.0)","(51.0, 300.0, 146.66666666666669)"
04-01-2023 13:57:50.886431,"(3.0, 4.3, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 360.0, 226.66666666666669)","(4.8, 7.4, 7.321052631578947)","(101.0, 370.0, 230.0)","(4.2, 5.2, 4.807142857142857)","(101.0, 450.0, 256.6666666666667)","(51.0, 290.0, 143.33333333333331)"
