,Sweet Kathlene,Just A Jester,Confer,Daintree Lad,All To Mac,Sweaty Hand,Big City Nights
07-01-2023 09:16:54.475615,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:16:55.635129,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:16:56.729038,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:16:57.733711,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:16:58.678703,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:16:59.613593,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:00.613139,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:01.599977,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:02.597474,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:03.623334,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
