,Blue Bloodz,Sabotage,Shesfeelinspecial,Reds Star Deal,Charlie My Boy,Mister Galvinator,Certainlycallitin,Heavenly Sea
11-01-2023 19:36:03.756499,"(1.5, 1.99, 1.8257142857142856)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.7875000000000005)","(101.0, 210.0, 195.45454545454544)","(8.0, 9.8, 8.542857142857143)","(51.0, 110.0, 96.25)","(71.0, 190.0, 165.0)"
11-01-2023 19:36:05.162453,"(1.5, 1.99, 1.8257142857142856)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.7875000000000005)","(101.0, 210.0, 195.45454545454544)","(8.0, 9.8, 8.542857142857143)","(51.0, 110.0, 96.25)","(71.0, 190.0, 165.0)"
11-01-2023 19:36:06.486875,"(1.5, 1.99, 1.8257142857142856)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.466666666666667)","(101.0, 210.0, 195.45454545454544)","(8.0, 9.8, 8.8)","(51.0, 110.0, 96.25)","(71.0, 190.0, 165.0)"
11-01-2023 19:36:07.809235,"(1.5, 1.99, 1.8257142857142856)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.8, 4.466666666666667)","(101.0, 210.0, 195.45454545454544)","(8.0, 9.8, 8.8)","(51.0, 110.0, 96.25)","(71.0, 190.0, 165.0)"
11-01-2023 19:36:09.054071,"(1.5, 1.99, 1.8257142857142856)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.8, 4.466666666666667)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:10.219799,"(1.5, 1.99, 1.8257142857142856)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.8, 4.466666666666667)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:11.446545,"(1.5, 1.99, 1.8257142857142856)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.8, 4.607692307692307)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:12.722339,"(1.5, 1.99, 1.8257142857142856)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.8, 4.7875000000000005)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:14.040653,"(1.5, 1.99, 1.8366666666666667)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.7875000000000005)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:15.335464,"(1.5, 1.99, 1.8366666666666667)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.7875000000000005)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:16.622533,"(1.5, 1.99, 1.8366666666666667)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.7875000000000005)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:17.894531,"(1.5, 1.99, 1.8257142857142856)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.7875000000000005)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:19.073136,"(1.5, 1.99, 1.8366666666666667)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.7875000000000005)","(101.0, 210.0, 190.0)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:20.315662,"(1.5, 1.99, 1.8366666666666667)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.7875000000000005)","(101.0, 210.0, 190.0)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:21.517299,"(1.5, 1.99, 1.8366666666666667)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.7875000000000005)","(101.0, 210.0, 190.0)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
