,Beach Magic,Animado,The General Nz,Woodlea Diego Nz,Rollyarrrz Nz,Katacha Man,Jaccka Wally Nz,The Irish Eagle,Prince Joy,Blackjack Bart
07-01-2023 19:44:35.527398,"(8.5, 12.0, 11.63888888888889)","(1.4, 1.66, 1.6404347826086956)","(16.0, 99999, 99990)","(21.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 60.0, 58.333333333333336)","(31.0, 99999, 99990)","(18.0, 25.0, 21.444444444444443)","(7.5, 11.5, 11.209677419354838)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:36.934528,"(9.0, 12.0, 11.63888888888889)","(1.4, 1.66, 1.6404347826086956)","(16.0, 99999, 99990)","(21.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 60.0, 67.2)","(31.0, 99999, 99990)","(18.0, 25.0, 21.444444444444443)","(7.5, 11.5, 11.722222222222221)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:38.197348,"(9.0, 11.5, 11.395348837209303)","(1.4, 1.66, 1.6477272727272727)","(16.0, 99999, 99990)","(21.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 80.0, 62.5)","(31.0, 99999, 99990)","(18.0, 25.0, 22.8)","(7.5, 12.0, 11.722222222222221)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:39.437581,"(9.0, 11.5, 11.395348837209303)","(1.4, 1.66, 1.6477272727272727)","(16.0, 99999, 99990)","(21.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 80.0, 62.142857142857146)","(31.0, 99999, 99990)","(18.0, 24.0, 22.8)","(7.5, 12.0, 11.722222222222221)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:40.846854,"(9.0, 11.5, 11.395348837209303)","(1.4, 1.66, 1.6477272727272727)","(16.0, 99999, 99990)","(21.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 80.0, 62.142857142857146)","(31.0, 99999, 99990)","(18.0, 24.0, 22.8)","(7.5, 12.0, 11.722222222222221)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:42.103479,"(9.0, 11.5, 11.395348837209303)","(1.4, 1.66, 1.6477272727272727)","(16.0, 99999, 99990)","(21.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 80.0, 62.142857142857146)","(31.0, 99999, 99990)","(18.0, 24.0, 22.8)","(7.5, 12.0, 11.722222222222221)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:43.444903,"(9.0, 11.5, 11.390243902439025)","(1.4, 1.66, 1.6266666666666667)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 80.0, 62.142857142857146)","(31.0, 99999, 99990)","(18.0, 24.0, 22.8)","(7.5, 12.0, 11.722222222222221)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:44.716535,"(9.0, 11.5, 11.390243902439025)","(1.4, 1.66, 1.6266666666666667)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 80.0, 62.142857142857146)","(31.0, 99999, 99990)","(18.0, 24.0, 22.8)","(7.5, 12.0, 11.722222222222221)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:45.913710,"(9.0, 11.5, 11.390243902439025)","(1.4, 1.66, 1.6266666666666667)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 80.0, 62.142857142857146)","(31.0, 99999, 99990)","(18.0, 24.0, 22.8)","(7.5, 12.0, 11.722222222222221)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:47.251523,"(9.0, 11.5, 11.340425531914894)","(1.4, 1.66, 1.6266666666666667)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 80.0, 58.63636363636363)","(31.0, 99999, 99990)","(18.0, 24.0, 21.9)","(7.5, 12.0, 11.82)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:48.532535,"(9.0, 11.5, 11.219178082191782)","(1.4, 1.66, 1.6266666666666667)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 75.0, 58.63636363636363)","(31.0, 99999, 99990)","(18.0, 24.0, 22.125)","(7.5, 12.0, 11.82)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:49.750408,"(9.0, 11.5, 11.219178082191782)","(1.4, 1.66, 1.6266666666666667)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 75.0, 58.63636363636363)","(31.0, 99999, 99990)","(18.0, 24.0, 22.125)","(7.5, 12.0, 11.82)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:51.054026,"(9.0, 11.5, 11.219178082191782)","(1.4, 1.66, 1.6266666666666667)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 75.0, 58.63636363636363)","(31.0, 99999, 99990)","(18.0, 24.0, 19.708333333333332)","(7.5, 12.0, 11.82)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:52.272319,"(9.0, 11.5, 11.219178082191782)","(1.4, 1.66, 1.6266666666666667)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 75.0, 58.63636363636363)","(31.0, 99999, 99990)","(18.0, 20.0, 19.863636363636363)","(7.5, 12.0, 11.82)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:53.510190,"(9.0, 11.5, 11.219178082191782)","(1.4, 1.66, 1.6266666666666667)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 75.0, 58.63636363636363)","(31.0, 99999, 99990)","(18.0, 20.0, 19.944444444444443)","(7.5, 12.0, 11.3)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:54.721918,"(9.0, 11.5, 11.219178082191782)","(1.4, 1.66, 1.6266666666666667)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 75.0, 58.63636363636363)","(31.0, 99999, 99990)","(18.0, 20.0, 19.944444444444443)","(7.5, 12.5, 11.3)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:56.035452,"(9.0, 11.5, 11.219178082191782)","(1.4, 1.66, 1.646764705882353)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 75.0, 58.63636363636363)","(31.0, 99999, 99990)","(18.0, 20.0, 21.46875)","(7.5, 12.5, 11.7)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:57.268774,"(9.0, 11.5, 11.219178082191782)","(1.4, 1.66, 1.650983606557377)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 75.0, 58.63636363636363)","(31.0, 99999, 99990)","(18.0, 24.0, 21.25)","(7.5, 12.5, 11.61111111111111)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:58.510596,"(9.0, 11.5, 11.219178082191782)","(1.4, 1.65, 1.6417460317460317)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 75.0, 58.63636363636363)","(31.0, 99999, 99990)","(18.0, 24.0, 21.25)","(7.5, 12.5, 11.61111111111111)","(51.0, 85.0, 77.5)"
07-01-2023 19:44:59.755885,"(9.0, 11.5, 11.219178082191782)","(1.4, 1.65, 1.645185185185185)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 75.0, 58.92857142857143)","(31.0, 99999, 99990)","(18.0, 24.0, 21.25)","(7.5, 12.5, 11.61111111111111)","(51.0, 85.0, 77.5)"
07-01-2023 19:45:00.974169,"(9.0, 11.5, 11.219178082191782)","(1.4, 1.65, 1.6397368421052632)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 75.0, 63.333333333333336)","(31.0, 99999, 99990)","(18.0, 24.0, 21.25)","(7.5, 12.5, 11.61111111111111)","(51.0, 85.0, 77.5)"
07-01-2023 19:45:02.208499,"(9.0, 11.5, 11.219178082191782)","(1.4, 1.65, 1.6397368421052632)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 65.0, 62.5)","(31.0, 99999, 99990)","(18.0, 24.0, 21.25)","(7.5, 12.5, 11.5)","(51.0, 85.0, 77.5)"
07-01-2023 19:45:03.465201,"(9.0, 11.5, 11.219178082191782)","(1.4, 1.65, 1.6397368421052632)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 65.0, 62.5)","(31.0, 99999, 99990)","(18.0, 24.0, 21.25)","(7.5, 12.5, 11.5)","(51.0, 85.0, 77.5)"
07-01-2023 19:45:04.722587,"(9.0, 11.5, 11.219178082191782)","(1.4, 1.65, 1.6397368421052632)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 65.0, 62.5)","(31.0, 99999, 99990)","(18.0, 24.0, 20.86111111111111)","(7.5, 12.5, 11.5)","(51.0, 85.0, 77.5)"
07-01-2023 19:45:05.954037,"(9.0, 11.5, 11.219178082191782)","(1.4, 1.67, 1.6675)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 65.0, 62.5)","(31.0, 99999, 99990)","(18.0, 23.0, 20.86111111111111)","(7.5, 12.5, 11.5)","(51.0, 85.0, 77.5)"
07-01-2023 19:45:07.235976,"(9.0, 11.5, 11.219178082191782)","(1.4, 1.67, 1.6675)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 65.0, 62.5)","(31.0, 99999, 99990)","(18.0, 23.0, 20.973684210526315)","(7.5, 12.5, 11.3)","(51.0, 85.0, 77.5)"
07-01-2023 19:45:08.542985,"(9.0, 11.5, 11.219178082191782)","(1.4, 1.67, 1.6675)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 65.0, 62.5)","(31.0, 99999, 99990)","(18.0, 23.0, 20.973684210526315)","(7.5, 12.5, 11.3)","(51.0, 85.0, 77.5)"
07-01-2023 19:45:09.815771,"(9.0, 11.5, 11.20754716981132)","(1.4, 1.68, 1.6733333333333333)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 65.0, 62.5)","(31.0, 99999, 99990)","(18.0, 23.0, 21.63888888888889)","(7.5, 12.0, 11.59090909090909)","(51.0, 70.0, 56.666666666666664)"
07-01-2023 19:45:11.127404,"(9.0, 11.5, 11.20754716981132)","(1.4, 1.68, 1.6742168674698794)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 65.0, 62.5)","(31.0, 99999, 99990)","(18.0, 24.0, 21.857142857142858)","(7.5, 12.0, 11.4)","(51.0, 70.0, 56.666666666666664)"
07-01-2023 19:45:12.459289,"(9.0, 11.5, 11.20754716981132)","(1.4, 1.68, 1.6742168674698794)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 65.0, 61.5)","(31.0, 99999, 99990)","(18.0, 24.0, 21.5625)","(7.5, 12.0, 11.4)","(51.0, 70.0, 76.44444444444444)"
07-01-2023 19:45:13.746121,"(9.0, 11.5, 11.20754716981132)","(1.4, 1.68, 1.6742168674698794)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 65.0, 58.666666666666664)","(31.0, 99999, 99990)","(17.0, 24.0, 21.5625)","(7.5, 12.0, 11.644736842105264)","(51.0, 80.0, 63.333333333333336)"
07-01-2023 19:45:15.055135,"(9.0, 11.5, 11.20754716981132)","(1.4, 1.68, 1.67)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 65.0, 58.09090909090909)","(31.0, 99999, 99990)","(17.0, 24.0, 21.5625)","(7.5, 12.0, 11.644736842105264)","(51.0, 80.0, 75.0)"
07-01-2023 19:45:16.297168,"(9.0, 11.5, 11.20754716981132)","(1.4, 1.69, 1.6637499999999998)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 65.0, 58.09090909090909)","(31.0, 99999, 99990)","(17.0, 24.0, 21.5625)","(7.5, 12.0, 11.644736842105264)","(51.0, 80.0, 75.0)"
07-01-2023 19:45:17.525249,"(9.0, 11.5, 11.20754716981132)","(1.4, 1.69, 1.6637499999999998)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 65.0, 58.09090909090909)","(31.0, 99999, 99990)","(17.0, 24.0, 21.5625)","(7.5, 12.0, 11.644736842105264)","(51.0, 80.0, 69.6)"
07-01-2023 19:45:18.735837,"(9.0, 11.5, 11.20754716981132)","(1.4, 1.69, 1.6637499999999998)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 65.0, 58.09090909090909)","(31.0, 99999, 99990)","(17.0, 24.0, 21.5625)","(7.5, 12.0, 11.644736842105264)","(51.0, 75.0, 60.57142857142857)"
