,Dusty Old Road,Prince Of Egypt,Officer Rod,We Are Cousins,Cool Summer,Run Topper
12-01-2023 13:59:29.836572,"(3.8, 7.0, 5.1)","(4.8, 7.6, 7.185714285714285)","(2.1, 3.2, 2.67)","(21.0, 70.0, 39.375)","(3.9, 4.5, 4.2)","(51.0, 440.0, 189.28571428571428)"
12-01-2023 13:59:30.839506,"(3.8, 7.0, 5.1)","(4.8, 7.6, 7.185714285714285)","(2.1, 3.2, 2.67)","(21.0, 70.0, 39.375)","(3.9, 4.5, 4.2)","(51.0, 440.0, 189.28571428571428)"
12-01-2023 13:59:31.923245,"(3.8, 7.0, 5.1)","(4.8, 7.6, 7.185714285714285)","(2.1, 3.2, 2.67)","(21.0, 70.0, 39.375)","(3.9, 4.5, 4.2)","(51.0, 440.0, 189.28571428571428)"
12-01-2023 13:59:33.045656,"(3.8, 7.0, 5.1)","(4.8, 7.6, 7.185714285714285)","(2.1, 3.2, 2.67)","(21.0, 70.0, 39.375)","(3.9, 4.5, 4.2)","(51.0, 440.0, 189.28571428571428)"
12-01-2023 13:59:34.144989,"(3.8, 7.0, 5.1)","(4.8, 7.6, 7.185714285714285)","(2.1, 3.2, 2.67)","(21.0, 70.0, 39.375)","(3.9, 4.5, 4.2)","(51.0, 440.0, 189.28571428571428)"
12-01-2023 13:59:35.277689,"(3.8, 7.0, 5.1)","(4.8, 7.6, 7.185714285714285)","(2.1, 3.2, 2.67)","(21.0, 70.0, 39.375)","(3.9, 4.5, 4.2)","(51.0, 440.0, 189.28571428571428)"
12-01-2023 13:59:36.339003,"(3.8, 7.0, 5.1)","(4.8, 7.6, 7.185714285714285)","(2.1, 3.2, 2.67)","(21.0, 70.0, 39.375)","(3.9, 4.5, 4.2)","(51.0, 440.0, 189.28571428571428)"
12-01-2023 13:59:37.399910,"(3.8, 7.0, 5.1)","(4.8, 7.6, 7.185714285714285)","(2.1, 3.2, 2.67)","(21.0, 70.0, 39.375)","(3.9, 4.5, 4.2)","(51.0, 440.0, 189.28571428571428)"
12-01-2023 13:59:38.498075,"(3.8, 7.0, 5.1)","(4.8, 7.6, 7.185714285714285)","(2.1, 3.2, 2.67)","(21.0, 70.0, 39.375)","(3.9, 4.5, 4.2)","(51.0, 440.0, 189.28571428571428)"
12-01-2023 13:59:39.595475,"(3.8, 7.0, 5.1)","(4.8, 7.6, 7.185714285714285)","(2.1, 3.2, 2.67)","(21.0, 70.0, 39.375)","(3.9, 4.5, 4.2)","(51.0, 440.0, 189.28571428571428)"
12-01-2023 13:59:40.517937,"(3.8, 7.0, 5.1)","(4.8, 7.6, 7.185714285714285)","(2.1, 3.2, 2.67)","(21.0, 70.0, 39.375)","(3.9, 4.5, 4.2)","(51.0, 440.0, 189.28571428571428)"
12-01-2023 13:59:41.549900,"(3.8, 7.0, 5.1)","(4.8, 7.6, 7.185714285714285)","(2.1, 3.2, 2.67)","(21.0, 70.0, 39.375)","(3.9, 4.5, 4.2)","(51.0, 440.0, 189.28571428571428)"
12-01-2023 13:59:42.641151,"(3.8, 7.0, 5.1)","(4.8, 7.6, 7.185714285714285)","(2.1, 3.2, 2.67)","(21.0, 70.0, 39.375)","(3.9, 4.5, 4.2)","(51.0, 440.0, 189.28571428571428)"
12-01-2023 13:59:43.739155,"(3.8, 7.0, 5.1)","(4.8, 7.6, 7.185714285714285)","(2.1, 3.2, 2.67)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 233.52941176470588)"
12-01-2023 13:59:44.796774,"(3.8, 7.0, 5.1)","(4.8, 7.6, 7.185714285714285)","(2.1, 3.2, 2.67)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 245.0)"
12-01-2023 13:59:45.864065,"(3.8, 7.0, 5.1)","(4.8, 8.6, 6.0)","(2.1, 2.72, 2.305714285714286)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 245.0)"
12-01-2023 13:59:47.003396,"(3.8, 7.0, 5.1)","(4.8, 8.4, 7.871428571428572)","(2.1, 2.72, 2.3184615384615386)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 245.0)"
12-01-2023 13:59:48.077607,"(3.8, 7.0, 5.1)","(4.8, 8.4, 7.871428571428572)","(2.1, 2.78, 2.282857142857143)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 245.0)"
12-01-2023 13:59:49.200162,"(3.8, 7.0, 5.1)","(4.8, 8.4, 7.871428571428572)","(2.1, 2.78, 2.268421052631579)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 245.0)"
12-01-2023 13:59:50.279945,"(3.8, 7.0, 5.1)","(4.8, 8.4, 7.871428571428572)","(2.1, 2.78, 2.268421052631579)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 245.0)"
12-01-2023 13:59:51.326013,"(3.8, 7.0, 5.1)","(4.8, 8.4, 7.871428571428572)","(2.1, 2.78, 2.268421052631579)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 189.28571428571428)"
12-01-2023 13:59:52.440276,"(3.8, 7.0, 5.1)","(4.8, 8.4, 7.871428571428572)","(2.1, 2.8, 2.2711111111111113)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 189.28571428571428)"
12-01-2023 13:59:53.574093,"(3.8, 7.0, 5.1)","(4.8, 8.4, 7.871428571428572)","(2.1, 2.8, 2.2830769230769232)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 287.5)"
12-01-2023 13:59:54.563937,"(3.8, 6.8, 6.385714285714286)","(4.8, 8.2, 6.609090909090909)","(2.1, 2.8, 2.2830769230769232)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 430.0, 164.70588235294116)"
12-01-2023 13:59:55.648273,"(3.8, 6.8, 6.385714285714286)","(4.8, 8.4, 7.871428571428572)","(2.1, 3.15, 2.5433333333333334)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 13:59:56.758483,"(3.8, 6.8, 6.385714285714286)","(4.8, 8.4, 7.2)","(2.1, 3.0, 2.63)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 13:59:57.886409,"(3.8, 6.8, 5.64)","(4.8, 8.4, 7.2)","(2.1, 2.86, 2.5382978723404253)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 13:59:58.970126,"(3.8, 6.8, 5.9)","(4.8, 9.2, 6.266666666666667)","(2.1, 2.86, 2.3739999999999997)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 13:59:59.907177,"(3.8, 6.8, 6.1)","(4.8, 8.8, 6.800000000000001)","(2.1, 2.86, 2.392)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:00.889458,"(3.8, 6.8, 5.58)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.421818181818182)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:02.035024,"(3.8, 6.8, 5.58)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.421818181818182)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:03.184480,"(3.8, 6.8, 5.58)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.421818181818182)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:04.234564,"(3.8, 6.8, 5.56)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.421818181818182)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:05.286835,"(3.8, 6.8, 5.56)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.6916129032258063)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:06.448057,"(3.8, 6.8, 5.6)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.6916129032258063)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:07.569164,"(3.8, 6.8, 5.6)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.6916129032258063)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:08.689739,"(3.8, 6.8, 5.6)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.6916129032258063)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:09.908217,"(3.8, 6.8, 5.6)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.6916129032258063)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:10.959414,"(3.8, 6.8, 5.6)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.486153846153846)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:12.245792,"(3.8, 6.8, 5.816666666666666)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.5015384615384613)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:13.355167,"(3.8, 6.8, 5.816666666666666)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.5015384615384613)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:14.400538,"(3.8, 6.8, 5.816666666666666)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.7142857142857144)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:15.408580,"(3.8, 6.8, 5.816666666666666)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.7142857142857144)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:16.531058,"(3.8, 6.8, 5.816666666666666)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.7142857142857144)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:17.595139,"(3.8, 6.8, 5.816666666666666)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.7142857142857144)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:18.631839,"(3.8, 6.8, 5.64)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.7024999999999997)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:19.631716,"(3.8, 6.8, 5.64)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.7020689655172414)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:20.698358,"(3.8, 6.8, 5.56)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.7114285714285713)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:21.751033,"(3.8, 6.8, 5.56)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.66)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:22.870089,"(3.8, 6.8, 5.783333333333333)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.67)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:23.925508,"(3.8, 6.8, 5.6)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.64)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:24.938960,"(3.8, 6.8, 5.6)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.64)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:26.026485,"(3.8, 6.8, 5.75)","(4.8, 9.0, 6.0)","(2.1, 2.84, 2.5290909090909093)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:27.128198,"(3.8, 6.8, 5.56)","(4.8, 9.0, 6.0)","(2.1, 2.82, 2.1654545454545455)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:28.199596,"(3.8, 6.8, 5.783333333333333)","(4.8, 9.0, 6.0)","(2.1, 2.82, 2.1654545454545455)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:29.315039,"(3.8, 6.8, 5.62)","(4.8, 9.0, 6.0)","(2.1, 2.82, 2.32)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:30.374019,"(3.8, 6.8, 5.62)","(4.8, 9.0, 6.0)","(2.1, 2.82, 2.3142857142857145)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:31.382395,"(3.8, 6.8, 5.62)","(4.8, 9.0, 6.0)","(2.1, 2.8, 2.3142857142857145)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:32.539726,"(3.8, 6.8, 5.62)","(4.8, 9.0, 6.0)","(2.1, 2.8, 2.593548387096774)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:33.607467,"(3.8, 6.8, 5.833333333333333)","(4.8, 9.0, 6.0)","(2.1, 2.8, 2.593548387096774)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:34.617867,"(3.8, 6.8, 5.68)","(4.8, 9.0, 6.0)","(2.1, 2.8, 2.593548387096774)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:35.660449,"(3.8, 6.8, 5.72)","(4.8, 9.0, 6.0)","(2.1, 2.8, 2.1636363636363636)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:36.722973,"(3.8, 6.8, 5.72)","(4.8, 9.0, 6.0)","(2.1, 2.8, 2.1636363636363636)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:37.775102,"(3.8, 6.8, 5.933333333333334)","(4.8, 9.0, 6.0)","(2.1, 2.8, 2.1636363636363636)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:38.950919,"(3.8, 6.8, 5.84)","(4.8, 9.0, 6.0)","(2.1, 2.8, 2.1636363636363636)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:39.973259,"(3.8, 6.8, 5.88)","(4.8, 9.0, 6.0)","(2.1, 2.8, 2.1636363636363636)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:41.047201,"(3.8, 6.8, 5.88)","(4.8, 9.0, 6.0)","(2.1, 2.8, 2.1636363636363636)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:42.401340,"(3.8, 6.8, 5.88)","(4.8, 8.8, 7.466666666666667)","(2.1, 2.8, 2.3625)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:43.568710,"(3.8, 6.8, 6.066666666666666)","(4.8, 8.8, 7.466666666666667)","(2.1, 2.8, 2.4630769230769234)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:44.705539,"(3.8, 6.8, 5.96)","(4.8, 8.8, 7.466666666666667)","(2.1, 2.74, 2.228421052631579)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:00:45.891270,"(3.8, 6.8, 5.96)","(4.8, 8.8, 7.466666666666667)","(2.1, 2.74, 2.254545454545455)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:00:46.904676,"(3.8, 6.8, 5.88)","(4.8, 8.8, 7.466666666666667)","(2.1, 2.8, 2.254545454545455)","(21.0, 70.0, 34.36363636363636)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:00:48.098047,"(3.8, 6.8, 5.4)","(4.8, 8.8, 8.0)","(2.1, 2.8, 2.3933333333333335)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:00:49.214982,"(3.8, 6.8, 5.4)","(4.8, 8.8, 8.0)","(2.1, 2.78, 2.2214285714285715)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:00:50.205818,"(3.8, 6.8, 5.4)","(4.8, 8.8, 8.0)","(2.1, 2.8, 2.2214285714285715)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
