,Tralee Cruiser,Sugar Keeping,Okay Boomer,Very Dark Gold,Winlock To Rise,Aria Herrera,Rutland Georgia,Sassy Sal
05-01-2023 17:21:59.993991,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 581.25)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:22:01.222420,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 581.25)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:22:02.540111,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 581.25)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:22:03.852676,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 581.25)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:22:05.072720,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 581.25)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:22:06.373073,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 581.25)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:22:07.484908,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 581.25)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:22:08.657499,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 540.0)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:09.840244,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 540.0)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:11.013286,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 540.0)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
