,Delightful Anna,Attahua Ace,Blissfull Identity,Marley Bromac,Seven Rippin Aces,Shes So Brave,Rippin Good Feelin,Spruce Loose,Wotnow Swanee,Betterthankkylie
15-12-2022 12:21:15.112750,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:16.355178,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:17.603470,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:18.943479,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:20.141330,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:21.387698,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:22.541713,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:23.783190,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:24.961121,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:26.077485,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:27.333818,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:28.450304,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:29.712979,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:30.896200,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:32.004446,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:33.132740,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:34.546074,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 51.0)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:35.671728,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 51.0)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:36.827564,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 51.0)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:38.210092,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 51.0)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:39.652261,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 51.0)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:40.847102,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 51.0)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:42.083901,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 32.333333333333336)","(21.0, 60.0, 51.0)","(101.0, 670.0, 466.66666666666663)","(10.0, 20.0, 14.2)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 47.8)"
15-12-2022 12:21:43.362601,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 51.0)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:21:44.894235,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 8.350000000000001)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 51.0)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:21:46.225429,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 7.300000000000001)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:21:47.558479,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 7.300000000000001)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:21:48.806707,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.4, 7.6)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:21:49.967372,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.2, 7.6)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
