,Manila Aurora,Moment To Shiver,Stranger Within,Call Me Trinity,West On Blossom,Spider Venom,Mongolian Tiger,Sand Cruiser
11-01-2023 21:26:59.988334,"(4.8, 8.0, 6.625)","(31.0, 190.0, 86.0)","(7.5, 13.0, 10.2)","(8.5, 19.5, 17.28)","(5.0, 11.0, 9.785714285714285)","(4.8, 4.9, 9.1)","(31.0, 200.0, 66.42857142857143)","(2.4, 3.95, 3.57)"
11-01-2023 21:27:01.238677,"(4.8, 8.0, 6.625)","(31.0, 170.0, 73.07692307692308)","(7.5, 12.0, 10.2)","(8.5, 19.5, 17.28)","(5.0, 10.5, 9.785714285714285)","(4.8, 10.0, 9.1)","(31.0, 200.0, 66.42857142857143)","(2.4, 4.6, 3.57)"
11-01-2023 21:27:02.540233,"(4.8, 8.0, 6.625)","(31.0, 170.0, 73.07692307692308)","(7.5, 12.0, 9.05)","(8.5, 19.5, 17.28)","(5.0, 10.5, 9.785714285714285)","(4.8, 10.0, 8.457142857142857)","(31.0, 200.0, 66.42857142857143)","(2.4, 4.6, 3.57)"
11-01-2023 21:27:03.808991,"(4.8, 8.4, 7.577777777777778)","(31.0, 170.0, 73.07692307692308)","(7.5, 11.5, 9.05)","(8.5, 19.5, 17.28)","(5.0, 10.5, 9.357142857142858)","(4.8, 10.0, 8.457142857142857)","(31.0, 200.0, 66.42857142857143)","(2.4, 4.6, 3.72)"
11-01-2023 21:27:05.129098,"(4.8, 7.8, 7.111111111111111)","(31.0, 170.0, 73.07692307692308)","(7.5, 11.0, 9.05)","(8.5, 19.5, 17.28)","(5.0, 10.0, 9.4375)","(4.8, 10.0, 8.885714285714286)","(31.0, 200.0, 66.42857142857143)","(2.4, 4.9, 3.72)"
11-01-2023 21:27:06.375688,"(4.8, 7.8, 7.236363636363636)","(31.0, 170.0, 85.4)","(7.5, 11.5, 9.05)","(8.5, 19.5, 17.28)","(5.0, 10.0, 9.4375)","(4.8, 9.6, 8.5)","(31.0, 200.0, 66.42857142857143)","(2.4, 4.9, 3.13)"
11-01-2023 21:27:07.583911,"(4.8, 7.8, 7.236363636363636)","(31.0, 170.0, 85.4)","(7.5, 11.5, 9.05)","(8.5, 19.5, 17.28)","(5.0, 10.0, 9.4375)","(4.8, 9.8, 8.978947368421053)","(31.0, 200.0, 66.42857142857143)","(2.4, 4.9, 3.13)"
11-01-2023 21:27:08.842043,"(4.8, 7.8, 7.236363636363636)","(31.0, 170.0, 85.4)","(7.5, 11.5, 9.322222222222223)","(8.5, 19.5, 18.1375)","(5.0, 10.0, 9.470588235294118)","(4.8, 9.8, 7.614285714285715)","(31.0, 200.0, 66.42857142857143)","(2.4, 4.9, 2.74)"
11-01-2023 21:27:10.143469,"(4.8, 8.0, 6.222222222222222)","(31.0, 170.0, 85.4)","(7.5, 11.5, 9.322222222222223)","(8.5, 19.5, 18.1375)","(5.0, 10.0, 9.357142857142858)","(4.8, 9.8, 8.27)","(31.0, 200.0, 66.42857142857143)","(2.4, 4.9, 2.74)"
11-01-2023 21:27:11.430998,"(4.8, 8.0, 6.222222222222222)","(31.0, 170.0, 85.4)","(7.5, 11.5, 8.8)","(8.5, 19.5, 18.1375)","(5.0, 10.0, 8.940000000000001)","(4.8, 9.8, 8.27)","(31.0, 200.0, 66.42857142857143)","(2.4, 4.9, 2.74)"
11-01-2023 21:27:12.710695,"(4.8, 8.0, 6.222222222222222)","(31.0, 170.0, 85.4)","(7.5, 11.0, 8.8)","(8.5, 19.5, 18.1375)","(5.0, 9.8, 9.014285714285714)","(4.8, 9.8, 8.666666666666668)","(31.0, 200.0, 66.42857142857143)","(2.4, 4.9, 2.74)"
11-01-2023 21:27:14.056173,"(4.8, 8.0, 6.222222222222222)","(31.0, 170.0, 66.5)","(7.5, 11.0, 8.8)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 9.8, 8.666666666666668)","(31.0, 200.0, 66.42857142857143)","(2.4, 4.9, 2.74)"
11-01-2023 21:27:15.697077,"(4.8, 8.0, 6.222222222222222)","(31.0, 170.0, 66.5)","(7.5, 11.0, 8.8)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 9.8, 7.71)","(31.0, 200.0, 66.42857142857143)","(2.4, 4.9, 2.74)"
11-01-2023 21:27:17.276316,"(4.8, 8.0, 6.222222222222222)","(31.0, 170.0, 66.5)","(7.5, 11.0, 8.8)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 9.0, 7.71)","(31.0, 200.0, 84.5)","(2.4, 4.9, 2.74)"
11-01-2023 21:27:18.570581,"(4.8, 8.0, 6.222222222222222)","(31.0, 170.0, 66.5)","(7.5, 11.0, 8.8)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 9.0, 7.32)","(31.0, 200.0, 107.60000000000001)","(2.4, 4.9, 3.263076923076923)"
11-01-2023 21:27:19.869822,"(4.8, 8.0, 6.222222222222222)","(31.0, 170.0, 66.5)","(7.5, 11.0, 9.25)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 9.0, 7.6)","(31.0, 200.0, 107.60000000000001)","(2.4, 4.8, 3.993333333333333)"
11-01-2023 21:27:21.197515,"(4.8, 8.0, 6.222222222222222)","(31.0, 170.0, 66.5)","(7.5, 11.0, 9.25)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 9.0, 7.6)","(31.0, 200.0, 107.60000000000001)","(2.4, 4.7, 3.74)"
11-01-2023 21:27:22.542326,"(4.8, 8.0, 6.222222222222222)","(31.0, 170.0, 66.5)","(7.5, 11.0, 9.472727272727273)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 9.0, 7.6)","(31.0, 200.0, 69.57142857142857)","(2.4, 4.9, 3.993333333333333)"
11-01-2023 21:27:23.829084,"(4.8, 7.8, 6.8)","(31.0, 170.0, 66.5)","(7.5, 11.0, 9.472727272727273)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 9.0, 7.6)","(31.0, 200.0, 69.57142857142857)","(2.4, 4.7, 4.126666666666667)"
11-01-2023 21:27:25.093723,"(4.8, 7.8, 6.8)","(31.0, 170.0, 66.5)","(7.5, 10.5, 9.677777777777777)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 9.0, 7.6)","(31.0, 200.0, 69.57142857142857)","(2.4, 4.9, 3.263076923076923)"
11-01-2023 21:27:26.302532,"(4.8, 7.8, 6.8)","(31.0, 170.0, 66.5)","(7.5, 11.0, 10.066666666666666)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 9.0, 7.6)","(31.0, 200.0, 69.57142857142857)","(2.4, 4.8, 3.993333333333333)"
11-01-2023 21:27:27.565950,"(4.8, 7.8, 6.8)","(31.0, 170.0, 66.5)","(7.5, 11.0, 10.066666666666666)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 9.0, 7.6)","(31.0, 200.0, 69.57142857142857)","(2.4, 4.7, 3.263076923076923)"
11-01-2023 21:27:28.820113,"(4.8, 7.8, 6.8)","(31.0, 170.0, 66.5)","(7.5, 11.0, 10.066666666666666)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 9.0, 7.6)","(31.0, 200.0, 69.57142857142857)","(2.4, 4.8, 3.263076923076923)"
11-01-2023 21:27:30.111987,"(4.8, 7.8, 6.8)","(31.0, 170.0, 66.5)","(7.5, 10.5, 8.65)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 9.0, 7.482352941176471)","(31.0, 200.0, 84.5)","(2.4, 4.7, 2.784)"
11-01-2023 21:27:31.334765,"(4.8, 7.8, 6.8)","(31.0, 170.0, 66.5)","(7.5, 10.5, 8.65)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.6, 7.6499999999999995)","(31.0, 200.0, 84.5)","(2.4, 4.8, 3.2733333333333334)"
11-01-2023 21:27:32.600030,"(4.8, 7.8, 6.8)","(31.0, 170.0, 66.5)","(7.5, 10.5, 8.65)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.6, 7.0736842105263165)","(31.0, 200.0, 84.5)","(2.4, 4.7, 2.784)"
11-01-2023 21:27:33.768943,"(4.8, 7.8, 6.8)","(31.0, 170.0, 66.5)","(7.5, 10.5, 8.65)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.4, 7.0736842105263165)","(31.0, 200.0, 102.73684210526316)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:34.906978,"(4.8, 7.8, 6.8)","(31.0, 170.0, 66.5)","(7.5, 10.5, 8.65)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.4, 7.0736842105263165)","(31.0, 200.0, 102.73684210526316)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:35.981932,"(4.8, 7.8, 6.8)","(31.0, 170.0, 66.5)","(7.5, 10.5, 8.65)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.4, 7.0736842105263165)","(31.0, 200.0, 102.73684210526316)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:37.149491,"(4.8, 7.8, 6.8)","(31.0, 150.0, 91.0)","(7.5, 10.5, 8.65)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.4, 7.0736842105263165)","(31.0, 200.0, 83.125)","(2.4, 4.8, 2.784)"
