,Elles Shadow,Sweet She Is,Ema Rock,Black Jag,Shadow Doll,Zipping Randy,Lads On Tour,Aussie Ophira
09-01-2023 17:05:41.025724,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 42.291666666666664)","(1.35, 1.94, 1.4507692307692306)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 19.0, 14.600000000000001)"
09-01-2023 17:05:42.067370,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 42.291666666666664)","(1.35, 1.94, 1.4507692307692306)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:05:43.263464,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 42.291666666666664)","(1.35, 1.94, 1.4507692307692306)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:05:44.381085,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 42.291666666666664)","(1.35, 1.94, 1.4507692307692306)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:05:45.757204,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4507692307692306)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:05:46.933487,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4507692307692306)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:05:48.256186,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4507692307692306)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:05:49.514304,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4507692307692306)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:05:51.300107,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4507692307692306)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:05:52.886233,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4507692307692306)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:05:54.194705,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4507692307692306)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:05:55.396525,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4507692307692306)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:05:56.690610,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4507692307692306)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:05:58.130744,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4507692307692306)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:05:59.508281,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4507692307692306)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:01.092889,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:02.542838,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:03.938823,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:05.260034,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:06.728621,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:08.050671,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:09.209428,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:10.471655,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
