,Oklahoma Heat,Mistys Fool,Dancing Devil,Gospel Buzz,Gamma Ray,Great Realization,Our Silver Temple,Georges Vision,Ears To Me
08-12-2022 13:10:57.526804,"(41.0, 50.0, 34.75)","(5.5, 6.0, 5.574999999999999)","(3.7, 4.6, 4.2)","(26.0, 390.0, 357.0)","(10.0, 17.5, 15.5)","(21.0, 95.0, 76.5)","(3.8, 8.0, 5.818181818181818)","(9.0, 17.5, 13.78)","(4.0, 11.5, 10.844444444444445)"
08-12-2022 13:10:58.816286,"(41.0, 50.0, 34.75)","(5.5, 5.8, 5.574999999999999)","(3.7, 4.6, 4.257142857142857)","(26.0, 390.0, 357.0)","(10.0, 17.5, 15.5)","(21.0, 95.0, 76.5)","(3.8, 8.0, 5.818181818181818)","(9.0, 17.5, 13.78)","(4.0, 11.5, 10.844444444444445)"
08-12-2022 13:11:00.193575,"(41.0, 50.0, 34.75)","(5.5, 5.8, 5.574999999999999)","(3.7, 4.6, 4.257142857142857)","(26.0, 390.0, 357.0)","(10.0, 17.5, 15.5)","(21.0, 95.0, 76.5)","(3.8, 8.0, 5.818181818181818)","(9.0, 17.5, 13.78)","(4.0, 11.5, 10.844444444444445)"
08-12-2022 13:11:01.458480,"(41.0, 50.0, 34.75)","(5.5, 5.8, 5.574999999999999)","(3.7, 4.6, 4.426666666666667)","(26.0, 390.0, 357.0)","(10.0, 17.5, 15.5)","(21.0, 95.0, 76.5)","(3.8, 8.0, 5.818181818181818)","(9.0, 17.5, 13.78)","(4.0, 11.5, 9.566666666666666)"
08-12-2022 13:11:02.739238,"(41.0, 50.0, 34.75)","(5.5, 5.8, 5.574999999999999)","(3.7, 4.6, 4.257142857142857)","(26.0, 390.0, 357.0)","(10.0, 17.5, 15.5)","(21.0, 95.0, 76.5)","(3.8, 8.0, 5.818181818181818)","(9.0, 17.5, 13.78)","(4.0, 11.5, 9.566666666666666)"
08-12-2022 13:11:03.999875,"(41.0, 50.0, 34.75)","(5.5, 5.8, 5.574999999999999)","(3.7, 4.6, 3.643478260869565)","(26.0, 390.0, 357.0)","(10.0, 17.5, 15.5)","(21.0, 95.0, 76.5)","(3.8, 8.0, 5.818181818181818)","(9.0, 17.5, 13.78)","(4.0, 11.5, 9.566666666666666)"
08-12-2022 13:11:05.233322,"(41.0, 50.0, 34.75)","(5.5, 5.8, 5.574999999999999)","(3.7, 4.6, 4.25)","(26.0, 390.0, 366.09090909090907)","(10.0, 17.5, 14.166666666666666)","(21.0, 95.0, 76.5)","(3.8, 8.0, 5.818181818181818)","(9.0, 17.5, 13.78)","(4.0, 11.5, 8.22)"
08-12-2022 13:11:06.563730,"(41.0, 50.0, 34.75)","(5.5, 5.8, 5.574999999999999)","(3.7, 4.5, 4.25)","(26.0, 400.0, 366.09090909090907)","(10.0, 17.5, 15.875)","(21.0, 95.0, 76.5)","(3.8, 8.0, 5.818181818181818)","(9.0, 17.5, 13.78)","(4.0, 12.0, 8.22)"
08-12-2022 13:11:07.819558,"(41.0, 50.0, 34.75)","(5.5, 5.8, 5.375)","(3.7, 4.5, 4.25)","(26.0, 400.0, 366.09090909090907)","(10.0, 17.0, 15.875)","(21.0, 95.0, 76.5)","(3.8, 8.0, 5.818181818181818)","(9.0, 17.5, 13.78)","(4.0, 12.0, 8.22)"
08-12-2022 13:11:09.153960,"(41.0, 50.0, 34.75)","(5.5, 5.8, 5.585714285714285)","(3.7, 4.5, 4.438888888888889)","(26.0, 400.0, 366.09090909090907)","(10.0, 17.0, 15.875)","(21.0, 95.0, 76.5)","(3.8, 8.0, 5.818181818181818)","(9.0, 17.5, 13.78)","(4.0, 12.0, 8.22)"
08-12-2022 13:11:10.502726,"(41.0, 50.0, 34.75)","(5.5, 5.8, 5.475)","(3.7, 4.5, 4.438888888888889)","(26.0, 400.0, 366.09090909090907)","(10.0, 17.0, 15.875)","(21.0, 95.0, 76.5)","(3.8, 8.0, 5.818181818181818)","(9.0, 17.5, 13.78)","(4.0, 12.0, 8.22)"
08-12-2022 13:11:11.720960,"(41.0, 50.0, 34.75)","(5.5, 5.8, 5.475)","(3.7, 4.5, 4.438888888888889)","(26.0, 400.0, 366.09090909090907)","(10.0, 17.0, 14.9)","(21.0, 95.0, 62.400000000000006)","(3.8, 8.0, 5.818181818181818)","(9.0, 17.5, 13.48)","(4.0, 12.0, 9.214285714285715)"
08-12-2022 13:11:13.034993,"(41.0, 48.0, 29.0)","(5.5, 5.8, 5.457142857142857)","(3.7, 4.5, 4.438888888888889)","(26.0, 390.0, 269.0)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.400000000000006)","(3.8, 8.0, 5.818181818181818)","(9.0, 17.0, 13.48)","(4.0, 12.0, 9.214285714285715)"
08-12-2022 13:11:14.294200,"(41.0, 48.0, 29.0)","(5.5, 5.8, 5.457142857142857)","(3.7, 4.5, 4.438888888888889)","(26.0, 390.0, 269.0)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.400000000000006)","(3.8, 8.0, 6.5)","(9.0, 17.0, 13.48)","(4.0, 12.0, 9.214285714285715)"
08-12-2022 13:11:15.693102,"(41.0, 48.0, 29.0)","(5.5, 5.8, 5.05)","(3.7, 4.5, 4.438888888888889)","(26.0, 390.0, 269.0)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.400000000000006)","(3.8, 8.0, 5.7272727272727275)","(9.0, 17.0, 13.48)","(4.0, 12.0, 9.214285714285715)"
08-12-2022 13:11:16.989657,"(41.0, 48.0, 29.0)","(5.5, 5.8, 5.05)","(3.7, 4.5, 4.25)","(26.0, 390.0, 269.0)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.400000000000006)","(3.8, 7.8, 6.0)","(9.0, 17.0, 13.48)","(4.0, 12.0, 10.375)"
08-12-2022 13:11:18.284746,"(41.0, 48.0, 29.0)","(5.5, 5.8, 5.05)","(3.7, 4.5, 4.236111111111111)","(26.0, 390.0, 269.0)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.400000000000006)","(3.8, 7.6, 6.693333333333333)","(9.0, 17.0, 13.48)","(4.0, 12.0, 10.375)"
08-12-2022 13:11:19.556900,"(41.0, 48.0, 29.0)","(5.5, 5.8, 5.05)","(3.7, 4.5, 3.9375)","(26.0, 390.0, 269.0)","(10.0, 16.5, 14.9)","(21.0, 90.0, 72.75)","(3.8, 7.6, 5.7142857142857135)","(9.0, 17.0, 14.133333333333333)","(4.0, 12.0, 10.375)"
08-12-2022 13:11:20.808804,"(41.0, 48.0, 29.0)","(5.5, 5.8, 5.457142857142857)","(3.7, 4.5, 3.96875)","(26.0, 390.0, 269.0)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.6, 5.828571428571428)","(9.0, 17.0, 14.2)","(4.0, 12.0, 10.375)"
08-12-2022 13:11:22.151322,"(41.0, 48.0, 39.857142857142854)","(5.5, 5.8, 5.135)","(3.7, 4.5, 3.96875)","(26.0, 390.0, 269.0)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.6, 6.177777777777777)","(9.0, 17.0, 14.2)","(4.0, 12.0, 10.375)"
08-12-2022 13:11:23.496973,"(41.0, 48.0, 39.857142857142854)","(5.5, 5.9, 5.135)","(3.7, 4.5, 3.957142857142857)","(26.0, 390.0, 329.5)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.6, 6.0)","(9.0, 17.0, 14.2)","(4.0, 12.0, 9.5625)"
08-12-2022 13:11:24.789194,"(41.0, 48.0, 39.857142857142854)","(5.5, 5.9, 5.236842105263158)","(3.7, 4.5, 4.276470588235294)","(26.0, 390.0, 329.5)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.6, 6.0)","(9.0, 17.0, 14.2)","(4.0, 12.0, 9.5625)"
08-12-2022 13:11:26.008346,"(41.0, 48.0, 39.857142857142854)","(5.5, 5.9, 4.925)","(3.7, 4.5, 3.9857142857142858)","(26.0, 390.0, 329.5)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.6, 6.0)","(9.0, 17.0, 14.2)","(4.0, 12.0, 9.5625)"
08-12-2022 13:11:27.211717,"(41.0, 48.0, 39.857142857142854)","(5.5, 5.8, 5.457142857142857)","(3.7, 4.5, 4.014285714285714)","(26.0, 390.0, 329.5)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.6, 6.0)","(9.0, 17.0, 14.2)","(4.0, 12.0, 9.5625)"
08-12-2022 13:11:28.549685,"(41.0, 48.0, 39.857142857142854)","(5.5, 5.8, 5.581818181818182)","(3.7, 4.5, 3.9285714285714284)","(26.0, 390.0, 329.5)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.6, 6.0)","(9.0, 17.0, 14.2)","(4.0, 12.0, 9.5625)"
08-12-2022 13:11:29.956235,"(41.0, 48.0, 39.857142857142854)","(5.5, 5.7, 5.581818181818182)","(3.7, 4.5, 3.9285714285714284)","(26.0, 390.0, 329.5)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.6, 6.235294117647059)","(9.0, 17.0, 14.2)","(4.0, 12.0, 9.5625)"
08-12-2022 13:11:31.589553,"(41.0, 48.0, 37.16666666666667)","(5.5, 5.7, 5.225)","(3.7, 4.5, 4.5875)","(26.0, 390.0, 329.5)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.4, 5.654545454545455)","(9.0, 17.0, 14.2)","(4.0, 12.0, 9.5625)"
