,Buddy Beauty,Velocity Tori,Look No Hands,Aussie Axle,Good Charlotte,Ladies Day,More Speed
08-01-2023 19:16:34.296556,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.266666666666666)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:35.593970,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.266666666666666)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:37.149852,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.266666666666666)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:38.610979,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 9.3)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.266666666666666)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:39.843992,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.266666666666666)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:41.023215,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.266666666666666)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:42.230102,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.266666666666666)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:43.360549,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.266666666666666)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:44.553722,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.266666666666666)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:45.825456,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.266666666666666)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:47.068563,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.67)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.266666666666666)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:48.370887,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.67)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.266666666666666)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:49.549439,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.266666666666666)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:50.793498,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.266666666666666)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:52.086214,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.5)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:53.303623,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.5)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:54.544696,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.5)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:55.787720,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.3)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:56.913943,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.3)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:57.978151,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.3)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:59.193397,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.3)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:00.463377,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.3)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:01.623614,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.3)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:02.813068,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.3)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:04.105099,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.3)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:05.269371,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.3)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:06.525985,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.3)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:07.772332,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.3)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:09.092988,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.3)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:10.491878,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.3)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:11.721286,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.7272727272727275)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 15.25)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:12.975597,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.67)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 15.25)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:14.264452,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.67)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 15.25)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:15.565078,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 15.25)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:16.972818,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 15.25)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:18.380032,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 15.25)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:19.626570,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.67)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 15.25)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:20.822774,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 9.3)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 15.25)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:22.027823,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.684210526315789)","(7.0, 16.5, 15.25)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:23.132996,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.684210526315789)","(7.0, 16.5, 15.25)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:24.236851,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.684210526315789)","(7.0, 16.5, 15.25)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:25.370414,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.684210526315789)","(7.0, 16.5, 15.25)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:26.458641,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.92)","(7.0, 16.5, 15.25)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:27.659125,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.852631578947368)","(7.0, 16.5, 15.25)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:29.049986,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.8, 4.852631578947368)","(7.0, 16.5, 15.25)","(2.25, 2.78, 2.312)"
