,Come Along Jeffrey,Pythagoras,Sir Maximus,Francine,Zion,A Good Yarn,Dance Of Thunder,Outstanding Reward,Sugar And Sweet,Fabians Spirit,Snappy Lil Thing
08-12-2022 15:39:12.425438,"(3.4, 4.4, 4.0062500000000005)","(10.0, 16.5, 15.166666666666666)","(11.0, 16.5, 16.09090909090909)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 5.0967213114754095)","(10.0, 12.0, 11.725)","(10.0, 16.5, 13.875)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:14.004451,"(3.4, 4.4, 4.0062500000000005)","(10.0, 16.5, 14.9375)","(11.0, 16.5, 16.09090909090909)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 5.0967213114754095)","(10.0, 12.0, 11.725)","(10.0, 16.5, 13.875)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:15.568480,"(3.4, 4.4, 4.0062500000000005)","(10.0, 16.5, 14.9375)","(11.0, 16.5, 16.09090909090909)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 5.0967213114754095)","(10.0, 12.0, 11.725)","(10.0, 16.5, 13.875)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:17.148302,"(3.4, 4.4, 4.0062500000000005)","(10.0, 16.0, 14.8)","(11.0, 16.5, 16.09090909090909)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 5.0967213114754095)","(10.0, 12.0, 11.725)","(10.0, 16.5, 13.875)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:18.744663,"(3.4, 4.4, 4.0062500000000005)","(10.0, 16.0, 14.8)","(11.0, 16.5, 16.09090909090909)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 5.0967213114754095)","(10.0, 12.0, 11.725)","(10.0, 16.5, 13.875)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:20.327101,"(3.4, 4.4, 4.0062500000000005)","(10.0, 16.0, 14.8)","(11.0, 16.5, 16.09090909090909)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 5.0967213114754095)","(10.0, 12.0, 11.725)","(10.0, 16.5, 13.875)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:21.914871,"(3.4, 4.4, 4.0062500000000005)","(10.0, 16.0, 14.8)","(11.0, 16.5, 16.09090909090909)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 5.0967213114754095)","(10.0, 12.0, 11.725)","(10.0, 16.5, 13.875)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:23.630272,"(3.4, 4.4, 4.0062500000000005)","(10.0, 16.0, 14.8)","(11.0, 16.5, 16.09090909090909)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 5.0967213114754095)","(10.0, 12.0, 11.725)","(10.0, 16.5, 13.875)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:25.274096,"(3.4, 4.4, 4.0062500000000005)","(10.0, 16.0, 14.8)","(11.0, 16.5, 16.09090909090909)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 5.0967213114754095)","(10.0, 12.0, 11.725)","(10.0, 16.5, 13.875)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:26.883451,"(3.4, 4.4, 4.0062500000000005)","(10.0, 16.5, 16.083333333333336)","(11.0, 16.5, 16.09090909090909)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 5.027536231884058)","(10.0, 12.0, 11.725)","(10.0, 16.5, 13.875)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:28.442384,"(3.4, 4.4, 4.0062500000000005)","(10.0, 16.5, 16.083333333333336)","(11.0, 16.5, 16.09090909090909)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 5.027536231884058)","(10.0, 12.0, 11.725)","(10.0, 16.5, 13.875)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:29.992534,"(3.4, 4.4, 4.0062500000000005)","(10.0, 16.5, 14.735294117647058)","(11.0, 16.5, 16.270833333333332)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 5.027536231884058)","(10.0, 12.0, 11.725)","(10.0, 16.5, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:31.511392,"(3.4, 4.3, 4.0375)","(10.0, 16.5, 14.735294117647058)","(11.0, 17.0, 16.214285714285715)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 4.9783333333333335)","(10.0, 12.0, 11.725)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:33.017730,"(3.4, 4.3, 4.0375)","(10.0, 16.5, 14.735294117647058)","(11.0, 16.5, 16.270833333333332)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 4.988888888888889)","(10.0, 12.0, 11.725)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:34.528994,"(3.4, 4.3, 4.125)","(10.0, 16.5, 14.735294117647058)","(11.0, 17.0, 16.270833333333332)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 4.595454545454546)","(10.0, 12.0, 11.725)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:36.070848,"(3.4, 4.3, 4.183333333333334)","(10.0, 16.5, 14.735294117647058)","(11.0, 17.0, 15.962962962962962)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 4.595454545454546)","(10.0, 12.0, 11.725)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:37.629004,"(3.4, 4.3, 4.183333333333334)","(10.0, 16.5, 14.735294117647058)","(11.0, 17.0, 16.214285714285715)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 4.595454545454546)","(10.0, 12.0, 11.725)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
