,Secret Reaction,Miss Boudica,Altair Star,Special Lady,Good Day Sunshine Nz,Dont Look,Eye Better,Foxy Rose,Bramante Steps,Caruba
10-01-2023 18:44:56.481611,"(15.0, 36.0, 33.666666666666664)","(1.3, 1.41, 1.3795238095238096)","(71.0, 120.0, 95.0)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 34.0, 27.51851851851852)","(21.0, 50.0, 42.0)","(71.0, 140.0, 100.0)","(71.0, 200.0, 165.0)","(31.0, 70.0, 65.0)"
10-01-2023 18:44:57.856837,"(15.0, 36.0, 33.666666666666664)","(1.3, 1.41, 1.3795238095238096)","(71.0, 120.0, 95.0)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 34.0, 27.51851851851852)","(21.0, 50.0, 42.0)","(71.0, 140.0, 100.0)","(71.0, 200.0, 165.0)","(31.0, 70.0, 67.14285714285714)"
10-01-2023 18:44:59.201921,"(15.0, 36.0, 33.666666666666664)","(1.3, 1.41, 1.3795238095238096)","(71.0, 120.0, 95.0)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 34.0, 27.51851851851852)","(21.0, 50.0, 42.0)","(71.0, 140.0, 100.0)","(71.0, 200.0, 165.0)","(31.0, 70.0, 67.14285714285714)"
10-01-2023 18:45:00.595440,"(15.0, 36.0, 33.666666666666664)","(1.3, 1.41, 1.3795238095238096)","(71.0, 120.0, 95.0)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 34.0, 27.51851851851852)","(21.0, 50.0, 42.0)","(71.0, 140.0, 100.0)","(71.0, 200.0, 165.0)","(31.0, 70.0, 67.14285714285714)"
10-01-2023 18:45:01.937326,"(15.0, 50.0, 41.35294117647059)","(1.3, 1.41, 1.3795238095238096)","(71.0, 120.0, 95.0)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 34.0, 28.5)","(21.0, 50.0, 42.0)","(71.0, 140.0, 100.0)","(71.0, 200.0, 165.0)","(31.0, 70.0, 67.14285714285714)"
10-01-2023 18:45:03.260475,"(15.0, 48.0, 37.714285714285715)","(1.3, 1.41, 1.3780000000000001)","(71.0, 120.0, 95.0)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 30.0, 28.5)","(21.0, 50.0, 42.0)","(71.0, 140.0, 100.0)","(71.0, 200.0, 165.0)","(31.0, 70.0, 67.14285714285714)"
10-01-2023 18:45:04.628984,"(15.0, 46.0, 34.8)","(1.3, 1.41, 1.3780000000000001)","(71.0, 120.0, 95.0)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 30.0, 28.5)","(21.0, 50.0, 42.0)","(71.0, 140.0, 100.0)","(71.0, 200.0, 165.0)","(31.0, 70.0, 62.5)"
10-01-2023 18:45:05.935197,"(15.0, 46.0, 42.0)","(1.3, 1.41, 1.3795238095238096)","(71.0, 120.0, 95.0)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 30.0, 33.0)","(21.0, 50.0, 42.0)","(71.0, 140.0, 122.85714285714286)","(71.0, 200.0, 179.44444444444446)","(31.0, 70.0, 62.5)"
10-01-2023 18:45:07.263399,"(15.0, 46.0, 42.0)","(1.3, 1.41, 1.3853846153846154)","(71.0, 120.0, 108.75)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 36.0, 31.5)","(21.0, 50.0, 42.0)","(71.0, 140.0, 122.85714285714286)","(71.0, 190.0, 179.44444444444446)","(31.0, 70.0, 62.5)"
10-01-2023 18:45:08.513930,"(15.0, 46.0, 43.66666666666667)","(1.3, 1.41, 1.3833333333333333)","(71.0, 120.0, 108.75)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 36.0, 30.0)","(21.0, 50.0, 42.0)","(71.0, 140.0, 122.85714285714286)","(71.0, 190.0, 130.0)","(31.0, 70.0, 62.5)"
