,Realaide,Top Boy,Vantan Express,Danezel,Sequin Dress,Rose Of Duporth,The Brumby
08-01-2023 14:18:49.318469,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 6.833333333333333)","(4.4, 5.5, 5.1000000000000005)","(10.0, 20.0, 16.5)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 73.33333333333334)"
08-01-2023 14:18:50.293841,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 6.833333333333333)","(4.4, 5.5, 5.1000000000000005)","(10.0, 20.0, 14.166666666666666)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 73.33333333333334)"
08-01-2023 14:18:51.266924,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 6.833333333333333)","(4.4, 5.5, 5.1000000000000005)","(10.0, 20.0, 14.166666666666666)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 73.33333333333334)"
08-01-2023 14:18:52.306890,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 6.833333333333333)","(4.4, 5.5, 5.1000000000000005)","(10.0, 20.0, 14.166666666666666)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 73.33333333333334)"
08-01-2023 14:18:53.535862,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 6.833333333333333)","(4.4, 5.5, 5.1000000000000005)","(10.0, 20.0, 14.166666666666666)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 73.33333333333334)"
08-01-2023 14:18:54.799904,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 6.833333333333333)","(4.4, 5.5, 5.1000000000000005)","(10.0, 20.0, 14.166666666666666)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 73.33333333333334)"
08-01-2023 14:18:55.812736,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 6.833333333333333)","(4.4, 5.5, 5.1000000000000005)","(10.0, 20.0, 14.166666666666666)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 73.33333333333334)"
08-01-2023 14:18:56.977930,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 6.833333333333333)","(4.4, 5.5, 5.1000000000000005)","(10.0, 20.0, 14.166666666666666)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 73.33333333333334)"
08-01-2023 14:18:58.039424,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 6.833333333333333)","(4.4, 5.5, 5.1000000000000005)","(10.0, 20.0, 14.166666666666666)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 73.33333333333334)"
08-01-2023 14:18:59.060709,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 6.833333333333333)","(4.4, 5.5, 5.1000000000000005)","(10.0, 20.0, 14.166666666666666)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 73.33333333333334)"
08-01-2023 14:19:00.075862,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 6.833333333333333)","(4.4, 5.5, 5.1000000000000005)","(10.0, 20.0, 14.166666666666666)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 73.33333333333334)"
08-01-2023 14:19:01.177281,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 6.833333333333333)","(4.4, 5.5, 5.0600000000000005)","(10.0, 20.0, 14.166666666666666)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 73.33333333333334)"
08-01-2023 14:19:02.236807,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 6.833333333333333)","(4.4, 5.5, 5.0600000000000005)","(10.0, 20.0, 14.166666666666666)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 73.33333333333334)"
08-01-2023 14:19:03.322511,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 6.833333333333333)","(4.4, 5.5, 5.0600000000000005)","(10.0, 20.0, 15.6)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 110.85714285714286)"
08-01-2023 14:19:04.384558,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8999999999999995)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.5, 15.6)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 110.85714285714286)"
08-01-2023 14:19:05.432154,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.5, 15.6)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 110.85714285714286)"
08-01-2023 14:19:06.405385,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.5, 15.6)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 110.85714285714286)"
08-01-2023 14:19:07.449071,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.5, 15.6)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 110.85714285714286)"
