,My Catalina,Starburst Candy,Just A Brew,Major Sentence,Donnington Girl,Lederhosen Boy,Rumour Is
12-01-2023 17:39:38.649868,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:39:39.810899,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:39:40.966832,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:39:42.020039,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:39:43.273805,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:39:44.370898,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:39:45.900154,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:39:47.181378,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:39:48.393169,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:39:49.602064,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:39:50.780384,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:39:51.813866,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:39:52.817927,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:39:53.951892,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:39:55.228502,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:39:56.400863,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:39:57.619110,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:39:58.861519,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:00.130885,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:01.410301,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:02.687093,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:03.805636,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:04.950405,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:06.093572,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:07.219931,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:08.327112,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:09.421523,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:10.499165,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:11.574112,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:12.674237,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:13.755407,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:14.841301,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
