,Tobias,One For Luck,Stimo Command,Krypto Maizie,Bumpy Johnson,Gagan Dolly,Magic Mavis,Harrison House
04-01-2023 13:29:01.028690,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:02.288713,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:03.510811,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:04.713390,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:05.939077,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:07.187853,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.25)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.654545454545456)"
04-01-2023 13:29:08.299142,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.25)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.654545454545456)"
04-01-2023 13:29:09.379037,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.25)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.654545454545456)"
04-01-2023 13:29:10.449775,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.25)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.654545454545456)"
04-01-2023 13:29:11.457291,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.25)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.654545454545456)"
