,Velocity Touched,Tiffany Twisted,Secret Angel,Book Book,In The Thirties,Old Ace Banner,Context,Blazing Bob
05-01-2023 12:22:37.451454,"(4.4, 7.6, 7.95)","(41.0, 230.0, 221.66666666666669)","(19.0, 65.0, 60.19230769230769)","(26.0, 180.0, 134.7826086956522)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 136.36363636363637)","(2.05, 2.16, 2.115)","(2.5, 3.0, 2.98375)"
05-01-2023 12:22:38.395089,"(4.4, 8.0, 7.95)","(41.0, 230.0, 221.66666666666669)","(19.0, 65.0, 60.19230769230769)","(26.0, 180.0, 134.7826086956522)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 136.36363636363637)","(2.05, 2.16, 2.115)","(2.5, 3.0, 2.98375)"
05-01-2023 12:22:39.334551,"(4.4, 8.0, 7.95)","(41.0, 230.0, 221.66666666666669)","(19.0, 65.0, 60.19230769230769)","(26.0, 180.0, 140.43478260869566)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 136.36363636363637)","(2.05, 2.16, 2.110810810810811)","(2.5, 3.0, 2.98375)"
05-01-2023 12:22:40.328131,"(4.4, 7.8, 7.729411764705882)","(41.0, 230.0, 221.66666666666669)","(19.0, 65.0, 54.54545454545455)","(26.0, 180.0, 140.43478260869566)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 136.36363636363637)","(2.05, 2.14, 2.110810810810811)","(2.5, 3.0, 2.98375)"
05-01-2023 12:22:41.343553,"(4.4, 7.8, 7.729411764705882)","(41.0, 230.0, 221.66666666666669)","(19.0, 65.0, 54.54545454545455)","(26.0, 180.0, 140.43478260869566)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 136.36363636363637)","(2.05, 2.14, 2.110810810810811)","(2.5, 3.0, 2.98375)"
05-01-2023 12:22:42.370191,"(4.4, 7.8, 7.733333333333333)","(41.0, 230.0, 185.0)","(19.0, 65.0, 58.23529411764706)","(26.0, 180.0, 141.8181818181818)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 149.0909090909091)","(2.05, 2.12, 2.0828571428571427)","(2.5, 3.0, 2.99)"
05-01-2023 12:22:43.458322,"(4.4, 8.0, 7.5875)","(41.0, 230.0, 185.0)","(19.0, 65.0, 58.23529411764706)","(26.0, 180.0, 141.8181818181818)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 145.0)","(2.05, 2.12, 2.1055555555555556)","(2.5, 3.0, 2.9779999999999998)"
05-01-2023 12:22:44.491257,"(4.4, 7.8, 7.685714285714286)","(41.0, 230.0, 185.0)","(19.0, 65.0, 58.23529411764706)","(26.0, 180.0, 141.8181818181818)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 145.0)","(2.05, 2.12, 2.1055555555555556)","(2.5, 3.0, 2.984)"
05-01-2023 12:22:45.555064,"(4.4, 7.6, 7.566666666666666)","(41.0, 230.0, 200.0)","(19.0, 65.0, 56.15384615384615)","(26.0, 180.0, 141.8181818181818)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 145.0)","(2.05, 2.12, 2.1136363636363638)","(2.5, 3.0, 2.9545454545454546)"
05-01-2023 12:22:46.674176,"(4.4, 8.0, 7.566666666666667)","(41.0, 230.0, 200.0)","(19.0, 65.0, 56.15384615384615)","(26.0, 180.0, 141.8181818181818)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 149.0909090909091)","(2.05, 2.16, 2.1090909090909093)","(2.5, 3.0, 2.9514285714285715)"
