,All Inn Scooby,Moyarra Minstrel,Jaggers Lady,Stylish Ken,Soda Brock,Raw Panic,Smiling Spaniard,Dark Krystal
12-01-2023 08:59:46.713067,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.294117647058822)","(9.0, 27.0, 18.727272727272727)","(9.0, 18.5, 15.925)","(6.5, 11.5, 9.4375)"
12-01-2023 08:59:47.750807,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.294117647058822)","(9.0, 27.0, 18.727272727272727)","(9.0, 18.5, 15.925)","(6.5, 11.5, 9.4375)"
12-01-2023 08:59:48.801861,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 08:59:49.852437,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 08:59:50.888924,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 08:59:51.873590,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 08:59:52.930135,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 08:59:53.886681,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 08:59:54.860193,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 08:59:55.891173,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
