,Fly To Eden,Tralee Beth,Remember Always,Oak Barrel,Whispering Misty,Act Of Kindness,Nora Carat,Hot Temper
11-01-2023 09:11:43.544397,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:11:44.919254,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:11:46.174664,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:11:47.658108,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:11:48.873308,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:11:49.948228,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:11:51.252095,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:11:52.416421,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:11:53.658018,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:11:54.873916,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:11:56.044198,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:11:57.252135,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:11:58.402090,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:11:59.578144,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:00.747838,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:01.839388,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:03.015010,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
