,Bold Prophet,Danncity,Wojtek,Luckee Floran,The Frenchman,Lead Guitar,Reactionary,Butterflyrock,American Agent,Go Go Gracie,Pio Kerri
08-12-2022 15:25:53.414770,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 12.379310344827587)","(101.0, 390.0, 274.0)","(14.0, 29.0, 27.076923076923077)","(26.0, 100.0, 88.66666666666667)","(31.0, 55.0, 50.8)","(1.95, 2.1, 2.0844444444444443)","(8.0, 13.5, 12.816666666666666)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:25:55.020018,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 12.379310344827587)","(101.0, 390.0, 274.0)","(14.0, 29.0, 27.076923076923077)","(26.0, 100.0, 88.66666666666667)","(31.0, 55.0, 50.8)","(1.95, 2.1, 2.0844444444444443)","(8.0, 13.5, 12.816666666666666)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:25:56.678858,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 12.379310344827587)","(101.0, 390.0, 274.0)","(14.0, 29.0, 20.666666666666668)","(26.0, 100.0, 88.66666666666667)","(31.0, 55.0, 50.8)","(1.95, 2.1, 2.0844444444444443)","(8.0, 13.5, 12.816666666666666)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:25:58.366088,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 12.379310344827587)","(101.0, 390.0, 274.0)","(14.0, 29.0, 20.666666666666668)","(26.0, 100.0, 88.66666666666667)","(31.0, 55.0, 50.8)","(1.95, 2.1, 2.0844444444444443)","(8.0, 13.5, 12.816666666666666)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:25:59.775005,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 12.379310344827587)","(101.0, 390.0, 274.0)","(14.0, 29.0, 20.666666666666668)","(26.0, 100.0, 88.66666666666667)","(31.0, 55.0, 50.8)","(1.95, 2.1, 2.0844444444444443)","(8.0, 13.5, 12.816666666666666)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:01.236372,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 12.379310344827587)","(101.0, 390.0, 274.0)","(14.0, 29.0, 20.666666666666668)","(26.0, 100.0, 88.66666666666667)","(31.0, 55.0, 50.8)","(1.95, 2.1, 2.0844444444444443)","(8.0, 13.5, 11.971428571428572)","(6.5, 9.8, 9.676923076923078)"
08-12-2022 15:26:02.670453,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 12.379310344827587)","(101.0, 390.0, 274.0)","(14.0, 29.0, 20.666666666666668)","(26.0, 100.0, 88.66666666666667)","(31.0, 55.0, 50.8)","(1.95, 2.1, 2.17)","(8.0, 13.0, 10.8)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:04.203836,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 12.379310344827587)","(101.0, 390.0, 274.0)","(14.0, 29.0, 20.666666666666668)","(26.0, 100.0, 88.66666666666667)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.17)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:05.652391,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 12.379310344827587)","(101.0, 390.0, 274.0)","(14.0, 29.0, 20.666666666666668)","(26.0, 100.0, 88.66666666666667)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.1485714285714286)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:07.032418,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 12.379310344827587)","(101.0, 390.0, 274.0)","(14.0, 29.0, 20.666666666666668)","(26.0, 100.0, 56.0)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.1571428571428575)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:08.562956,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.636363636363637)","(101.0, 390.0, 274.0)","(14.0, 29.0, 20.666666666666668)","(26.0, 100.0, 67.0)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.172727272727273)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:10.132850,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 27.473684210526315)","(26.0, 100.0, 67.0)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.18)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:11.693856,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 19.666666666666668)","(26.0, 100.0, 67.0)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.18)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:13.061147,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 24.333333333333336)","(26.0, 100.0, 67.0)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.18)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:14.584388,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 24.333333333333336)","(26.0, 100.0, 67.0)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.18)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:16.057232,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 24.333333333333336)","(26.0, 100.0, 67.0)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.18)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:17.565985,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 27.352941176470587)","(26.0, 100.0, 85.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.18)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:19.219665,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 27.352941176470587)","(26.0, 100.0, 85.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.18)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:20.500055,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 27.352941176470587)","(26.0, 100.0, 85.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.18)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:21.715250,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 27.352941176470587)","(26.0, 100.0, 85.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.165714285714286)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:23.139964,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 27.352941176470587)","(26.0, 100.0, 85.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:24.467046,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 27.352941176470587)","(26.0, 100.0, 85.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:25.910038,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 27.352941176470587)","(26.0, 100.0, 85.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:27.123136,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 27.352941176470587)","(26.0, 100.0, 85.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:28.457445,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 27.352941176470587)","(26.0, 100.0, 81.71428571428571)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:29.866782,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 27.352941176470587)","(26.0, 100.0, 81.71428571428571)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:31.247946,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 27.352941176470587)","(26.0, 100.0, 81.71428571428571)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:32.615841,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 27.352941176470587)","(26.0, 100.0, 81.71428571428571)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:33.959214,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 27.352941176470587)","(26.0, 100.0, 81.71428571428571)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.660869565217391)"
08-12-2022 15:26:35.254614,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 25.142857142857142)","(26.0, 100.0, 88.36363636363637)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 7.88)"
