,Krafty Boy,Kezzamac,The Hustler Nz,Tulhurst Writer,Bomani,Shanerra Star Nz,A Rocknroll Star Nz,Roll The Seven,Tulhurst Terror,Shannonsideal
14-12-2022 18:46:48.241445,"(81.0, 280.0, 228.0)","(4.2, 6.8, 5.871428571428571)","(3.5, 99999, 99990)","(26.0, 50.0, 33.333333333333336)","(17.0, 19.0, 16.833333333333332)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 18.5, 13.75)","(8.5, 12.5, 10.333333333333332)","(12.0, 20.0, 15.75)"
14-12-2022 18:46:49.607536,"(81.0, 280.0, 228.0)","(4.2, 6.8, 5.7444444444444445)","(3.5, 99999, 99990)","(26.0, 50.0, 33.333333333333336)","(17.0, 19.0, 16.833333333333332)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 16.5, 14.75)","(8.5, 12.5, 10.444444444444445)","(12.0, 20.0, 15.75)"
14-12-2022 18:46:50.899942,"(81.0, 280.0, 228.0)","(4.2, 6.6, 5.7444444444444445)","(3.5, 99999, 99990)","(26.0, 50.0, 30.0)","(17.0, 19.0, 16.833333333333332)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 16.0, 14.333333333333334)","(8.5, 12.5, 10.444444444444445)","(12.0, 20.0, 15.75)"
14-12-2022 18:46:52.200627,"(81.0, 280.0, 228.0)","(4.2, 6.6, 5.9399999999999995)","(3.5, 99999, 99990)","(26.0, 55.0, 30.0)","(17.0, 19.0, 16.833333333333332)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 16.0, 14.333333333333334)","(8.5, 12.5, 10.444444444444445)","(12.0, 20.0, 15.555555555555555)"
14-12-2022 18:46:53.492199,"(81.0, 280.0, 228.0)","(4.2, 6.6, 5.9399999999999995)","(3.5, 99999, 99990)","(26.0, 50.0, 34.0)","(17.0, 19.0, 16.714285714285715)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 16.0, 14.333333333333334)","(8.5, 12.5, 10.444444444444445)","(12.0, 20.0, 15.555555555555555)"
14-12-2022 18:46:54.874659,"(81.0, 280.0, 228.0)","(4.2, 6.8, 6.583333333333333)","(3.5, 99999, 99990)","(26.0, 48.0, 42.54545454545455)","(17.0, 19.0, 16.714285714285715)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 16.0, 13.3)","(8.5, 12.5, 10.444444444444445)","(12.0, 20.0, 17.115384615384613)"
14-12-2022 18:46:56.199619,"(81.0, 280.0, 228.0)","(4.2, 6.8, 6.671428571428572)","(3.5, 99999, 99990)","(26.0, 48.0, 42.54545454545455)","(17.0, 19.0, 16.714285714285715)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 16.0, 13.3)","(8.5, 12.5, 10.444444444444445)","(12.0, 20.0, 17.115384615384613)"
14-12-2022 18:46:57.575178,"(81.0, 280.0, 228.0)","(4.2, 7.4, 6.466666666666667)","(3.5, 99999, 99990)","(26.0, 48.0, 43.230769230769226)","(17.0, 19.0, 16.714285714285715)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 16.0, 14.3125)","(8.5, 12.5, 11.771428571428572)","(12.0, 20.0, 17.115384615384613)"
14-12-2022 18:46:58.808794,"(91.0, 280.0, 228.0)","(4.2, 7.4, 6.28)","(3.5, 99999, 99990)","(21.0, 46.0, 43.230769230769226)","(16.0, 19.0, 16.714285714285715)","(3.8, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 16.0, 14.3125)","(8.5, 12.0, 11.80625)","(12.0, 20.0, 15.0)"
14-12-2022 18:47:00.060277,"(91.0, 280.0, 228.0)","(4.2, 7.4, 6.6000000000000005)","(3.5, 99999, 99990)","(21.0, 46.0, 43.230769230769226)","(16.0, 19.0, 16.714285714285715)","(3.8, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 16.0, 14.3125)","(8.5, 12.5, 11.80625)","(12.0, 20.0, 15.0)"
14-12-2022 18:47:01.383886,"(91.0, 280.0, 228.0)","(4.2, 7.4, 6.6000000000000005)","(3.5, 99999, 99990)","(21.0, 46.0, 43.230769230769226)","(16.0, 19.0, 16.714285714285715)","(3.8, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 16.0, 15.25)","(8.5, 12.5, 11.80625)","(12.0, 20.0, 16.38888888888889)"
14-12-2022 18:47:02.728838,"(91.0, 280.0, 228.0)","(4.2, 7.4, 6.6000000000000005)","(3.5, 99999, 99990)","(21.0, 46.0, 43.230769230769226)","(16.0, 19.0, 16.714285714285715)","(3.8, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 16.0, 13.9)","(8.5, 12.5, 11.80625)","(12.0, 20.0, 16.38888888888889)"
14-12-2022 18:47:04.063233,"(91.0, 280.0, 228.0)","(4.2, 7.4, 6.6000000000000005)","(3.5, 99999, 99990)","(21.0, 46.0, 43.230769230769226)","(16.0, 19.0, 16.714285714285715)","(3.8, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 16.0, 14.5)","(8.5, 12.5, 10.4)","(12.0, 20.0, 16.38888888888889)"
14-12-2022 18:47:05.295436,"(101.0, 280.0, 228.0)","(4.4, 7.4, 6.6000000000000005)","(3.6, 99999, 99990)","(21.0, 46.0, 43.230769230769226)","(15.0, 19.0, 16.714285714285715)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(10.0, 16.0, 14.5)","(8.5, 12.5, 10.4)","(12.0, 20.0, 16.38888888888889)"
14-12-2022 18:47:06.616810,"(101.0, 280.0, 228.0)","(4.4, 7.4, 6.6000000000000005)","(3.6, 99999, 99990)","(21.0, 46.0, 43.230769230769226)","(15.0, 19.0, 16.714285714285715)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(10.0, 16.0, 14.5)","(8.5, 12.5, 10.4)","(12.0, 20.0, 16.38888888888889)"
14-12-2022 18:47:07.936232,"(101.0, 280.0, 228.0)","(4.4, 7.4, 6.6000000000000005)","(3.6, 99999, 99990)","(21.0, 46.0, 43.230769230769226)","(15.0, 19.0, 16.714285714285715)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(10.0, 16.0, 14.5)","(8.5, 12.5, 10.4)","(12.0, 20.0, 16.38888888888889)"
14-12-2022 18:47:09.260928,"(101.0, 280.0, 228.0)","(4.4, 7.4, 7.300000000000001)","(3.6, 99999, 99990)","(21.0, 46.0, 43.230769230769226)","(15.0, 19.0, 16.714285714285715)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(10.0, 16.0, 14.5)","(8.5, 12.5, 10.666666666666666)","(12.0, 20.0, 16.38888888888889)"
14-12-2022 18:47:10.552065,"(101.0, 280.0, 228.0)","(4.4, 7.4, 7.057142857142857)","(3.6, 99999, 99990)","(21.0, 46.0, 43.42857142857143)","(15.0, 19.0, 17.153846153846153)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(10.0, 16.0, 14.5)","(8.5, 11.5, 10.4)","(12.0, 20.0, 16.38888888888889)"
14-12-2022 18:47:11.827039,"(101.0, 280.0, 228.0)","(4.4, 7.4, 7.057142857142857)","(3.6, 99999, 99990)","(21.0, 46.0, 43.42857142857143)","(15.0, 19.0, 17.58823529411765)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(10.0, 16.0, 14.5)","(8.5, 12.5, 10.4)","(12.0, 20.0, 17.833333333333332)"
14-12-2022 18:47:13.158355,"(101.0, 280.0, 228.0)","(4.4, 7.4, 7.057142857142857)","(3.6, 99999, 99990)","(21.0, 46.0, 43.42857142857143)","(15.0, 19.0, 17.58823529411765)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(10.0, 16.0, 14.5)","(8.5, 12.5, 10.4)","(12.0, 20.0, 17.833333333333332)"
14-12-2022 18:47:14.520674,"(101.0, 280.0, 228.0)","(4.6, 7.4, 7.057142857142857)","(3.6, 99999, 99990)","(21.0, 46.0, 43.42857142857143)","(15.0, 19.0, 17.58823529411765)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(10.0, 16.0, 14.5)","(8.5, 12.5, 10.4)","(12.0, 20.0, 17.833333333333332)"
14-12-2022 18:47:15.754473,"(101.0, 280.0, 228.0)","(4.6, 7.4, 7.057142857142857)","(3.6, 99999, 99990)","(21.0, 46.0, 43.42857142857143)","(15.0, 19.0, 17.58823529411765)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(10.0, 16.0, 14.5)","(8.5, 12.5, 10.4)","(12.0, 20.0, 17.833333333333332)"
14-12-2022 18:47:17.088190,"(101.0, 280.0, 228.0)","(4.6, 7.4, 7.3500000000000005)","(3.6, 99999, 99990)","(21.0, 46.0, 43.42857142857143)","(15.0, 19.0, 17.58823529411765)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(10.0, 16.0, 14.5)","(8.5, 12.5, 10.4)","(12.0, 20.0, 16.38888888888889)"
