,Caribbean Baby,Heavens Baby,Kerrie Be,Singer Snap,Holme Boy,Yarraman Needy,Snack Time Rocks,Boom Boom Boy
11-01-2023 21:35:45.538407,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.3, 4.58)","(21.0, 44.0, 36.0)","(7.5, 13.5, 11.7)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:46.664766,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.3, 4.58)","(21.0, 44.0, 36.0)","(7.5, 13.5, 11.7)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:47.789282,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.3, 4.58)","(21.0, 44.0, 36.0)","(7.5, 13.5, 11.7)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:48.874695,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.3, 4.58)","(21.0, 44.0, 36.0)","(7.5, 13.5, 11.7)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:49.937247,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.3, 4.58)","(21.0, 44.0, 36.0)","(7.5, 13.5, 11.7)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:51.049780,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.3, 4.58)","(21.0, 44.0, 36.0)","(7.5, 13.5, 11.7)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:52.117685,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.3, 4.58)","(21.0, 44.0, 36.0)","(7.5, 13.5, 11.7)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:53.162085,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.3, 4.58)","(21.0, 44.0, 36.0)","(7.5, 13.5, 11.7)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:54.201920,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.3, 4.58)","(21.0, 44.0, 36.0)","(7.5, 13.5, 11.7)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:55.198964,"(41.0, 110.0, 92.28571428571429)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.3, 4.58)","(21.0, 44.0, 36.0)","(7.5, 13.5, 11.7)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:56.204557,"(41.0, 110.0, 92.28571428571429)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.3, 4.58)","(21.0, 44.0, 36.0)","(7.5, 13.5, 11.7)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:57.238273,"(41.0, 110.0, 92.28571428571429)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.3, 4.48)","(21.0, 44.0, 36.0)","(7.5, 13.5, 12.1)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:58.303595,"(41.0, 110.0, 92.28571428571429)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.2, 4.48)","(21.0, 44.0, 36.0)","(7.5, 14.5, 12.1)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:59.413323,"(41.0, 110.0, 92.28571428571429)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.2, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.5, 12.25)","(41.0, 140.0, 76.0)"
11-01-2023 21:36:00.552158,"(41.0, 110.0, 92.28571428571429)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 140.0, 76.0)"
