,Inotell,Jediah,Master At Arms,Portation,Sir Arminius,Social Group,De La Fayette
16-12-2022 14:47:16.075405,"(41.0, 150.0, 130.0)","(21.0, 32.0, 30.666666666666668)","(13.0, 18.0, 17.41025641025641)","(2.4, 2.82, 2.8278481012658228)","(12.0, 15.0, 14.955882352941176)","(91.0, 950.0, 448.75)","(1.95, 2.1, 2.0769166666666665)"
16-12-2022 14:47:17.035430,"(41.0, 130.0, 122.5)","(21.0, 32.0, 30.516129032258064)","(13.0, 17.5, 17.41025641025641)","(2.35, 2.84, 2.8278481012658228)","(12.0, 15.0, 14.955882352941176)","(91.0, 490.0, 415.0)","(1.95, 2.08, 2.078833063209076)"
16-12-2022 14:47:18.075079,"(41.0, 170.0, 143.33333333333334)","(21.0, 32.0, 30.516129032258064)","(13.0, 17.5, 17.450704225352112)","(2.35, 2.84, 2.8315384615384613)","(12.0, 15.0, 14.955882352941176)","(91.0, 490.0, 415.0)","(1.95, 2.08, 2.0852083333333336)"
16-12-2022 14:47:19.144521,"(41.0, 160.0, 132.72727272727272)","(21.0, 32.0, 30.444444444444443)","(13.0, 17.5, 17.43846153846154)","(2.35, 2.84, 2.829230769230769)","(12.0, 15.0, 14.764705882352942)","(91.0, 490.0, 415.0)","(1.95, 2.1, 2.0848076923076926)"
16-12-2022 14:47:20.195971,"(41.0, 150.0, 138.57142857142858)","(21.0, 30.0, 29.5)","(13.0, 17.5, 17.427272727272726)","(2.4, 2.84, 2.8340298507462687)","(12.0, 15.0, 14.76)","(91.0, 490.0, 415.0)","(1.9, 2.1, 2.0848076923076926)"
16-12-2022 14:47:21.205460,"(41.0, 150.0, 130.0)","(21.0, 30.0, 29.5)","(13.0, 17.5, 17.427272727272726)","(2.4, 2.84, 2.8340298507462687)","(12.0, 15.0, 14.76)","(91.0, 490.0, 415.0)","(1.9, 2.1, 2.0848076923076926)"
16-12-2022 14:47:22.238769,"(41.0, 140.0, 128.75)","(21.0, 30.0, 29.5)","(13.0, 17.5, 17.427272727272726)","(2.4, 2.84, 2.8340298507462687)","(12.0, 15.0, 14.727272727272727)","(91.0, 490.0, 415.0)","(1.9, 2.1, 2.085)"
16-12-2022 14:47:23.505187,"(41.0, 140.0, 123.84615384615384)","(21.0, 30.0, 29.5)","(13.0, 17.5, 17.427272727272726)","(2.4, 2.84, 2.831325301204819)","(12.0, 15.0, 14.685185185185185)","(91.0, 490.0, 415.0)","(1.9, 2.1, 2.0857954545454547)"
16-12-2022 14:47:24.551865,"(41.0, 140.0, 124.0)","(21.0, 30.0, 29.5)","(13.0, 17.5, 17.32191780821918)","(2.4, 2.84, 2.831325301204819)","(12.0, 15.0, 14.685185185185185)","(101.0, 490.0, 415.0)","(1.9, 2.1, 2.0920670391061456)"
16-12-2022 14:47:25.664112,"(41.0, 130.0, 122.5)","(21.0, 30.0, 29.57894736842105)","(13.0, 17.0, 16.853658536585368)","(2.4, 2.84, 2.8118292682926826)","(12.0, 15.0, 14.739583333333334)","(101.0, 490.0, 415.0)","(1.9, 2.1, 2.099342723004695)"
