,Canya Moonshine,Zarr Oso,Freeney,Balts Obsession,Orson Black,Annabelle Rocks,Captain Turbot,Fat Jack
07-12-2022 18:56:28.023500,"(4.4, 9.0, 5.784210526315789)","(21.0, 70.0, 40.625)","(7.5, 18.5, 17.57142857142857)","(1.65, 2.2, 1.7291304347826086)","(7.5, 11.0, 10.616666666666667)","(13.0, 42.0, 26.72222222222222)","(20.0, 55.0, 32.1875)","(21.0, 70.0, 39.375)"
07-12-2022 18:56:29.155702,"(4.4, 9.0, 5.784210526315789)","(21.0, 70.0, 40.625)","(7.5, 18.5, 17.57142857142857)","(1.65, 2.2, 1.7291304347826086)","(7.5, 11.0, 10.616666666666667)","(13.0, 42.0, 26.72222222222222)","(20.0, 55.0, 32.1875)","(21.0, 70.0, 39.375)"
07-12-2022 18:56:30.285975,"(4.4, 9.0, 5.784210526315789)","(21.0, 70.0, 40.625)","(7.5, 18.5, 17.57142857142857)","(1.65, 2.2, 1.7291304347826086)","(7.5, 11.0, 10.616666666666667)","(13.0, 42.0, 26.72222222222222)","(20.0, 55.0, 32.1875)","(21.0, 70.0, 39.375)"
07-12-2022 18:56:31.451206,"(4.4, 9.0, 5.784210526315789)","(21.0, 70.0, 40.625)","(7.5, 18.5, 17.57142857142857)","(1.65, 2.2, 1.7291304347826086)","(7.5, 11.0, 10.616666666666667)","(13.0, 42.0, 26.72222222222222)","(20.0, 55.0, 32.1875)","(21.0, 70.0, 39.375)"
07-12-2022 18:56:32.672062,"(4.4, 9.0, 5.784210526315789)","(21.0, 70.0, 40.625)","(7.5, 18.5, 17.57142857142857)","(1.65, 2.2, 1.7291304347826086)","(7.5, 11.0, 10.616666666666667)","(13.0, 42.0, 26.72222222222222)","(20.0, 55.0, 32.1875)","(21.0, 70.0, 39.375)"
07-12-2022 18:56:33.988014,"(4.4, 9.0, 5.784210526315789)","(21.0, 70.0, 40.625)","(7.5, 18.5, 17.57142857142857)","(1.65, 2.2, 1.7291304347826086)","(7.5, 11.0, 10.616666666666667)","(13.0, 42.0, 26.72222222222222)","(20.0, 55.0, 32.1875)","(21.0, 70.0, 39.375)"
07-12-2022 18:56:35.216105,"(4.4, 9.0, 5.784210526315789)","(21.0, 70.0, 40.625)","(7.5, 18.5, 17.57142857142857)","(1.65, 2.2, 1.7291304347826086)","(7.5, 11.0, 10.616666666666667)","(13.0, 42.0, 26.72222222222222)","(20.0, 55.0, 32.1875)","(21.0, 70.0, 39.375)"
07-12-2022 18:56:36.446416,"(4.4, 9.0, 5.784210526315789)","(21.0, 70.0, 40.625)","(7.5, 18.5, 17.57142857142857)","(1.65, 2.2, 1.7291304347826086)","(7.5, 11.0, 10.616666666666667)","(13.0, 42.0, 26.72222222222222)","(20.0, 55.0, 32.1875)","(21.0, 70.0, 39.375)"
07-12-2022 18:56:37.652084,"(4.4, 9.0, 5.784210526315789)","(21.0, 70.0, 40.625)","(7.5, 18.5, 17.57142857142857)","(1.65, 2.2, 1.6842857142857142)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 23.5625)","(20.0, 55.0, 32.1875)","(21.0, 70.0, 39.375)"
07-12-2022 18:56:38.919384,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 40.625)","(7.5, 18.5, 17.57142857142857)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 23.5625)","(20.0, 55.0, 32.1875)","(21.0, 70.0, 39.375)"
07-12-2022 18:56:40.330560,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 40.625)","(7.5, 18.5, 17.57142857142857)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 23.5625)","(20.0, 55.0, 32.1875)","(21.0, 70.0, 39.375)"
07-12-2022 18:56:41.655240,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 40.625)","(7.5, 18.5, 17.0)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 25.142857142857142)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:56:42.993751,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 35.81818181818181)","(7.5, 18.5, 17.0)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 25.142857142857142)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:56:44.278286,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 35.81818181818181)","(7.5, 18.5, 17.0)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 25.142857142857142)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:56:45.525049,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 35.81818181818181)","(7.5, 18.5, 17.0)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 25.142857142857142)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:56:46.876027,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 35.81818181818181)","(7.5, 18.5, 17.0)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 25.142857142857142)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:56:48.162609,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 35.81818181818181)","(7.5, 18.5, 17.0)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 25.142857142857142)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:56:49.396260,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 35.81818181818181)","(7.5, 18.5, 17.0)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 25.142857142857142)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:56:50.636402,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 35.81818181818181)","(7.5, 18.5, 17.0)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 25.142857142857142)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:56:51.914975,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 35.81818181818181)","(7.5, 18.5, 17.0)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 25.142857142857142)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:56:53.137983,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 35.81818181818181)","(7.5, 18.5, 17.0)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 25.142857142857142)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:56:54.393930,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 35.81818181818181)","(7.5, 18.5, 17.0)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 25.142857142857142)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:56:55.578247,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 35.81818181818181)","(7.5, 18.5, 17.0)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 25.142857142857142)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:56:56.782574,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 35.81818181818181)","(7.5, 18.5, 17.0)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 25.142857142857142)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:56:58.046389,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 35.81818181818181)","(7.5, 18.5, 17.0)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 25.142857142857142)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:56:59.293317,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 35.81818181818181)","(7.5, 18.5, 17.0)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 25.142857142857142)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:00.546692,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 35.81818181818181)","(7.5, 18.5, 17.0)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 25.142857142857142)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:01.818100,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 35.81818181818181)","(7.5, 18.5, 18.107142857142858)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 21.272727272727273)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:03.074787,"(4.4, 9.0, 5.013333333333334)","(21.0, 70.0, 35.81818181818181)","(7.5, 18.5, 18.107142857142858)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 21.636363636363637)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:04.383920,"(4.4, 9.0, 5.013333333333334)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.5, 18.107142857142858)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 21.636363636363637)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:05.665661,"(4.4, 9.0, 5.013333333333334)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.5, 18.107142857142858)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 21.636363636363637)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:06.922055,"(4.4, 9.0, 5.013333333333334)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.5, 18.107142857142858)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 27.333333333333332)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:08.194390,"(4.4, 9.0, 5.013333333333334)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.5, 18.107142857142858)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 27.333333333333332)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:09.455105,"(4.4, 9.0, 5.013333333333334)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.5, 18.107142857142858)","(1.65, 2.2, 1.6933333333333334)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 27.333333333333332)","(20.0, 55.0, 28.454545454545453)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:10.664081,"(4.4, 9.0, 5.852631578947369)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.5, 18.107142857142858)","(1.65, 2.2, 1.7744)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 27.333333333333332)","(20.0, 55.0, 34.42857142857143)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:11.877425,"(4.4, 9.0, 5.852631578947369)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.5, 18.107142857142858)","(1.65, 2.2, 1.7744)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 27.333333333333332)","(20.0, 55.0, 31.0)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:13.107650,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.5, 18.107142857142858)","(1.65, 2.2, 1.7744)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 27.333333333333332)","(20.0, 55.0, 31.0)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:14.387330,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.5, 18.107142857142858)","(1.65, 2.2, 1.7163636363636363)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 27.333333333333332)","(20.0, 55.0, 31.0)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:15.613362,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.5, 18.107142857142858)","(1.65, 2.2, 1.7668)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 27.333333333333332)","(20.0, 55.0, 31.0)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:16.810954,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.5, 18.107142857142858)","(1.65, 2.2, 1.7668)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 27.333333333333332)","(20.0, 55.0, 30.333333333333336)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:18.199146,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.5, 18.107142857142858)","(1.65, 2.2, 1.7668)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 27.333333333333332)","(20.0, 55.0, 30.333333333333336)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:19.522384,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.5, 15.321428571428571)","(1.65, 2.2, 1.7668)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 27.333333333333332)","(20.0, 55.0, 30.333333333333336)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:20.836818,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 15.5, 15.321428571428571)","(1.65, 2.2, 1.7668)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 27.333333333333332)","(20.0, 55.0, 30.333333333333336)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:22.507670,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 15.5, 16.7)","(1.65, 2.2, 1.7)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 27.333333333333332)","(20.0, 55.0, 29.285714285714285)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:23.942113,"(4.4, 9.0, 5.425)","(21.0, 65.0, 34.45454545454545)","(7.5, 17.5, 16.916666666666668)","(1.65, 2.0, 1.6858333333333333)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 27.333333333333332)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:25.355775,"(4.4, 9.0, 5.425)","(21.0, 65.0, 34.45454545454545)","(7.5, 17.5, 16.916666666666668)","(1.65, 2.08, 1.699230769230769)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 27.333333333333332)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:26.697668,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 17.5, 17.333333333333332)","(1.65, 2.08, 1.722142857142857)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 27.333333333333332)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:27.948707,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 17.333333333333332)","(1.65, 2.06, 1.722142857142857)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:29.243491,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 17.333333333333332)","(1.65, 2.06, 1.722142857142857)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:30.489633,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 17.333333333333332)","(1.65, 2.06, 1.722142857142857)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:31.817271,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.625)","(1.65, 2.06, 1.722142857142857)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:33.096232,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.7)","(1.65, 2.06, 1.722142857142857)","(7.5, 11.0, 9.533333333333333)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:34.377274,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.7)","(1.65, 2.06, 1.722142857142857)","(7.5, 11.0, 7.574999999999999)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:35.651959,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.7)","(1.65, 2.06, 1.722142857142857)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
