,Fries With That,Master Safari,Galancy,Defiant Diorite,Strictly Cash,Nobel Knight,The Frenchman,Angels My Name,Luckys Way,Lady Tornado,Swift Gondo
11-01-2023 18:50:23.806128,"(21.0, 32.0, 31.294117647058822)","(81.0, 140.0, 128.88888888888889)","(18.0, 24.0, 23.813186813186814)","(3.3, 3.5, 3.4839506172839507)","(16.0, 19.5, 19.275757575757577)","(14.0, 18.5, 18.257142857142856)","(91.0, 170.0, 160.58823529411765)","(31.0, 50.0, 48.90909090909091)","(2.35, 2.62, 2.601459521094641)","(6.5, 8.8, 8.666046511627908)","(101.0, 390.0, 346.6666666666667)"
11-01-2023 18:50:25.483783,"(21.0, 32.0, 31.294117647058822)","(81.0, 140.0, 127.03703703703704)","(18.0, 24.0, 23.989247311827956)","(3.3, 3.5, 3.4908150064683054)","(16.0, 19.5, 19.661290322580644)","(14.0, 18.5, 18.38095238095238)","(91.0, 170.0, 157.40740740740742)","(31.0, 50.0, 48.76470588235294)","(2.35, 2.62, 2.5770637119113573)","(6.5, 8.8, 8.713888888888889)","(101.0, 390.0, 325.0)"
11-01-2023 18:50:27.233583,"(21.0, 32.0, 31.91304347826087)","(81.0, 140.0, 127.03703703703704)","(18.0, 24.0, 23.97872340425532)","(3.3, 3.5, 3.4906976744186045)","(16.0, 20.0, 19.87962962962963)","(14.0, 18.5, 18.391304347826086)","(91.0, 170.0, 157.40740740740742)","(31.0, 50.0, 48.44444444444444)","(2.35, 2.58, 2.5771581769437)","(6.5, 8.8, 8.712)","(101.0, 390.0, 325.0)"
11-01-2023 18:50:28.980079,"(21.0, 32.0, 31.935483870967744)","(81.0, 140.0, 130.2941176470588)","(18.0, 24.0, 24.295081967213115)","(3.3, 3.5, 3.5406474820143883)","(16.0, 20.0, 19.703488372093023)","(14.0, 18.5, 18.695364238410598)","(91.0, 170.0, 160.3030303030303)","(31.0, 50.0, 48.45161290322581)","(2.35, 2.58, 2.5252549427679503)","(6.5, 8.8, 8.860215053763442)","(101.0, 390.0, 343.84615384615387)"
11-01-2023 18:50:30.870725,"(21.0, 32.0, 31.72151898734177)","(81.0, 140.0, 131.94444444444446)","(18.0, 25.0, 24.390243902439025)","(3.3, 3.55, 3.542682926829268)","(16.0, 20.0, 19.742424242424242)","(14.0, 19.0, 18.704819277108435)","(91.0, 170.0, 158.57142857142858)","(31.0, 50.0, 48.75)","(2.35, 2.54, 2.5446666666666666)","(6.5, 9.0, 8.866)","(101.0, 390.0, 325.38461538461536)"
11-01-2023 18:50:32.660867,"(21.0, 34.0, 31.72151898734177)","(81.0, 140.0, 132.3684210526316)","(18.0, 25.0, 24.388235294117646)","(3.3, 3.55, 3.5433579335793355)","(16.0, 20.0, 19.75925925925926)","(14.0, 19.0, 18.60483870967742)","(91.0, 170.0, 158.7719298245614)","(31.0, 50.0, 48.888888888888886)","(2.35, 2.56, 2.546666666666667)","(6.5, 9.0, 8.877966101694916)","(101.0, 390.0, 325.38461538461536)"
11-01-2023 18:50:34.450358,"(21.0, 34.0, 32.354166666666664)","(81.0, 140.0, 132.82051282051282)","(18.0, 25.0, 24.53012048192771)","(3.3, 3.55, 3.5649674620390455)","(16.0, 20.0, 20.114285714285714)","(14.0, 19.0, 17.3125)","(91.0, 170.0, 160.3125)","(31.0, 50.0, 49.2)","(2.35, 2.56, 2.563529411764706)","(6.5, 9.0, 8.649180327868853)","(101.0, 390.0, 325.38461538461536)"
11-01-2023 18:50:36.129041,"(21.0, 34.0, 32.49523809523809)","(81.0, 140.0, 133.77777777777777)","(18.0, 25.0, 24.53012048192771)","(3.3, 3.6, 3.562106537530266)","(16.0, 21.0, 20.03448275862069)","(14.0, 17.5, 17.384615384615383)","(91.0, 170.0, 160.3125)","(31.0, 50.0, 49.2)","(2.35, 2.58, 2.558181818181818)","(6.5, 8.8, 8.643333333333334)","(101.0, 390.0, 325.38461538461536)"
11-01-2023 18:50:37.820651,"(21.0, 34.0, 32.20454545454545)","(81.0, 140.0, 133.91304347826087)","(18.0, 25.0, 24.551724137931036)","(3.3, 3.6, 3.5648275862068965)","(16.0, 21.0, 20.066666666666666)","(14.0, 17.5, 17.425)","(91.0, 170.0, 160.3125)","(31.0, 50.0, 48.88)","(2.35, 2.56, 2.541875)","(6.5, 8.8, 8.656)","(101.0, 390.0, 325.38461538461536)"
11-01-2023 18:50:39.501333,"(21.0, 34.0, 32.20454545454545)","(81.0, 140.0, 134.16666666666666)","(18.0, 25.0, 24.57608695652174)","(3.3, 3.6, 3.570886075949367)","(16.0, 21.0, 20.12295081967213)","(14.0, 17.5, 17.25)","(91.0, 170.0, 160.25641025641025)","(31.0, 50.0, 48.526315789473685)","(2.35, 2.58, 2.561818181818182)","(6.5, 8.8, 8.685)","(101.0, 390.0, 325.38461538461536)"
