,Acapulco,Youre In Luck,Rumour Confirmed,Gabriella Maree,My Romper,Cyclone Summer,Ohana Ranadi
05-01-2023 13:47:40.062528,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.1863829787234046)","(3.5, 5.3, 3.7444444444444445)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:47:41.237608,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.4, 2.1863829787234046)","(3.5, 5.3, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:47:42.359766,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.4, 2.1863829787234046)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:47:43.455746,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.4, 2.1863829787234046)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:47:44.404207,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.4, 2.1863829787234046)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:47:45.534530,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.4, 2.1863829787234046)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:47:46.707326,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.4, 2.1863829787234046)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:47:47.861871,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.4, 2.1863829787234046)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:47:48.996441,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.4, 2.1863829787234046)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:47:50.140676,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.4, 2.1863829787234046)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:47:51.277623,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.4, 2.3025)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:47:52.327573,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.3025)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:47:53.345078,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.3025)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:47:54.457706,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.3025)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:47:55.576536,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.3025)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
05-01-2023 13:47:56.678400,"(6.0, 13.5, 11.538709677419355)","(14.0, 34.0, 29.0)","(4.8, 8.2, 5.4)","(2.15, 3.3, 2.3025)","(3.5, 5.4, 3.7555555555555555)","(101.0, 650.0, 587.7777777777778)","(9.0, 19.0, 12.75)"
