,Archarch Cat,Limited Doro,Storminunclejack,Roses Pepino,Baytown Jagger,Baytown Get It On
0,"[datetime.datetime(2022, 11, 28, 10, 11, 44, 429884), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 11, 44, 429884), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 11, 44, 429884), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 11, 44, 429884), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 44, 429884), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 11, 44, 429884), 26.0, 220.0]"
1,"[datetime.datetime(2022, 11, 28, 10, 11, 45, 526139), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 11, 45, 526139), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 11, 45, 526139), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 11, 45, 526139), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 45, 526139), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 11, 45, 526139), 26.0, 220.0]"
2,"[datetime.datetime(2022, 11, 28, 10, 11, 46, 644666), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 11, 46, 644666), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 11, 46, 644666), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 11, 46, 644666), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 46, 644666), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 11, 46, 644666), 26.0, 220.0]"
3,"[datetime.datetime(2022, 11, 28, 10, 11, 47, 747365), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 11, 47, 747365), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 11, 47, 747365), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 11, 47, 747365), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 47, 747365), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 11, 47, 747365), 26.0, 220.0]"
4,"[datetime.datetime(2022, 11, 28, 10, 11, 48, 845374), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 11, 48, 845374), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 11, 48, 845374), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 11, 48, 845374), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 48, 845374), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 11, 48, 845374), 26.0, 220.0]"
5,"[datetime.datetime(2022, 11, 28, 10, 11, 49, 940174), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 11, 49, 940174), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 11, 49, 940174), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 11, 49, 940174), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 49, 940174), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 11, 49, 940174), 26.0, 220.0]"
6,"[datetime.datetime(2022, 11, 28, 10, 11, 51, 61120), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 11, 51, 61120), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 11, 51, 61120), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 11, 51, 61120), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 51, 61120), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 11, 51, 61120), 26.0, 220.0]"
7,"[datetime.datetime(2022, 11, 28, 10, 11, 52, 171527), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 11, 52, 171527), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 11, 52, 171527), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 11, 52, 171527), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 52, 171527), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 11, 52, 171527), 26.0, 220.0]"
8,"[datetime.datetime(2022, 11, 28, 10, 11, 53, 268314), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 11, 53, 268314), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 11, 53, 268314), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 11, 53, 268314), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 53, 268314), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 11, 53, 268314), 26.0, 220.0]"
9,"[datetime.datetime(2022, 11, 28, 10, 11, 54, 371598), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 11, 54, 371598), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 11, 54, 371598), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 11, 54, 371598), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 54, 371598), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 11, 54, 371598), 26.0, 220.0]"
10,"[datetime.datetime(2022, 11, 28, 10, 11, 55, 475756), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 11, 55, 475756), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 11, 55, 475756), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 11, 55, 475756), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 55, 475756), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 11, 55, 475756), 26.0, 220.0]"
11,"[datetime.datetime(2022, 11, 28, 10, 11, 56, 574272), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 11, 56, 574272), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 11, 56, 574272), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 11, 56, 574272), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 56, 574272), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 11, 56, 574272), 26.0, 220.0]"
12,"[datetime.datetime(2022, 11, 28, 10, 11, 57, 677001), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 11, 57, 677001), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 11, 57, 677001), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 11, 57, 677001), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 57, 677001), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 11, 57, 677001), 26.0, 220.0]"
13,"[datetime.datetime(2022, 11, 28, 10, 11, 58, 772076), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 11, 58, 772076), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 11, 58, 772076), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 11, 58, 772076), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 58, 772076), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 11, 58, 772076), 26.0, 220.0]"
14,"[datetime.datetime(2022, 11, 28, 10, 11, 59, 884867), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 11, 59, 884867), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 11, 59, 884867), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 11, 59, 884867), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 59, 884867), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 11, 59, 884867), 26.0, 220.0]"
15,"[datetime.datetime(2022, 11, 28, 10, 12, 0, 976247), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 12, 0, 976247), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 12, 0, 976247), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 12, 0, 976247), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 12, 0, 976247), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 12, 0, 976247), 26.0, 220.0]"
16,"[datetime.datetime(2022, 11, 28, 10, 12, 2, 85136), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 12, 2, 85136), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 12, 2, 85136), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 12, 2, 85136), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 12, 2, 85136), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 12, 2, 85136), 26.0, 220.0]"
17,"[datetime.datetime(2022, 11, 28, 10, 12, 3, 180507), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 12, 3, 180507), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 12, 3, 180507), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 12, 3, 180507), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 12, 3, 180507), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 12, 3, 180507), 26.0, 220.0]"
18,"[datetime.datetime(2022, 11, 28, 10, 12, 4, 289192), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 12, 4, 289192), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 12, 4, 289192), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 12, 4, 289192), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 12, 4, 289192), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 12, 4, 289192), 26.0, 220.0]"
19,"[datetime.datetime(2022, 11, 28, 10, 12, 5, 394916), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 12, 5, 394916), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 12, 5, 394916), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 12, 5, 394916), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 12, 5, 394916), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 12, 5, 394916), 26.0, 220.0]"
20,"[datetime.datetime(2022, 11, 28, 10, 12, 6, 494270), 26.0, 250.0]","[datetime.datetime(2022, 11, 28, 10, 12, 6, 494270), 3.8, 5.5]","[datetime.datetime(2022, 11, 28, 10, 12, 6, 494270), 1.45, 1.74]","[datetime.datetime(2022, 11, 28, 10, 12, 6, 494270), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 12, 6, 494270), 26.0, 220.0]","[datetime.datetime(2022, 11, 28, 10, 12, 6, 494270), 26.0, 220.0]"
