,Prince Pulpogan,Grants Treasure,Lady Wendy Hook,Rawhide Hand,Red Spur Flyer,Jebrynah Sol,Stay At Home,Rogue Temptation
05-01-2023 15:14:23.630740,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 18.11764705882353)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 29.285714285714285)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:24.883982,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 18.11764705882353)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.875)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:26.099412,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 18.11764705882353)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 52.5)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:27.346181,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 18.11764705882353)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 32.1875)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:28.532136,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 18.11764705882353)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 32.1875)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:29.732387,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 18.11764705882353)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 32.1875)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:30.865874,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 18.11764705882353)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 32.1875)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:31.988173,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 18.11764705882353)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 32.1875)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:33.104775,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 18.11764705882353)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 28.92857142857143)","(8.0, 23.0, 16.75)"
05-01-2023 15:14:34.310236,"(2.5, 5.0, 3.9299999999999997)","(14.0, 29.0, 18.11764705882353)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 28.92857142857143)","(8.0, 23.0, 16.75)"
