,Mr Mischief,Havisham,Saint Ay,Costero,Jumpin Jaguar,Mayksumnoise,Sorokin,There For You,Fighting Sweet,Peace Process,Under The Pump,Arlington Valley
07-01-2023 14:14:06.952822,"(4.0, 4.7, 4.493333333333333)","(2.9, 3.55, 3.4873333333333334)","(9.0, 11.5, 11.166666666666666)","(7.5, 8.4, 7.854945054945055)","(12.0, 15.0, 14.612903225806452)","(20.0, 28.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 34.0, 33.46666666666667)","(16.0, 24.0, 23.076923076923077)","(15.0, 18.5, 18.17142857142857)","(31.0, 40.0, 39.05263157894737)","(101.0, 230.0, 216.66666666666669)"
07-01-2023 14:14:08.595807,"(4.0, 4.5, 4.493333333333333)","(2.9, 3.5, 3.4905797101449276)","(9.0, 11.5, 11.166666666666666)","(7.5, 8.0, 7.8428571428571425)","(12.0, 15.0, 14.612903225806452)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 34.0, 33.46666666666667)","(16.0, 24.0, 23.076923076923077)","(15.0, 18.5, 18.17142857142857)","(31.0, 40.0, 39.05263157894737)","(101.0, 230.0, 216.66666666666669)"
07-01-2023 14:14:10.195270,"(4.0, 4.5, 4.493333333333333)","(2.9, 3.5, 3.4905797101449276)","(9.0, 11.5, 11.166666666666666)","(7.5, 8.0, 7.8428571428571425)","(12.0, 15.0, 14.612903225806452)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 34.0, 33.46666666666667)","(16.0, 24.0, 23.076923076923077)","(15.0, 18.5, 18.17142857142857)","(31.0, 40.0, 39.05263157894737)","(101.0, 230.0, 216.66666666666669)"
07-01-2023 14:14:11.650314,"(4.0, 4.5, 4.476923076923077)","(2.9, 3.5, 3.4975806451612903)","(9.0, 11.5, 11.166666666666666)","(7.5, 8.0, 7.721875)","(12.0, 15.0, 14.612903225806452)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 34.0, 33.46666666666667)","(16.0, 24.0, 23.076923076923077)","(15.0, 18.5, 18.17142857142857)","(31.0, 40.0, 39.05263157894737)","(101.0, 230.0, 216.66666666666669)"
07-01-2023 14:14:13.072167,"(4.0, 4.5, 4.476923076923077)","(2.9, 3.5, 3.4975806451612903)","(9.0, 11.5, 11.166666666666666)","(7.5, 8.0, 7.721875)","(12.0, 15.0, 14.612903225806452)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 34.0, 33.46666666666667)","(16.0, 24.0, 23.076923076923077)","(15.0, 18.5, 18.17142857142857)","(31.0, 40.0, 39.05263157894737)","(101.0, 230.0, 216.66666666666669)"
07-01-2023 14:14:14.526519,"(3.9, 4.5, 4.4363636363636365)","(2.9, 3.55, 3.503030303030303)","(9.0, 11.5, 11.166666666666666)","(7.0, 8.0, 7.886956521739131)","(12.0, 15.0, 14.612903225806452)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.09090909090909)","(16.0, 24.0, 23.076923076923077)","(15.0, 18.5, 18.17142857142857)","(31.0, 40.0, 39.07692307692308)","(101.0, 230.0, 208.33333333333331)"
07-01-2023 14:14:16.020640,"(3.9, 4.5, 4.412745098039216)","(2.9, 3.5, 3.4924242424242427)","(9.0, 11.5, 11.166666666666666)","(7.0, 8.0, 7.879710144927536)","(12.0, 15.0, 14.657142857142857)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.25)","(16.0, 24.0, 22.285714285714285)","(15.0, 18.5, 18.17142857142857)","(31.0, 40.0, 38.857142857142854)","(101.0, 210.0, 204.54545454545453)"
07-01-2023 14:14:17.596018,"(3.9, 4.5, 4.416822429906542)","(2.9, 3.5, 3.47734375)","(9.0, 11.5, 11.166666666666666)","(7.0, 8.0, 7.9366666666666665)","(12.0, 15.0, 14.720930232558139)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.25)","(16.0, 24.0, 22.285714285714285)","(15.0, 18.5, 18.17142857142857)","(31.0, 40.0, 38.666666666666664)","(101.0, 230.0, 216.66666666666669)"
07-01-2023 14:14:19.134144,"(3.9, 4.5, 4.41651376146789)","(2.9, 3.5, 3.47734375)","(9.0, 11.5, 11.23076923076923)","(7.0, 8.0, 7.951351351351351)","(12.0, 15.0, 14.720930232558139)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.25)","(16.0, 24.0, 23.272727272727273)","(15.0, 18.5, 18.274509803921568)","(31.0, 40.0, 38.666666666666664)","(101.0, 230.0, 216.66666666666669)"
07-01-2023 14:14:20.685608,"(3.9, 4.5, 4.41651376146789)","(2.9, 3.5, 3.47734375)","(9.0, 11.5, 11.23076923076923)","(7.0, 8.0, 7.951351351351351)","(12.0, 15.0, 14.720930232558139)","(20.0, 30.0, 29.142857142857142)","(51.0, 110.0, 93.75)","(21.0, 36.0, 33.25)","(16.0, 24.0, 23.272727272727273)","(15.0, 18.5, 18.274509803921568)","(31.0, 40.0, 38.666666666666664)","(101.0, 230.0, 216.66666666666669)"
