,Little Burrito,Sketchy Zara,Winlock Too Much,Winlock Augustus,Molly And Me,Stay Humble,Askey,Typhoon Nellie
15-12-2022 15:23:01.658743,"(2.9, 5.0, 4.382857142857143)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:02.996298,"(2.9, 5.0, 4.382857142857143)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:04.271333,"(2.9, 5.0, 4.382857142857143)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:05.494773,"(2.9, 5.0, 4.382857142857143)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:06.722161,"(2.9, 5.0, 4.382857142857143)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:07.959153,"(2.9, 5.0, 4.382857142857143)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:09.261756,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:10.545222,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:12.064962,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:13.527102,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:14.837290,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:16.100349,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:17.383476,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:18.649229,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:19.894964,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:21.041479,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:22.158095,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:23.213743,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:24.473524,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:25.692008,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:26.837792,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:27.975658,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:29.089792,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:30.187397,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:31.297319,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:32.366898,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:33.405166,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:34.451980,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:35.470841,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:36.517903,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:37.595599,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:38.667560,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:39.759021,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:40.850466,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:41.958846,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:43.045041,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:44.141733,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:45.222698,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:46.238711,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:47.181747,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:48.235048,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:49.273250,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:50.334938,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:51.647341,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:52.776841,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:53.835653,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:54.942168,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:56.049237,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:57.150954,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:58.250479,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:59.283059,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:24:00.281037,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:24:01.310639,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:24:02.313300,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 28.0)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.745454545454546)"
15-12-2022 15:24:03.399198,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:04.498738,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:05.619524,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:06.671164,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:07.733686,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:08.791757,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:09.902584,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:11.025091,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:12.149197,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:13.253079,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:14.310871,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:15.335919,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:16.411183,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:17.471114,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:18.507821,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:19.618178,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:20.642091,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:21.662160,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:22.741527,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:23.819487,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:24.887249,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:25.937701,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:27.029063,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 37.14285714285714)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:28.089191,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 60.0, 39.09090909090909)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:29.210154,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 55.0, 39.09090909090909)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:30.313372,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 55.0, 39.09090909090909)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:31.370211,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 55.0, 39.09090909090909)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:32.399954,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.0)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 55.0, 39.09090909090909)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:33.502774,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.83333333333337)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 55.0, 39.09090909090909)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
15-12-2022 15:24:34.559255,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 495.83333333333337)","(15.0, 40.0, 22.18181818181818)","(21.0, 60.0, 35.38461538461539)","(19.0, 55.0, 39.09090909090909)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 9.933333333333334)"
